seed,model,world_accuracy_delta,heldout_nll_delta,ece_delta,future_reliability_brier_delta,context_recovery_accuracy_delta,switch_recovery_accuracy_delta
11,FlatFixed,-0.011666666666666603,0.0,0.025284270477866924,0.0,NaN,-0.04333333333333356
11,LocalPrecision,-0.033541666666666914,0.0,0.02914385090557186,0.02685541363704797,NaN,-0.013333333333333197
11,BLTGlobal,-0.023125000000000062,0.0,0.02407928227109247,0.024157571679263724,-0.018500000000000072,-0.009999999999999787
23,FlatFixed,-0.005208333333333148,0.0,0.029654606373169398,0.0,NaN,-0.029999999999999916
23,LocalPrecision,-0.055208333333333415,0.0,0.0470379933718082,0.02786624611619399,NaN,-0.025000000000000022
23,BLTGlobal,-0.05395833333333333,0.0,0.04003023479386049,0.02466529931216703,-0.03875000000000006,-0.02000000000000013
37,FlatFixed,0.002291666666666692,0.0,0.014372314635872283,0.0,NaN,-0.013333333333333641
37,LocalPrecision,-0.05249999999999999,0.0,0.04771563293841405,0.02194910045703207,NaN,-0.006666666666666821
37,BLTGlobal,-0.02562500000000001,0.0,0.023542635271504513,0.01901507112968697,-0.023499999999999965,-0.0050000000000002265
53,FlatFixed,-0.019583333333333508,0.0,0.03322829284895083,0.0,NaN,-0.03166666666666673
53,LocalPrecision,-0.0252083333333335,0.0,0.01958143878114893,0.026816479077141013,NaN,-0.023333333333333317
53,BLTGlobal,-0.030208333333333393,0.0,0.022445185548871302,0.023972396668679966,-0.02024999999999999,-0.02000000000000013
71,FlatFixed,-0.023125000000000062,0.0,0.019434774268910743,0.0,NaN,-0.04833333333333334
71,LocalPrecision,-0.015833333333333255,0.0,0.013313602986547865,0.02494410945314989,NaN,-0.02499999999999991
71,BLTGlobal,-0.01979166666666654,0.0,0.034795074003350225,0.022566097580353134,-0.013500000000000179,-0.02499999999999991
97,FlatFixed,0.011249999999999982,0.0,0.008254040576895244,0.0,NaN,-0.039999999999999813
97,LocalPrecision,-0.019166666666666665,0.0,0.022053147401958403,0.024808899719729827,NaN,-0.05166666666666675
97,BLTGlobal,-0.02375000000000016,0.0,0.026578292697589857,0.022523567960784543,-0.02575000000000016,-0.04833333333333345
131,FlatFixed,-0.003958333333333397,0.0,0.010223785744773131,0.0,NaN,-0.030000000000000138
131,LocalPrecision,-0.028125000000000067,0.0,0.025820030859813235,0.029969206316422733,NaN,-0.0016666666666667052
131,BLTGlobal,-0.033333333333333215,0.0,0.03102603271505608,0.02704329949746402,-0.03049999999999997,-0.0033333333333335213
173,FlatFixed,-0.01625000000000021,0.0,0.01680952428765653,0.0,NaN,-0.015000000000000013
173,LocalPrecision,-0.03083333333333338,0.0,0.02192918146521172,0.03018882936041907,NaN,-0.0033333333333330772
173,BLTGlobal,-0.017708333333333437,0.0,0.02275389092180968,0.026957304765696445,-0.016249999999999876,-0.0033333333333330772
211,FlatFixed,-0.002083333333333437,0.0,0.00853232130213219,0.0,NaN,-0.030000000000000027
211,LocalPrecision,-0.030000000000000138,0.0,0.01716242043207812,0.029608901265839656,NaN,-0.025000000000000022
211,BLTGlobal,-0.019999999999999907,0.0,0.020318266541249404,0.026271270059105428,-0.020000000000000018,-0.02000000000000013
251,FlatFixed,0.0016666666666667052,0.0,-0.0067724643061009004,0.0,NaN,-0.03500000000000003
251,LocalPrecision,-0.061249999999999916,0.0,0.049897867926852704,0.02435957036580695,NaN,-0.05499999999999994
251,BLTGlobal,-0.059791666666666576,0.0,0.04882893030720223,0.02106313819196331,-0.0532499999999998,-0.05166666666666664
