seed,model,world_accuracy,heldout_nll,ece,future_reliability_brier,context_recovery_accuracy,switch_recovery_accuracy
11,FlatFixed,0.8420833333333334,1.7197420098728409,0.09627605555201513,0.25,NaN,0.8433333333333332
11,LocalPrecision,0.9527083333333332,0.7522130712824218,0.04601620010533598,0.0796320912572411,NaN,0.9816666666666667
11,BLTGlobal,0.963125,0.7379048176611597,0.038404234420696404,0.07722177777672802,0.9705,0.9850000000000001
23,FlatFixed,0.7445833333333334,1.7011469825945995,0.1541361259624893,0.25,NaN,0.8533333333333333
23,LocalPrecision,0.9052083333333334,0.7579412707554775,0.08285343280506731,0.08352033119202705,NaN,0.9716666666666667
23,BLTGlobal,0.9110416666666667,0.7433595796078574,0.07354396241144684,0.0807004008547757,0.92325,0.9766666666666666
37,FlatFixed,0.8197916666666668,1.6988515306543701,0.10216080501139599,0.25,NaN,0.8733333333333333
37,LocalPrecision,0.93125,0.7433354607776598,0.0630797384936144,0.07455367210450677,NaN,0.9916666666666666
37,BLTGlobal,0.96125,0.7292257060593939,0.03650598571120407,0.07183843838319844,0.9712500000000001,0.9933333333333332
53,FlatFixed,0.8212499999999998,1.7127652515052714,0.11303447788366419,0.25,NaN,0.8499999999999999
53,LocalPrecision,0.9704166666666666,0.7686326501263392,0.025546677966318855,0.08178414317553093,NaN,0.9733333333333334
53,BLTGlobal,0.9652083333333333,0.7544935822499452,0.03321152963814867,0.07913415109674843,0.9795,0.9766666666666666
71,FlatFixed,0.7558333333333334,1.7055665979488002,0.13632483909205,0.25,NaN,0.8733333333333333
71,LocalPrecision,0.9464583333333334,0.7587494209423897,0.04905758320021469,0.07893975039808346,NaN,0.97
71,BLTGlobal,0.9512500000000002,0.7461905639251862,0.06222092076027598,0.07661577992388721,0.9617499999999998,0.97
97,FlatFixed,0.8035416666666666,1.6958927506498278,0.11561280633030369,0.25,NaN,0.8483333333333333
97,LocalPrecision,0.9520833333333334,0.7238612427977931,0.04988522266341828,0.07569012862954692,NaN,0.945
97,BLTGlobal,0.9627083333333333,0.7119696667144729,0.04386389095474681,0.0729232165457398,0.9612499999999999,0.9483333333333333
131,FlatFixed,0.8647916666666667,1.7022890581854913,0.08481066006614713,0.25,NaN,0.8699999999999999
131,LocalPrecision,0.9547916666666667,0.7623668990671038,0.04585754991515199,0.085443652707269,NaN,0.9966666666666667
131,BLTGlobal,0.9581250000000001,0.7478097541247061,0.041999866364330826,0.08280532171046454,0.9640000000000001,0.9949999999999999
173,FlatFixed,0.8318749999999999,1.7123099126499688,0.10262688893387109,0.25,NaN,0.8566666666666667
173,LocalPrecision,0.9527083333333334,0.751638348122295,0.04621018773492703,0.08428103154765296,NaN,0.9916666666666668
173,BLTGlobal,0.9550000000000001,0.7365092462477161,0.045351579556404495,0.08128547164937533,0.9585000000000001,0.9916666666666668
211,FlatFixed,0.828125,1.7148273461059156,0.09170504496294749,0.25,NaN,0.8516666666666666
211,LocalPrecision,0.9554166666666667,0.7539664468472191,0.03600856362572186,0.08352380652607219,NaN,0.9716666666666667
211,BLTGlobal,0.9725000000000001,0.7381286843453748,0.03449128011439293,0.0805197780871301,0.97875,0.9766666666666666
251,FlatFixed,0.7729166666666667,1.713994138647709,0.12031520950251026,0.25,NaN,0.865
251,LocalPrecision,0.8952083333333334,0.7697543092737542,0.08822686242180527,0.07937712613591441,NaN,0.9416666666666668
251,BLTGlobal,0.9035416666666667,0.7551457724919859,0.08556997501840259,0.07651114836886631,0.9105000000000001,0.9450000000000001
