seed,model,world_accuracy,heldout_nll,ece,future_reliability_brier,context_recovery_accuracy,switch_recovery_accuracy
11,FlatFixed,0.85375,1.7197420098728409,0.0709917850741482,0.25,NaN,0.8866666666666667
11,LocalPrecision,0.9862500000000001,0.7522130712824218,0.016872349199764124,0.052776677620193134,NaN,0.9949999999999999
11,BLTGlobal,0.9862500000000001,0.7379048176611597,0.014324952149603937,0.053064206097464296,0.9890000000000001,0.9949999999999999
23,FlatFixed,0.7497916666666665,1.7011469825945995,0.1244815195893199,0.25,NaN,0.8833333333333332
23,LocalPrecision,0.9604166666666668,0.7579412707554775,0.03581543943325911,0.05565408507583306,NaN,0.9966666666666667
23,BLTGlobal,0.9650000000000001,0.7433595796078574,0.03351372761758635,0.05603510154260867,0.9620000000000001,0.9966666666666667
37,FlatFixed,0.8175000000000001,1.6988515306543701,0.0877884903755237,0.25,NaN,0.8866666666666669
37,LocalPrecision,0.98375,0.7433354607776598,0.015364105555200343,0.052604571647474695,NaN,0.9983333333333334
37,BLTGlobal,0.9868750000000001,0.7292257060593939,0.012963350439699558,0.052823367253511465,0.99475,0.9983333333333334
53,FlatFixed,0.8408333333333333,1.7127652515052714,0.07980618503471336,0.25,NaN,0.8816666666666666
53,LocalPrecision,0.9956250000000001,0.7686326501263392,0.005965239185169924,0.054967664098389914,NaN,0.9966666666666667
53,BLTGlobal,0.9954166666666667,0.7544935822499452,0.010766344089277367,0.05516175442806846,0.99975,0.9966666666666667
71,FlatFixed,0.7789583333333334,1.7055665979488002,0.11689006482313927,0.25,NaN,0.9216666666666666
71,LocalPrecision,0.9622916666666667,0.7587494209423897,0.03574398021366682,0.053995640944933566,NaN,0.9949999999999999
71,BLTGlobal,0.9710416666666667,0.7461905639251862,0.027425846756925755,0.05404968234353408,0.97525,0.9949999999999999
97,FlatFixed,0.7922916666666666,1.6958927506498278,0.10735876575340844,0.25,NaN,0.8883333333333331
97,LocalPrecision,0.9712500000000001,0.7238612427977931,0.027832075261459876,0.0508812289098171,NaN,0.9966666666666667
97,BLTGlobal,0.9864583333333334,0.7119696667144729,0.017285598257156955,0.050399648584955256,0.9870000000000001,0.9966666666666667
131,FlatFixed,0.8687500000000001,1.7022890581854913,0.074586874321374,0.25,NaN,0.9
131,LocalPrecision,0.9829166666666668,0.7623668990671038,0.020037519055338758,0.05547444639084627,NaN,0.9983333333333334
131,BLTGlobal,0.9914583333333333,0.7478097541247061,0.010973833649274749,0.055762022213000514,0.9945,0.9983333333333334
173,FlatFixed,0.8481250000000001,1.7123099126499688,0.08581736464621456,0.25,NaN,0.8716666666666667
173,LocalPrecision,0.9835416666666668,0.751638348122295,0.02428100626971531,0.05409220218723389,NaN,0.9949999999999999
173,BLTGlobal,0.9727083333333335,0.7365092462477161,0.022597688634594815,0.054328166883678884,0.97475,0.9949999999999999
211,FlatFixed,0.8302083333333334,1.7148273461059156,0.0831727236608153,0.25,NaN,0.8816666666666666
211,LocalPrecision,0.9854166666666668,0.7539664468472191,0.018846143193643736,0.053914905260232536,NaN,0.9966666666666667
211,BLTGlobal,0.9925,0.7381286843453748,0.014173013573143527,0.05424850802802467,0.99875,0.9966666666666667
251,FlatFixed,0.77125,1.713994138647709,0.12708767380861116,0.25,NaN,0.9
251,LocalPrecision,0.9564583333333333,0.7697543092737542,0.03832899449495257,0.05501755577010746,NaN,0.9966666666666667
251,BLTGlobal,0.9633333333333333,0.7551457724919859,0.03674104471120036,0.055448010176903005,0.9637499999999999,0.9966666666666667
