seed,model,posterior_mode,episode_kind,episode_index,t,p_s1,p_s2,p_s3,p_s4,p_phi1,p_phi2,p_phi3,p_phi4
11,FlatFixed,filtered,natural,1,1,0.07608695652173911,0.07608695652173911,0.42391304347826086,0.42391304347826086,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,2,0.18799621928166352,0.03374291115311908,0.6598298676748582,0.11843100189035914,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,3,0.060488572068700314,0.7213965184040722,0.17442459763872276,0.04369031188850468,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,4,0.12699267422195984,0.8094176028794743,0.04390939913529185,0.01968032376327397,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,5,0.006904925459463159,0.9862230517334172,0.003877453163993109,0.00299456964312658,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,6,0.02139464304282786,0.32327756559188586,0.6351385478860647,0.020189243479221526,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,7,0.017415598441130394,0.08008314865247518,0.8068656153350229,0.09563563757137156,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,8,0.07965620751753576,0.025508780896469532,0.8665438189110207,0.028291192674973983,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,9,0.02404494808006534,0.014886205844964001,0.8755093332257201,0.08555951284925063,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,10,0.08126142013508718,0.01304186418773468,0.8807443092735018,0.024952406403676203,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,11,0.004859131035736899,0.002553312400692227,0.9896316682473126,0.002955888316258122,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,12,0.0020500760245803257,0.0019798984045895384,0.9939778747630417,0.0019921508077884046,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,13,0.05641617374637907,0.01011497112964483,0.9233519619580427,0.010116893165933531,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,14,0.01953061523094114,0.06644583039572192,0.9020970640145484,0.011926490358788492,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,15,0.002713793846738267,0.004265875613699839,0.9905581016387864,0.0024622289007753414,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,16,0.057109128894674434,0.010494313926365057,0.9221857418908401,0.01021081528812055,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,17,0.10580692515576999,0.01158970095352298,0.8710586855451703,0.011544688345536838,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,18,0.14914825934557122,0.011784400076956846,0.8272901000189662,0.011777240558505708,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,19,0.03741220830848913,0.07315816944544666,0.8762999343150271,0.013129687931037177,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,20,0.016214753951646434,0.12266038523337933,0.8488509175001074,0.012273943314866921,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,21,0.012568975127074479,0.164724564197515,0.8107667443389385,0.011939716336471902,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,22,0.0027314052684312418,0.008267628147520075,0.9862924570694618,0.002708509514586873,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,23,0.010284686669817739,0.011157553311451476,0.9212774748853876,0.057280285133343184,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,24,0.06669651086611075,0.012114732245900808,0.901488047083085,0.019700709804903387,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,25,0.004276757349512729,0.0024699514125832746,0.990532223250568,0.0027210679873360152,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,26,0.0020306794717126642,0.0019757345496900624,0.9940102149803345,0.0019833709982628516,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,27,0.010123186636025556,0.01011456720562609,0.9234029830908731,0.05635926306747517,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,28,0.06645039254772153,0.011925577954755774,0.9021036293642808,0.019520400133241796,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,29,0.004265998706985891,0.0024621826506202116,0.9905583804433952,0.002713438198998778,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,30,0.058403278049751574,0.01019943032065788,0.9211584127658912,0.010238878863699428,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,31,0.01988787798292903,0.011958628607660534,0.9014906950128513,0.06666279839655917,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,32,0.0027272565838092192,0.0024647774656087608,0.990532335834423,0.004275630116158932,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,33,0.057121423472534974,0.010211306144147073,0.9221713304496302,0.010495939933687826,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,34,0.019658247019189674,0.011949170773726425,0.9015580220931094,0.06683456011397446,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,35,0.0027194731173641913,0.002464299396284779,0.9905351982271224,0.004281029259228535,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,36,0.010253255999941951,0.056901778538629086,0.9223462147631167,0.010498750698312244,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,37,0.0023593928175905097,0.0038722074334624815,0.9914010455223428,0.0023673542266041746,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,38,0.056778840723392454,0.01042877594933259,0.9226000584097493,0.010192324917525447,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,39,0.019596624965213198,0.06675493280949797,0.901705634761544,0.011942807463744883,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,40,0.002717034592769541,0.0042777656679348075,0.9905414725988976,0.0024637271403980692,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,41,0.010252830619501106,0.010498194602334442,0.9223479306552591,0.056901044122905316,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,42,0.011954388528542513,0.06682764512662036,0.9015985720201818,0.01961939432465543,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,43,0.011915524046988401,0.11531366698874798,0.8596285934798876,0.013142215484375953,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,44,0.011289331822670256,0.8373421749814861,0.13989306409228952,0.011475429103554174,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,45,0.21350965201640074,0.46733005502949465,0.10511216789964724,0.2140481250544574,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,46,0.8979212170988389,0.05552868904074271,0.017566545843131054,0.028983548017287412,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,47,0.8831781715168117,0.01948083631468602,0.01321511987067755,0.08412587229782477,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,48,0.9897392899129729,0.002764118493601494,0.0025528595765532884,0.004943732016872151,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,49,0.9939817424125098,0.0019861188612345106,0.001979689825963092,0.0020524489002925585,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,50,0.9941336014061714,0.001954860909379493,0.0019546660167427668,0.0019568716677064316,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,51,0.9941390154635523,0.001953643165699545,0.0019536372584543437,0.001953704112293919,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,52,0.994139208457191,0.0019535966248536026,0.0019535964458043866,0.001953598472151214,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,53,0.9234500167606973,0.010110374935294325,0.010110374907208156,0.05632923339680018,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,54,0.9914460404120007,0.0023522297000226934,0.0023522296991128353,0.003849500188863732,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,55,0.32954207145797487,0.020277639741081505,0.6294344907296382,0.02074579807130559,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,56,0.01779075804949564,0.0037564258220173195,0.9746751454141782,0.0037776707143088494,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,57,0.002477529581833135,0.0020444726011851606,0.9934328696627742,0.0020451281542076226,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,58,0.0019707428133436283,0.001957608366129758,0.9941140205717326,0.001957628248794059,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,59,0.0019541593913824477,0.0019537612758613048,0.9941383174542355,0.0019537618785206426,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,60,0.00195361351335724,0.001953601446426737,0.9941391835755226,0.001953601464693416,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,61,0.0019535954270458625,0.001953595061296,0.9941392144498086,0.0019535950618496654,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,62,0.0019535948239279705,0.001953594812842056,0.9941392155503711,0.0019535948128588383,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,63,0.001953594803689698,0.001953594803353683,0.9941392155896024,0.0019535948033541917,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,64,0.001953594803006489,0.001953594802996304,0.9941392155910009,0.0019535948029963195,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,65,0.0019535948029832926,0.001953594802982984,0.9941392155910508,0.0019535948029829847,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,66,0.020228740792061925,0.6279166274433889,0.3316258909724872,0.020228740792061828,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,67,0.0037619911799517936,0.9745536110927044,0.017922406547391915,0.0037619911799517893,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,68,0.002044874703787805,0.9934283791328136,0.0024818714596107324,0.002044874703787805,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,69,0.0019576285712608605,0.9941138602929505,0.001970882564527921,0.0019576285712608605,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,70,0.6279320437729794,0.33160532174532353,0.020233397042594036,0.020229237439103206,NaN,NaN,NaN,NaN
11,FlatFixed,filtered,natural,1,71,0.9745548480015794,0.017921093771723694,0.003762123687869661,0.0037619345388272625,NaN,NaN,NaN,NaN
