model,t,p_gA,p_gB
BLTGlobal,1,0.3181647954815146,0.6818352045184854
BLTGlobal,2,0.30655829306544113,0.693441706934559
BLTGlobal,3,0.2942109500696181,0.7057890499303818
BLTGlobal,4,0.2810754787974662,0.7189245212025339
BLTGlobal,5,0.26710157318879385,0.7328984268112062
BLTGlobal,6,0.2522357161582913,0.7477642838417088
BLTGlobal,7,0.23642097463648015,0.76357902536352
BLTGlobal,8,0.25024602384777045,0.7497539761522296
BLTGlobal,9,0.2631145684695415,0.7368854315304583
BLTGlobal,10,0.2750758922897067,0.7249241077102933
BLTGlobal,11,0.28617580463353454,0.7138241953664652
BLTGlobal,12,0.29645681580361843,0.7035431841963814
BLTGlobal,13,0.3059582998852908,0.6940417001147093
BLTGlobal,14,0.3147166455409917,0.6852833544590082
BLTGlobal,15,0.32276539537110505,0.6772346046288951
BLTGlobal,16,0.3301353743749799,0.66986462562502
BLTGlobal,17,0.3368548080041209,0.6631451919958791
BLTGlobal,18,0.34294943025966035,0.6570505697403394
BLTGlobal,19,0.3484425822481094,0.6515574177518907
BLTGlobal,20,0.3533553015728275,0.6466446984271724
BLTGlobal,21,0.3577064029035695,0.6422935970964305
BLTGlobal,22,0.36151255003266547,0.6384874499673344
BLTGlobal,23,0.3647883196938014,0.6352116803061986
BLTGlobal,24,0.36754625738780716,0.6324537426121926
BLTGlobal,25,0.36979692542925574,0.6302030745707442
BLTGlobal,26,0.37154894339788014,0.6284510566021199
BLTGlobal,27,0.3728090211497306,0.6271909788502696
BLTGlobal,28,0.37358198451449454,0.6264180154855054
BLTGlobal,29,0.3738707937773995,0.6261292062226006
BLTGlobal,30,0.3736765550164729,0.626323444983527
BLTGlobal,31,0.3729985243385884,0.6270014756614116
BLTGlobal,32,0.371834105030511,0.628165894969489
BLTGlobal,33,0.37017883761404,0.62982116238596
BLTGlobal,34,0.36802638276715455,0.6319736172328453
BLTGlobal,35,0.3653684970457604,0.6346315029542398
BLTGlobal,36,0.362195001313052,0.6378049986869478
BLTGlobal,37,0.35849374175558524,0.6415062582444147
BLTGlobal,38,0.3542505433367568,0.6457494566632431
BLTGlobal,39,0.34944915550943095,0.650550844490569
BLTGlobal,40,0.3440711899798008,0.6559288100201991
BLTGlobal,41,0.3380960502841358,0.6619039497158642
BLTGlobal,42,0.331500852908708,0.6684991470912922
BLTGlobal,43,0.32426033965080264,0.6757396603491974
BLTGlobal,44,0.3163467808851771,0.6836532191148228
BLTGlobal,45,0.3077298693654947,0.6922701306345052
BLTGlobal,46,0.2983766041540208,0.7016233958459793
BLTGlobal,47,0.2882511642350515,0.7117488357649484
BLTGlobal,48,0.27731477132804633,0.7226852286719538
BLTGlobal,49,0.26552554137506335,0.7344744586249368
BLTGlobal,50,0.25283832413372953,0.7471616758662704
BLTGlobal,51,0.23920453026141852,0.7607954697385817
BLTGlobal,52,0.25485225844573334,0.7451477415542666
BLTGlobal,53,0.26956112293898943,0.7304388770610105
BLTGlobal,54,0.2833874555626501,0.71661254443735
BLTGlobal,55,0.29638420822889094,0.703615791771109
BLTGlobal,56,0.3086011557351575,0.6913988442648424
BLTGlobal,57,0.3200850863910481,0.679914913608952
BLTGlobal,58,0.3308799812075852,0.6691200187924148
BLTGlobal,59,0.3410271823351301,0.6589728176648699
BLTGlobal,60,0.3505655513950224,0.6494344486049779
HierFixed,1,0.26994300555127393,0.7300569944487262
HierFixed,2,0.2552585165439084,0.7447414834560917
HierFixed,3,0.23963671972756215,0.7603632802724378
HierFixed,4,0.22301778694421498,0.7769822130557851
HierFixed,5,0.20533807121725,0.7946619287827501
HierFixed,6,0.18652986299707447,0.8134701370029255
HierFixed,7,0.1665211308479515,0.8334788691520483
HierFixed,8,0.18398373443617508,0.8160162655638248
HierFixed,9,0.20023606296479252,0.7997639370352077
HierFixed,10,0.2153403593941262,0.7846596406058739
HierFixed,11,0.22935446996582026,0.7706455300341797
HierFixed,12,0.2423320657416389,0.7576679342583611
HierFixed,13,0.25432284815221273,0.7456771518477874
HierFixed,14,0.26537273934294386,0.7346272606570563
HierFixed,15,0.27552405804605234,0.7244759419539476
HierFixed,16,0.28481568165231586,0.715184318347684
HierFixed,17,0.2932831951032054,0.7067168048967947
HierFixed,18,0.3009590271736389,0.6990409728263611
HierFixed,19,0.3078725746672907,0.6921274253327092
HierFixed,20,0.31405031500009384,0.685949684999906
HierFixed,21,0.31951590760311016,0.6804840923968899
HierFixed,22,0.3242902845331172,0.675709715466883
HierFixed,23,0.3283917306379317,0.6716082693620684
HierFixed,24,0.33183595358348716,0.6681640464165128
HierFixed,25,0.3346361440108518,0.6653638559891483
HierFixed,26,0.3368030260535772,0.6631969739464227
HierFixed,27,0.3383448984088482,0.6616551015911518
HierFixed,28,0.33926766611972753,0.6607323338802723
HierFixed,29,0.33957486319021435,0.6604251368097855
HierFixed,30,0.3392676661197276,0.6607323338802723
HierFixed,31,0.3383448984088482,0.6616551015911518
HierFixed,32,0.33680302605357715,0.6631969739464229
HierFixed,33,0.3346361440108518,0.6653638559891484
HierFixed,34,0.33183595358348694,0.668164046416513
HierFixed,35,0.3283917306379315,0.6716082693620686
HierFixed,36,0.32429028453311687,0.6757097154668832
HierFixed,37,0.3195159076031099,0.6804840923968901
HierFixed,38,0.3140503150000937,0.6859496849999063
HierFixed,39,0.3078725746672907,0.6921274253327094
HierFixed,40,0.300959027173639,0.6990409728263611
HierFixed,41,0.29328319510320533,0.7067168048967946
HierFixed,42,0.28481568165231586,0.715184318347684
HierFixed,43,0.27552405804605234,0.7244759419539479
HierFixed,44,0.26537273934294375,0.7346272606570561
HierFixed,45,0.2543228481522127,0.7456771518477874
HierFixed,46,0.24233206574163885,0.7576679342583612
HierFixed,47,0.22935446996582026,0.7706455300341797
HierFixed,48,0.21534035939412619,0.7846596406058739
HierFixed,49,0.20023606296479252,0.7997639370352075
HierFixed,50,0.18398373443617508,0.8160162655638248
HierFixed,51,0.16652113084795145,0.8334788691520485
HierFixed,52,0.18652986299707436,0.8134701370029256
HierFixed,53,0.20533807121724992,0.7946619287827501
HierFixed,54,0.2230177869442149,0.7769822130557851
HierFixed,55,0.23963671972756204,0.760363280272438
HierFixed,56,0.25525851654390824,0.7447414834560917
HierFixed,57,0.26994300555127376,0.7300569944487263
HierFixed,58,0.2837464252181974,0.7162535747818026
HierFixed,59,0.29672163970510546,0.7032783602948945
HierFixed,60,0.30891834132279916,0.691081658677201
LocalBranch,1,0.20437795179942925,0.7956220482005706
LocalBranch,2,0.189730568672207,0.8102694313277929
LocalBranch,3,0.17710531635531926,0.822894683644681
LocalBranch,4,0.16573646122814878,0.8342635387718514
LocalBranch,5,0.15503921339205992,0.8449607866079403
LocalBranch,6,0.14452128892330615,0.8554787110766939
LocalBranch,7,0.1337107205365698,0.8662892794634303
LocalBranch,8,0.13885611300981265,0.8611438869901873
LocalBranch,9,0.1429625860915035,0.8570374139084969
LocalBranch,10,0.146303273155822,0.853696726844178
LocalBranch,11,0.1490697333815914,0.8509302666184086
LocalBranch,12,0.15139754812810785,0.8486024518718921
LocalBranch,13,0.1533835290458269,0.8466164709541733
LocalBranch,14,0.15509738974909879,0.8449026102509012
LocalBranch,15,0.1565897334153255,0.8434102665846743
LocalBranch,16,0.15789756812773595,0.842102431872264
LocalBranch,17,0.15904814876354395,0.8409518512364561
LocalBranch,18,0.16006167616711237,0.8399383238328876
LocalBranch,19,0.16095320913441255,0.8390467908655875
LocalBranch,20,0.16173402935005318,0.8382659706499469
LocalBranch,21,0.16241262283257984,0.8375873771674199
LocalBranch,22,0.1629953901925538,0.8370046098074463
LocalBranch,23,0.16348716341760336,0.8365128365823966
LocalBranch,24,0.16389158334540718,0.8361084166545927
LocalBranch,25,0.16421137579678832,0.8357886242032118
LocalBranch,26,0.1644485530992368,0.8355514469007631
LocalBranch,27,0.16460455983048006,0.8353954401695199
LocalBranch,28,0.16468037597399965,0.8353196240260006
LocalBranch,29,0.16467658656947026,0.8353234134305297
LocalBranch,30,0.16459342385070314,0.835406576149297
LocalBranch,31,0.16443078542564185,0.8355692145743583
LocalBranch,32,0.16418822999042454,0.8358117700095755
LocalBranch,33,0.16386495015515154,0.8361350498448485
LocalBranch,34,0.16345971998338613,0.836540280016614
LocalBranch,35,0.16297081258998386,0.8370291874100162
LocalBranch,36,0.16239588033954747,0.8376041196604526
LocalBranch,37,0.1617317864959207,0.8382682135040791
LocalBranch,38,0.16097437211122056,0.8390256278887793
LocalBranch,39,0.16011813481554468,0.8398818651844556
LocalBranch,40,0.1591557859453567,0.8408442140546432
LocalBranch,41,0.15807763757953164,0.8419223624204684
LocalBranch,42,0.1568707491790194,0.8431292508209804
LocalBranch,43,0.15551773103046032,0.8444822689695398
LocalBranch,44,0.1539950529821373,0.8460049470178629
LocalBranch,45,0.15227063333043317,0.8477293666695669
LocalBranch,46,0.15030037055233805,0.849699629447662
LocalBranch,47,0.1480231084780079,0.8519768915219923
LocalBranch,48,0.14535325964647947,0.8546467403535205
LocalBranch,49,0.1421698983728279,0.857830101627172
LocalBranch,50,0.1383004891584827,0.8616995108415174
LocalBranch,51,0.13349640131136528,0.8665035986886347
LocalBranch,52,0.14310599527241075,0.8568940047275891
LocalBranch,53,0.1520393441543199,0.8479606558456801
LocalBranch,54,0.1606288350033327,0.8393711649966671
LocalBranch,55,0.16915876738788505,0.8308412326121151
LocalBranch,56,0.1779040444085991,0.8220959555914008
LocalBranch,57,0.1871668272910771,0.8128331727089231
LocalBranch,58,0.19731760112670077,0.8026823988732992
LocalBranch,59,0.20884792755899564,0.7911520724410045
LocalBranch,60,0.2224444343424256,0.7775555656575744
