seed,model,scene_accuracy_delta,coherence_delta,binding_index_delta,micro_switch_rate_delta,mean_dwell_delta,confident_wrong_delta,heldout_nll_delta
11,HierFixed,0.02024999999999999,0.015102050506528353,-0.08487305139648085,0.04020100502512563,-177.77777777777777,0.0,0.0
11,LocalBranch,-0.020499999999999963,-0.03065095119283945,-0.0024788129492962635,0.06532663316582914,-4.659498207885305,0.0049999999999999975,0.0
11,BLTGlobal,0.007000000000000228,-0.01343032901384189,-0.23157684298167724,0.010050251256281407,-133.33333333333331,-0.75,0.0
23,HierFixed,-0.03324999999999989,0.006549193896252636,-0.10067685280660374,0.020100502512562814,-160.0,-0.01,0.0
23,LocalBranch,0.04375000000000018,-0.02247575736274149,-0.005659111650296249,0.020100502512562818,-2.807017543859649,0.0049999999999999975,0.0
23,BLTGlobal,-0.022750000000000048,-0.010918899407740157,-0.21026632156919867,0.010050251256281405,-50.0,-0.09,0.0
37,HierFixed,-0.02024999999999988,0.01381829705787535,-0.03021554804357758,0.0,0.0,0.0,0.0
37,LocalBranch,0.012500000000000067,-0.029138276783383432,-0.005221191763473451,0.0,0.0,0.0049999999999999975,0.0
37,BLTGlobal,0.0017500000000000293,-0.006684036004935501,0.02387256608681751,0.04020100502512563,-15.238095238095239,-0.885,0.0
53,HierFixed,0.012749999999999928,0.008333103274401232,-0.07770501279751857,0.025125628140703515,-71.42857142857143,0.0,0.0
53,LocalBranch,-0.013999999999999901,-0.03114825965286283,-0.00730872906183147,0.035175879396984924,-3.431372549019608,0.0,0.0
53,BLTGlobal,-0.015999999999999903,-0.021793667911222725,-0.2321304353921414,0.020100502512562814,-160.0,-0.05,0.0
71,HierFixed,0.010499999999999898,0.01044721105982327,-0.11019032351097574,0.04020100502512563,-80.0,-0.01,0.0
71,LocalBranch,0.011750000000000038,-0.019598024589154606,-0.008117521512013552,0.04522613065326633,-7.142857142857144,-0.0050000000000000044,0.0
71,BLTGlobal,-0.06524999999999992,-0.011942437296727837,-0.2682668706514907,0.010050251256281407,-133.33333333333331,-0.59,0.0
97,HierFixed,-0.003250000000000086,0.008417866972932647,-0.07495824147365807,0.05025125628140704,-181.8181818181818,-0.045,0.0
97,LocalBranch,0.009500000000000008,-0.03211985208264784,-0.008265973445912317,0.040201005025125636,-4.166666666666666,0.0049999999999999975,0.0
97,BLTGlobal,-0.0625,-0.016170682227561906,-0.19653700888110692,0.0,0.0,-0.76,0.0
131,HierFixed,-0.0022499999999998632,0.008267568604142322,-0.07907101088151153,0.010050251256281407,-26.66666666666667,0.0,0.0
131,LocalBranch,-0.014750000000000096,-0.02207793317531631,-0.010957474706093678,0.025125628140703515,-2.6737967914438503,0.0049999999999999975,0.0
131,BLTGlobal,-0.05850000000000011,-0.01699584318832381,-0.17549666283119456,0.020100502512562814,-160.0,-0.41000000000000003,0.0
173,HierFixed,-0.0027500000000001412,0.00891519886072159,-0.1570946725532769,0.010050251256281405,-50.0,0.0,0.0
173,LocalBranch,0.013499999999999956,-0.02077635008415718,-0.013349547124897845,0.04020100502512562,-6.666666666666668,0.0049999999999999975,0.0
173,BLTGlobal,0.01474999999999993,0.001959170213914674,-0.23996845556765656,0.010050251256281407,-133.33333333333331,-0.69,0.0
211,HierFixed,-0.0022499999999999742,0.009029360265413067,-0.0899154062388714,0.0,0.0,0.0,0.0
211,LocalBranch,0.02024999999999999,-0.03448751338878109,-0.00698331094712671,0.015075376884422106,-2.222222222222223,0.0049999999999999975,0.0
211,BLTGlobal,-0.09099999999999997,-0.020195033723442335,-0.22325700610337496,0.010050251256281407,-133.33333333333331,-0.28,0.0
251,HierFixed,-0.02100000000000002,0.007331713476638052,-0.14402052032388402,0.03015075376884422,-171.42857142857142,0.0,0.0
251,LocalBranch,0.012750000000000095,-0.023035839800637725,-0.008482685472614063,0.015075376884422106,-2.222222222222223,0.0,0.0
251,BLTGlobal,-0.039750000000000174,-0.015107414473964909,-0.3306320543440325,0.010050251256281407,-133.33333333333331,-0.030000000000000006,0.0
