seed,model,scene_accuracy,coherence,binding_index,micro_switch_rate,mean_dwell,confident_wrong,heldout_nll,unambiguous_accuracy
11,HierFixed,0.44075,0.1850118557767656,0.2042143305778157,0.0,200.0,0.0,1.3796867881715413,0.0
11,LocalBranch,0.56975,0.5376208489369114,0.02851041403431089,0.08542713567839195,11.11111111111111,0.035,1.36098334476324,1.0
11,BLTGlobal,0.5704999999999999,0.5896311743418391,0.5946660371432889,0.0,200.0,0.79,1.3482484328261202,1.0
23,HierFixed,0.5562499999999999,0.19247282074107017,0.24708255026022058,0.0,200.0,0.01,1.3803312405212997,0.0
23,LocalBranch,0.43549999999999994,0.5173945363479306,0.04629146593962619,0.07035175879396985,13.333333333333334,0.035,1.3683631152471776,1.0
23,BLTGlobal,0.56125,0.5681387691159241,0.5135459963444685,0.005025125628140704,100.0,0.125,1.3566624384856043,1.0
37,HierFixed,0.5462499999999999,0.18448726444620694,0.11272808876666071,0.01507537688442211,50.0,0.0,1.379026777208246,0.0
37,LocalBranch,0.46724999999999994,0.5306273517978533,0.029541567563051138,0.08040201005025126,11.764705882352942,0.04,1.3613156971475575,1.0
37,BLTGlobal,0.59475,0.5815856123487684,0.12093968147472892,0.03015075376884422,28.571428571428573,0.945,1.3462070853894141,1.0
53,HierFixed,0.4682500000000001,0.19079529631386893,0.19606452827992119,0.005025125628140704,100.0,0.0,1.3796749610555894,0.0
53,LocalBranch,0.5399999999999999,0.5327359747870897,0.043454295883068664,0.08040201005025126,11.764705882352942,0.04,1.360726866518163,1.0
53,BLTGlobal,0.5567499999999999,0.5910320755038083,0.48744001801082576,0.0,200.0,0.085,1.3458460261673766,1.0
71,HierFixed,0.46575000000000005,0.18959076478462844,0.2565354514453593,0.005025125628140704,100.0,0.01,1.380773391721116,0.0
71,LocalBranch,0.525,0.5067903831907015,0.039389357097742134,0.05527638190954774,16.666666666666668,0.035,1.3644426541217058,1.0
71,BLTGlobal,0.60725,0.5765951280335114,0.6023541764907879,0.0,200.0,0.615,1.352589847833388,1.0
97,HierFixed,0.5125000000000001,0.18886781937810837,0.19959846674886228,0.0,200.0,0.045,1.3792959097419344,0.0
97,LocalBranch,0.49899999999999994,0.5312759874953004,0.0443159172163387,0.07537688442211055,12.5,0.035,1.3621453820761171,1.0
97,BLTGlobal,0.663,0.5809906804344573,0.5132838314144388,0.005025125628140704,100.0,0.995,1.348412141566019,1.0
131,HierFixed,0.5239999999999999,0.1972137272178902,0.21768673877518105,0.010050251256281407,66.66666666666667,0.0,1.3802486595539682,0.0
131,LocalBranch,0.5022500000000001,0.5182994502725565,0.04989463432986598,0.08040201005025126,11.764705882352942,0.035,1.365152399820835,1.0
131,BLTGlobal,0.6210000000000001,0.5882669732270737,0.42257848553201,0.0,200.0,0.52,1.3498807287208647,1.0
173,HierFixed,0.5130000000000001,0.190562499370103,0.37532693822033325,0.005025125628140704,100.0,0.0,1.3802248517135922,0.0
173,LocalBranch,0.48650000000000004,0.5128541794673575,0.0596242332807315,0.05527638190954774,16.666666666666668,0.035,1.3655656043819697,1.0
173,BLTGlobal,0.5685,0.5697448012968706,0.6376648515168143,0.0,200.0,0.725,1.3534505259570044,1.0
211,HierFixed,0.47675,0.18913939426586784,0.23038065099504185,0.020100502512562814,40.0,0.0,1.3789716953755202,0.0
211,LocalBranch,0.513,0.5352853316099028,0.04308416104648236,0.07035175879396985,13.333333333333334,0.035,1.3581890378136505,1.0
211,BLTGlobal,0.61275,0.5827911587305997,0.5788989734172059,0.0,200.0,0.315,1.3436067362440554,1.0
251,HierFixed,0.5152500000000001,0.19833599030317214,0.29707616899592987,0.0,200.0,0.0,1.3806858083752227,0.0
251,LocalBranch,0.49625,0.5226694894061912,0.04258425103962377,0.07035175879396985,13.333333333333334,0.04,1.3694328008139462,1.0
251,BLTGlobal,0.5787500000000001,0.579448984093698,0.71078664043278,0.0,200.0,0.07,1.3572425247710111,1.0
