seed,model,posterior_mode,t,p_gA,p_gB
11,HierFixed,filtered,1,0.5,0.49999999999999994
11,HierFixed,filtered,2,0.5,0.4999999999999999
11,HierFixed,filtered,3,0.5000000000000001,0.4999999999999999
11,HierFixed,filtered,4,0.5000000000000001,0.4999999999999998
11,HierFixed,filtered,5,0.5000000000000002,0.4999999999999999
11,HierFixed,filtered,6,0.5000000000000002,0.4999999999999998
11,HierFixed,filtered,7,0.5647265304090221,0.435273469590978
11,HierFixed,filtered,8,0.5608429385844806,0.4391570614155193
11,HierFixed,filtered,9,0.5571923622694118,0.4428076377305881
11,HierFixed,filtered,10,0.5537608205332472,0.44623917946675284
11,HierFixed,filtered,11,0.5505351713012523,0.44946482869874776
11,HierFixed,filtered,12,0.547503061023177,0.4524969389768229
11,HierFixed,filtered,13,0.5446528773617865,0.45534712263821353
11,HierFixed,filtered,14,0.6055531626176659,0.394446837382334
11,HierFixed,filtered,15,0.5992199728606059,0.400780027139394
11,HierFixed,filtered,16,0.5932667744889695,0.40673322551103036
11,HierFixed,filtered,17,0.5876707680196314,0.4123292319803685
11,HierFixed,filtered,18,0.5824105219384534,0.4175894780615464
11,HierFixed,filtered,19,0.5774658906221463,0.42253410937785363
11,HierFixed,filtered,20,0.5728179371848174,0.4271820628151824
11,HierFixed,filtered,21,0.5684488609537284,0.4315511390462714
11,HierFixed,filtered,22,0.5643419292965048,0.4356580707034952
11,HierFixed,filtered,23,0.49568735132874076,0.5043126486712589
11,HierFixed,filtered,24,0.5607363881664054,0.4392636118335947
11,HierFixed,filtered,25,0.6200442979337647,0.37995570206623525
11,HierFixed,filtered,26,0.5495631154653674,0.4504368845346328
11,HierFixed,filtered,27,0.6099891410699914,0.39001085893000864
11,HierFixed,filtered,28,0.6033897926057918,0.3966102073942081
11,HierFixed,filtered,29,0.5971864050494442,0.4028135949505557
11,HierFixed,filtered,30,0.5913552207464776,0.40864477925352233
11,HierFixed,filtered,31,0.5858739075016889,0.414126092498311
11,HierFixed,filtered,32,0.6424704726591997,0.35752952734080024
11,HierFixed,filtered,33,0.6339222442996477,0.36607775570035217
11,HierFixed,filtered,34,0.6258869096416689,0.374113090358331
11,HierFixed,filtered,35,0.6183336950631688,0.3816663049368312
11,HierFixed,filtered,36,0.6112336733593786,0.3887663266406213
11,HierFixed,filtered,37,0.6045596529578161,0.39544034704218395
11,HierFixed,filtered,38,0.598286073780347,0.40171392621965285
11,HierFixed,filtered,39,0.5923889093535264,0.4076110906464737
11,HierFixed,filtered,40,0.5868455747923147,0.4131544252076853
11,HierFixed,filtered,41,0.5816348403047757,0.4183651596952242
11,HierFixed,filtered,42,0.5767367498864892,0.42326325011351085
11,HierFixed,filtered,43,0.5721325448932999,0.42786745510670016
11,HierFixed,filtered,44,0.5031330627830154,0.4968669372169846
11,HierFixed,filtered,45,0.5029450790160345,0.4970549209839656
11,HierFixed,filtered,46,0.5027683742750723,0.49723162572492763
11,HierFixed,filtered,47,0.5026022718185681,0.4973977281814321
11,HierFixed,filtered,48,0.5024461355094539,0.4975538644905461
11,HierFixed,filtered,49,0.5669860196512447,0.4330139803487552
11,HierFixed,filtered,50,0.6256450596530663,0.37435494034693384
11,HierFixed,filtered,51,0.6181063560738823,0.38189364392611774
11,HierFixed,filtered,52,0.6110199747094494,0.38898002529055065
11,HierFixed,filtered,53,0.6043587762268824,0.39564122377311767
11,HierFixed,filtered,54,0.5980972496532695,0.4019027503467305
11,HierFixed,filtered,55,0.5922114146740732,0.40778858532592666
11,HierFixed,filtered,56,0.586678729793629,0.4133212702063711
11,HierFixed,filtered,57,0.5814780060060112,0.4185219939939889
11,HierFixed,filtered,58,0.5765893256456506,0.4234106743543496
11,HierFixed,filtered,59,0.5719939661069114,0.42800603389308856
11,HierFixed,filtered,60,0.5676743281404967,0.43232567185950327
11,HierFixed,filtered,61,0.5636138684520671,0.43638613154793315
11,HierFixed,filtered,62,0.5597970363449428,0.44020296365505707
11,HierFixed,filtered,63,0.6192010228586727,0.3807989771413275
11,HierFixed,filtered,64,0.6120489614871522,0.3879510385128478
11,HierFixed,filtered,65,0.6053260237979231,0.39467397620207695
11,HierFixed,filtered,66,0.5990064623700477,0.40099353762995227
11,HierFixed,filtered,67,0.5930660746278448,0.40693392537215495
11,HierFixed,filtered,68,0.5874821101501743,0.4125178898498258
11,HierFixed,filtered,69,0.5822331835411639,0.41776681645883623
11,HierFixed,filtered,70,0.577299192528694,0.422700807471306
11,HierFixed,filtered,71,0.5726612409769725,0.4273387590230277
11,HierFixed,filtered,72,0.5683015665183541,0.4316984334816461
11,HierFixed,filtered,73,0.6268218843418647,0.37317811565813536
11,HierFixed,filtered,74,0.6192125712813529,0.3807874287186473
11,HierFixed,filtered,75,0.6120598170044717,0.38794018299552846
11,HierFixed,filtered,76,0.6053362279842033,0.39466377201579667
11,HierFixed,filtered,77,0.5990160543051509,0.40098394569484885
11,HierFixed,filtered,78,0.5930750910468421,0.4069249089531579
11,HierFixed,filtered,79,0.5874905855840317,0.4125094144159685
11,HierFixed,filtered,80,0.5822411504489896,0.4177588495510103
11,HierFixed,filtered,81,0.5773066814220504,0.42269331857794973
11,HierFixed,filtered,82,0.5726682805367274,0.42733171946327264
11,HierFixed,filtered,83,0.5683081837045237,0.43169181629547626
11,HierFixed,filtered,84,0.5642096926822523,0.43579030731774754
11,HierFixed,filtered,85,0.5603571111213173,0.43964288887868275
11,HierFixed,filtered,86,0.5567356844540381,0.4432643155459618
11,HierFixed,filtered,87,0.5533315433867958,0.4466684566132041
11,HierFixed,filtered,88,0.550131650783588,0.44986834921641183
11,HierFixed,filtered,89,0.5471237517365729,0.45287624826342715
11,HierFixed,filtered,90,0.5442963266323785,0.4557036733676214
11,HierFixed,filtered,91,0.5416385470344359,0.45836145296556424
11,HierFixed,filtered,92,0.5391402342123696,0.4608597657876302
