model,heldout_nll,rmse_x,coverage_90,first_order_precision,hyper_certainty,content_complexity,overconfidence_90,free_energy_initial,free_energy_final,phase,scenario,seed,alpha_local,alpha_hyper,input_scale,biased_priors
KalmanFixed,0.44967948446905054,0.42698403705760013,0.8125,10.914342651087232,NaN,294.1352877964294,0.08750000000000002,9.096424218728416,9.096424218728416,sweep,none,11,0.5,0.5,1.0,false
HGF2,0.1117530258242263,0.2973465616545871,0.9,10.411145747919747,NaN,300.0663684813643,0.0,2.4467855115132235,2.471038597464298,sweep,none,11,0.5,0.5,1.0,false
BLT-HGF,0.11041184658153849,0.29766486616099397,0.9,10.346414411174448,1.1749265621044693,300.0401255618405,0.0,2.496414643089294,2.517766537534153,sweep,none,11,0.5,0.5,1.0,false
KalmanFixed,0.2001870895286142,0.3119369553365809,0.8875,10.914342651087232,NaN,78.96956113997066,0.012500000000000067,3.4448414505348195,3.4448414505348195,sweep,none,11,0.5,2.0,1.0,false
HGF2,0.1114736335030784,0.29797192288871255,0.9,10.419388480445551,NaN,80.36354917752524,0.0,2.1993826895330555,2.2244487195477025,sweep,none,11,0.5,2.0,1.0,false
BLT-HGF,0.11147506527211089,0.2978089877462501,0.9125,10.281821347639701,2.089903505954222,80.35055925478072,0.0,2.229454787242893,2.24364844456358,sweep,none,11,0.5,2.0,1.0,false
KalmanFixed,0.19423029960224245,0.31814249066979394,0.875,10.914342651087232,NaN,83.69752217284336,0.025000000000000022,3.3095099095434852,3.3095099095434852,sweep,none,11,2.0,0.5,1.0,false
HGF2,0.1115264199793036,0.29347555988558416,0.9,10.868172836405538,NaN,85.20253262010273,0.0,1.9724900218174153,1.988993249517853,sweep,none,11,2.0,0.5,1.0,false
BLT-HGF,0.10784272981603422,0.2936167843234728,0.9,10.678405355379352,1.1378928973386992,85.20313865182499,0.0,2.0309132436784747,2.042379487232058,sweep,none,11,2.0,0.5,1.0,false
KalmanFixed,0.13107964373884434,0.286889922402624,0.8875,10.914342651087232,NaN,27.646018212992242,0.012500000000000067,1.8789927889079432,1.8789927889079432,sweep,none,11,2.0,2.0,1.0,false
HGF2,0.11075498728782987,0.292357517109085,0.8875,10.987327911333796,NaN,27.990567973311414,0.012500000000000067,1.7498531267103796,1.769697263440302,sweep,none,11,2.0,2.0,1.0,false
BLT-HGF,0.10843065672442187,0.29064151222605844,0.9,10.630440875232932,2.0443318898764593,28.001332765307243,0.0,1.7899738854863556,1.7971534008396968,sweep,none,11,2.0,2.0,1.0,false
KalmanFixed,0.4813417134858643,0.44358945099433733,0.8125,10.914342651087232,NaN,332.78396932747796,0.08750000000000002,9.813433004850857,9.813433004850857,scenario,dream,11,0.5,0.5,2.0,false
HGF2,0.1127547127998014,0.29966706062347276,0.8875,10.27591211192016,NaN,339.098559261957,0.012500000000000067,2.5792489054481527,2.597227635411593,scenario,dream,11,0.5,0.5,2.0,false
BLT-HGF,0.1117741951692981,0.2999612232554376,0.8875,10.248314393804971,1.1826840735430415,339.07947068453296,0.012500000000000067,2.6241838039676564,2.64082631045053,scenario,dream,11,0.5,0.5,2.0,false
KalmanFixed,0.1547408469203634,0.2939649791874129,0.9,10.913276463628787,NaN,41.226593258859225,0.0,2.500470216495104,2.500470216495104,scenario,noetic,11,0.75,4.0,1.0,true
HGF2,0.11182599698363069,0.29742677219622865,0.9,10.594254941185046,NaN,41.839120785230044,0.0,2.069235874626031,2.0960863281752777,scenario,noetic,11,0.75,4.0,1.0,true
BLT-HGF,0.11331430102849875,0.2939686530909886,0.9125,10.47820857615363,4.180854126896104,41.816140793685754,0.0,2.068208354655501,2.08445005829135,scenario,noetic,11,0.75,4.0,1.0,true
KalmanFixed,0.17188841460448737,0.2940079522485657,0.925,10.914342651087232,NaN,54.671682731271105,0.0,2.804313329851568,2.804313329851568,scenario,mpe,11,0.5,4.0,0.1,false
HGF2,0.11057164881023614,0.29466581993227847,0.9125,10.49215481252119,NaN,55.584100087622424,0.0,2.0976060501059557,2.124578990545048,scenario,mpe,11,0.5,4.0,0.1,false
BLT-HGF,0.11133756339186207,0.29472325777426817,0.9125,10.28274646372643,2.791378960946747,55.587099157127874,0.0,2.1386526205857117,2.1528754070336253,scenario,mpe,11,0.5,4.0,0.1,false
KalmanFixed,0.13107964373884434,0.286889922402624,0.8875,10.914342651087232,NaN,27.646018212992242,0.012500000000000067,1.8789927889079432,1.8789927889079432,scenario,wake,11,2.0,2.0,1.0,false
HGF2,0.11075498728782987,0.292357517109085,0.8875,10.987327911333796,NaN,27.990567973311414,0.012500000000000067,1.7498531267103796,1.769697263440302,scenario,wake,11,2.0,2.0,1.0,false
BLT-HGF,0.10843065672442187,0.29064151222605844,0.9,10.630440875232932,2.0443318898764593,28.001332765307243,0.0,1.7899738854863556,1.7971534008396968,scenario,wake,11,2.0,2.0,1.0,false
