model,heldout_nll,rmse_x,coverage_90,first_order_precision,implied_local_precision,posterior_content_precision,hyper_certainty,content_complexity,overconfidence_90,wrong_high_confidence_run_length,free_energy_initial,free_energy_final,phase,scenario,seed,alpha_local,alpha_hyper,input_scale,biased_priors
KalmanFixed,9.712710475785732,1.8997444730942887,0.4166666666666667,10.919533091655005,10.919533091655005,10.919533091655005,NaN,9508.180623593385,0.48333333333333334,13,218.924617628868,218.924617628868,sweep,none,11,0.25,0.25,1.0,false
HGF2,0.11398709853745569,0.31478740010719697,0.8944444444444445,0.04033847040762111,0.04033847040762111,10.05354079788531,NaN,9638.613048628935,0.005555555555555536,1,3.980428621344022,3.9845019529274666,sweep,none,11,0.25,0.25,1.0,false
BLT-HGF,0.11367420514228607,0.31386057841946263,0.8944444444444445,0.035212371561804165,0.035212371561804165,10.060265163349158,1.0898801452703342,9638.62829359631,0.005555555555555536,1,4.0203491683810055,4.025525624800137,sweep,none,11,0.25,0.25,1.0,false
KalmanFixed,0.10967193758573626,0.31608207769770597,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,14.380347622682294,0.011111111111111183,2,1.3915779393938483,1.3915779393938483,sweep,none,23,0.25,0.25,1.0,false
HGF2,0.10984807675082522,0.3245672630186896,0.8777777777777778,1.3272558466009308,1.3272558466009308,11.564030744754875,NaN,14.414013196930197,0.022222222222222254,2,1.4584482735169224,1.48257577090671,sweep,none,23,0.25,0.25,1.0,false
BLT-HGF,0.10131871255671793,0.32118768222131344,0.8833333333333333,0.7712612084271173,0.7712612084271173,11.263966375037382,0.8380656331212252,14.450276610880259,0.01666666666666672,2,1.582020547975091,1.6051475474248684,sweep,none,23,0.25,0.25,1.0,false
KalmanFixed,0.12867938135422008,0.30496257900466817,0.8888888888888888,10.919533091655005,10.919533091655005,10.919533091655005,NaN,18.814674872863772,0.011111111111111183,2,1.8219655511945303,1.8219655511945303,sweep,none,37,0.25,0.25,1.0,false
HGF2,0.10798226049820833,0.3063375417695587,0.8888888888888888,1.0484847744244832,1.0484847744244832,11.261225257645357,NaN,18.987864112438572,0.011111111111111183,2,1.6417324635589814,1.6684559852847474,sweep,none,37,0.25,0.25,1.0,false
BLT-HGF,0.10200217790362519,0.3080364703502925,0.8888888888888888,0.6622104555138398,0.6622104555138398,11.097318319349775,0.8449012486913693,19.015085988669615,0.011111111111111183,2,1.7429050065945695,1.7701851208664054,sweep,none,37,0.25,0.25,1.0,false
KalmanFixed,2.013000009107656,0.8668858334609094,0.5333333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,1755.55361196673,0.3666666666666667,6,44.508048393867014,44.508048393867014,sweep,none,11,0.25,0.5,1.0,false
HGF2,0.11385504025139011,0.31450423522871923,0.8944444444444445,0.05786876067265832,0.05786876067265832,10.077497995114761,NaN,1780.1695377734275,0.005555555555555536,1,3.4255118328656473,3.4306084696703376,sweep,none,11,0.25,0.5,1.0,false
BLT-HGF,0.11360708110869779,0.3136026392115902,0.8944444444444445,0.044834496320403254,0.044834496320403254,10.068542143952516,1.308299081652847,1780.2103658002557,0.005555555555555536,1,3.466575086949378,3.471091900355174,sweep,none,11,0.25,0.5,1.0,false
KalmanFixed,0.11090092352548271,0.31731502930326244,0.8833333333333333,10.919533091655005,10.919533091655005,10.919533091655005,NaN,15.567864517010863,0.01666666666666672,2,1.4194158786174271,1.4194158786174271,sweep,none,23,0.25,0.5,1.0,false
