field	consumer
configuration.action_reconciler_id	typed-graph-compiler:identity
configuration.configuration_id	typed-graph-compiler:identity
configuration.contract_id	typed-graph-compiler:identity
configuration.contract_version	typed-graph-compiler:identity
configuration.edges[10].from	typed-graph-compiler:identity
configuration.edges[10].id	typed-graph-compiler:identity
configuration.edges[10].state	typed-graph-compiler:identity
configuration.edges[10].to	typed-graph-compiler:identity
configuration.edges[10].type	typed-graph-compiler:identity
configuration.edges[11].from	typed-graph-compiler:identity
configuration.edges[11].id	typed-graph-compiler:identity
configuration.edges[11].state	typed-graph-compiler:identity
configuration.edges[11].to	typed-graph-compiler:identity
configuration.edges[11].type	typed-graph-compiler:identity
configuration.edges[12].from	typed-graph-compiler:identity
configuration.edges[12].id	typed-graph-compiler:identity
configuration.edges[12].state	typed-graph-compiler:identity
configuration.edges[12].to	typed-graph-compiler:identity
configuration.edges[12].type	typed-graph-compiler:identity
configuration.edges[13].from	typed-graph-compiler:identity
configuration.edges[13].id	typed-graph-compiler:identity
configuration.edges[13].state	typed-graph-compiler:identity
configuration.edges[13].to	typed-graph-compiler:identity
configuration.edges[13].type	typed-graph-compiler:identity
configuration.edges[14].from	typed-graph-compiler:identity
configuration.edges[14].id	typed-graph-compiler:identity
configuration.edges[14].state	typed-graph-compiler:identity
configuration.edges[14].to	typed-graph-compiler:identity
configuration.edges[14].type	typed-graph-compiler:identity
configuration.edges[15].from	typed-graph-compiler:identity
configuration.edges[15].id	typed-graph-compiler:identity
configuration.edges[15].state	typed-graph-compiler:identity
configuration.edges[15].to	typed-graph-compiler:identity
configuration.edges[15].type	typed-graph-compiler:identity
configuration.edges[16].from	typed-graph-compiler:identity
configuration.edges[16].id	typed-graph-compiler:identity
configuration.edges[16].state	typed-graph-compiler:identity
configuration.edges[16].to	typed-graph-compiler:identity
configuration.edges[16].type	typed-graph-compiler:identity
configuration.edges[1].from	typed-graph-compiler:identity
configuration.edges[1].id	typed-graph-compiler:identity
configuration.edges[1].state	typed-graph-compiler:identity
configuration.edges[1].to	typed-graph-compiler:identity
configuration.edges[1].type	typed-graph-compiler:identity
configuration.edges[2].from	typed-graph-compiler:identity
configuration.edges[2].id	typed-graph-compiler:identity
configuration.edges[2].state	typed-graph-compiler:identity
configuration.edges[2].to	typed-graph-compiler:identity
configuration.edges[2].type	typed-graph-compiler:identity
configuration.edges[3].from	typed-graph-compiler:identity
configuration.edges[3].id	typed-graph-compiler:identity
configuration.edges[3].state	typed-graph-compiler:identity
configuration.edges[3].to	typed-graph-compiler:identity
configuration.edges[3].type	typed-graph-compiler:identity
configuration.edges[4].from	typed-graph-compiler:identity
configuration.edges[4].id	typed-graph-compiler:identity
configuration.edges[4].state	typed-graph-compiler:identity
configuration.edges[4].to	typed-graph-compiler:identity
configuration.edges[4].type	typed-graph-compiler:identity
configuration.edges[5].from	typed-graph-compiler:identity
configuration.edges[5].id	typed-graph-compiler:identity
configuration.edges[5].state	typed-graph-compiler:identity
configuration.edges[5].to	typed-graph-compiler:identity
configuration.edges[5].type	typed-graph-compiler:identity
configuration.edges[6].from	typed-graph-compiler:identity
configuration.edges[6].id	typed-graph-compiler:identity
configuration.edges[6].state	typed-graph-compiler:identity
configuration.edges[6].to	typed-graph-compiler:identity
configuration.edges[6].type	typed-graph-compiler:identity
configuration.edges[7].from	typed-graph-compiler:identity
configuration.edges[7].id	typed-graph-compiler:identity
configuration.edges[7].state	typed-graph-compiler:identity
configuration.edges[7].to	typed-graph-compiler:identity
configuration.edges[7].type	typed-graph-compiler:identity
configuration.edges[8].from	typed-graph-compiler:identity
configuration.edges[8].id	typed-graph-compiler:identity
configuration.edges[8].state	typed-graph-compiler:identity
configuration.edges[8].to	typed-graph-compiler:identity
configuration.edges[8].type	typed-graph-compiler:identity
configuration.edges[9].from	typed-graph-compiler:identity
configuration.edges[9].id	typed-graph-compiler:identity
configuration.edges[9].state	typed-graph-compiler:identity
configuration.edges[9].to	typed-graph-compiler:identity
configuration.edges[9].type	typed-graph-compiler:identity
configuration.history_generator_id	typed-graph-compiler:identity
configuration.initializer_id	typed-graph-compiler:identity
configuration.nodes[10].active	typed-graph-compiler:identity
configuration.nodes[10].cardinality	typed-graph-compiler:identity
configuration.nodes[10].id	typed-graph-compiler:identity
configuration.nodes[10].slot	typed-graph-compiler:identity
configuration.nodes[10].type	typed-graph-compiler:identity
configuration.nodes[11].active	typed-graph-compiler:identity
configuration.nodes[11].cardinality	typed-graph-compiler:identity
configuration.nodes[11].id	typed-graph-compiler:identity
configuration.nodes[11].slot	typed-graph-compiler:identity
configuration.nodes[11].type	typed-graph-compiler:identity
configuration.nodes[12].active	typed-graph-compiler:identity
configuration.nodes[12].cardinality	typed-graph-compiler:identity
configuration.nodes[12].id	typed-graph-compiler:identity
configuration.nodes[12].slot	typed-graph-compiler:identity
configuration.nodes[12].type	typed-graph-compiler:identity
configuration.nodes[1].active	typed-graph-compiler:identity
configuration.nodes[1].cardinality	typed-graph-compiler:identity
configuration.nodes[1].id	typed-graph-compiler:identity
configuration.nodes[1].slot	typed-graph-compiler:identity
configuration.nodes[1].type	typed-graph-compiler:identity
configuration.nodes[2].active	typed-graph-compiler:identity
configuration.nodes[2].cardinality	typed-graph-compiler:identity
configuration.nodes[2].id	typed-graph-compiler:identity
configuration.nodes[2].slot	typed-graph-compiler:identity
configuration.nodes[2].type	typed-graph-compiler:identity
configuration.nodes[3].active	typed-graph-compiler:identity
configuration.nodes[3].cardinality	typed-graph-compiler:identity
configuration.nodes[3].id	typed-graph-compiler:identity
configuration.nodes[3].slot	typed-graph-compiler:identity
configuration.nodes[3].type	typed-graph-compiler:identity
configuration.nodes[4].active	typed-graph-compiler:identity
