seed,stage,episode,world,model,arm,guide_regime,contact_mode,packets,interventions,contact,pseudo_observations,selected_channels,packet_signature,contact_signature,replay_exact
17001,43A,33,joint,learned_joint,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43A,33,joint,learned_joint,random,none,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43A,33,joint,factorized_replay,replay,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43A,33,joint,shuffled_replay,replay,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43A,33,joint,learned_joint,precision_blind,none,present,2,0,1,0,4;2,-2.3820007748038003;0.7947069231077419;-5.549281292538368;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43A,33,factorized,factorized,autonomous,none,present,2,0,1,0,1;4,-0.19007907081627928;-2.3820007748038003;-0.7854582345440905;-5.549281292538368,160;86;45;133;184;104;230;63,true
17001,43A,33,factorized,factorized,random,none,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43A,33,configuration_violating,learned_joint,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,192;232;160;25;0;165;240;63,true
17001,43A,33,configuration_violating,factorized_replay,replay,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,192;232;160;25;0;165;240;63,true
17001,stress,33,coordinated_precision,adaptive_global,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,stress,33,coordinated_precision,rigid_global,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,stress,33,coordinated_precision,independent_local,autonomous,none,present,2,0,1,0,1;4,-0.19007907081627928;-2.3820007748038003;-0.7854582345440905;-5.549281292538368,160;86;45;133;184;104;230;63,true
17001,stress,33,local_deviation,adaptive_global,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,stress,33,local_deviation,rigid_global,autonomous,none,present,2,0,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,stress,33,local_deviation,independent_local,autonomous,none,present,2,0,1,0,1;4,-0.19007907081627928;-2.3820007748038003;-0.7854582345440905;-5.549281292538368,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,no_guidance,none,present,0,0,1,0,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,random_guidance,none,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,scaffolded,accurate_stable,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion,accurate_stable,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,scaffolded,noisy,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion,noisy,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion_info_matched,noisy,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,scaffolded,systematically_wrong,present,2,2,1,0,1;3,-0.19007907081627928;0.7376329029097282;-0.7854582345440905;-1.1242055263591937,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion,systematically_wrong,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,scaffolded,context_switch,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion,context_switch,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,joint,joint,conclusion_info_matched,context_switch,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,no_guidance,none,present,0,0,1,0,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,random_guidance,none,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,scaffolded,accurate_stable,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion,accurate_stable,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion_info_matched,accurate_stable,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,scaffolded,noisy,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion,noisy,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion_info_matched,noisy,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,scaffolded,systematically_wrong,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion,systematically_wrong,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion_info_matched,systematically_wrong,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,scaffolded,context_switch,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion,context_switch,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,43B,33,factorized,factorized,conclusion_info_matched,context_switch,present,0,2,1,2,,,160;86;45;133;184;104;230;63,true
17001,stress,33,joint,learned_joint,scaffolded,accurate_stable,absent,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,104;52;94;160;117;97;244;63,true
17001,stress,33,joint,learned_joint,no_guidance,accurate_stable,absent,0,0,1,0,,,104;52;94;160;117;97;244;63,true
17001,stress,33,joint,learned_joint,scaffolded,accurate_stable,misattuned,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,230;174;52;184;132;87;223;191,true
17001,stress,33,joint,learned_joint,no_guidance,accurate_stable,misattuned,0,0,1,0,,,230;174;52;184;132;87;223;191,true
17001,43C,33,joint,guided_policy_learner,guided_training,accurate_stable,present,2,2,1,0,1;2,-0.19007907081627928;0.7947069231077419;-0.7854582345440905;0.7780205753368449,160;86;45;133;184;104;230;63,true
17001,43C,33,joint,random_policy_learner,random_training,none,present,2,2,1,0,2;1,0.7947069231077419;-0.19007907081627928;0.7780205753368449;-0.7854582345440905,160;86;45;133;184;104;230;63,true
17001,43A,34,joint,learned_joint,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,joint,learned_joint,random,none,present,2,2,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,joint,factorized_replay,replay,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,joint,shuffled_replay,replay,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,joint,learned_joint,precision_blind,none,present,2,0,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,factorized,factorized,autonomous,none,present,2,0,1,0,1;4,0.8201420137029587;-1.2313951309135998;1.0162497201174459;2.5294990456186124,97;38;236;55;93;76;233;63,true
17001,43A,34,factorized,factorized,random,none,present,2,2,1,0,4;2,-1.2313951309135998;-0.9899475222467766;2.5294990456186124;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,43A,34,configuration_violating,learned_joint,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,2;87;175;19;43;214;220;63,true
17001,43A,34,configuration_violating,factorized_replay,replay,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,2;87;175;19;43;214;220;63,true
17001,stress,34,coordinated_precision,adaptive_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
17001,stress,34,coordinated_precision,rigid_global,autonomous,none,present,2,0,1,0,1;2,0.8201420137029587;-0.9899475222467766;1.0162497201174459;0.21639764879236262,97;38;236;55;93;76;233;63,true
