seed,full_accuracy,factorized_accuracy,random_accuracy,blind_accuracy,full_coherent_accuracy,factorized_coherent_accuracy,full_violation_accuracy,factorized_violation_accuracy,full_before_channel_1,full_after_channel_3,blind_after_channel_3,full_mean_packets,random_mean_packets,replay_action_match_rate,line_search_invariant_rate
16001,0.5416666666666666,0.5416666666666666,0.525,0.5083333333333333,0.5416666666666666,0.5416666666666666,NaN,NaN,1.0,1.0,0.0625,2.0,2.0,1.0,1.0
16002,0.5333333333333333,0.5333333333333333,0.5666666666666667,0.6,0.5333333333333333,0.5333333333333333,NaN,NaN,1.0,1.0,0.0875,2.0,2.0,1.0,1.0
16003,0.625,0.625,0.6,0.625,0.625,0.625,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16004,0.6083333333333333,0.6083333333333333,0.575,0.6,0.6083333333333333,0.6083333333333333,NaN,NaN,1.0,1.0,0.075,2.0,2.0,1.0,1.0
16005,0.625,0.625,0.625,0.575,0.625,0.625,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16006,0.675,0.675,0.6666666666666666,0.675,0.675,0.675,NaN,NaN,1.0,1.0,0.1125,2.0,2.0,1.0,1.0
16007,0.5833333333333334,0.5833333333333334,0.5416666666666666,0.625,0.5833333333333334,0.5833333333333334,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16008,0.575,0.575,0.6,0.6166666666666667,0.575,0.575,NaN,NaN,1.0,1.0,0.0875,2.0,2.0,1.0,1.0
16009,0.5916666666666667,0.5916666666666667,0.5833333333333334,0.5166666666666667,0.5916666666666667,0.5916666666666667,NaN,NaN,1.0,1.0,0.0625,2.0,2.0,1.0,1.0
16010,0.5416666666666666,0.5416666666666666,0.5416666666666666,0.525,0.5416666666666666,0.5416666666666666,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16011,0.6,0.6,0.6,0.5416666666666666,0.6,0.6,NaN,NaN,1.0,1.0,0.0875,2.0,2.0,1.0,1.0
16012,0.55,0.55,0.5,0.5333333333333333,0.55,0.55,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16013,0.6083333333333333,0.6083333333333333,0.5916666666666667,0.5833333333333334,0.6083333333333333,0.6083333333333333,NaN,NaN,1.0,1.0,0.1,2.0,2.0,1.0,1.0
16014,0.5333333333333333,0.5333333333333333,0.5833333333333334,0.5333333333333333,0.5333333333333333,0.5333333333333333,NaN,NaN,1.0,1.0,0.1,2.0,2.0,1.0,1.0
16015,0.6916666666666667,0.6916666666666667,0.6,0.6416666666666667,0.6916666666666667,0.6916666666666667,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16016,0.575,0.575,0.5166666666666667,0.55,0.575,0.575,NaN,NaN,1.0,1.0,0.0625,2.0,2.0,1.0,1.0
16017,0.625,0.625,0.5916666666666667,0.6083333333333333,0.625,0.625,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16018,0.575,0.575,0.5,0.5416666666666666,0.575,0.575,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16019,0.6083333333333333,0.6083333333333333,0.6416666666666667,0.5833333333333334,0.6083333333333333,0.6083333333333333,NaN,NaN,1.0,1.0,0.0875,2.0,2.0,1.0,1.0
16020,0.5916666666666667,0.5916666666666667,0.5916666666666667,0.5666666666666667,0.5916666666666667,0.5916666666666667,NaN,NaN,1.0,1.0,0.1125,2.0,2.0,1.0,1.0
