seed,full_accuracy,factorized_accuracy,random_accuracy,blind_accuracy,full_coherent_accuracy,factorized_coherent_accuracy,full_violation_accuracy,factorized_violation_accuracy,full_before_channel_1,full_after_channel_3,blind_after_channel_3,full_mean_packets,random_mean_packets,replay_action_match_rate,line_search_invariant_rate
16001,0.8083333333333333,0.7083333333333334,0.7166666666666667,0.675,0.8083333333333333,0.7083333333333334,NaN,NaN,1.0,1.0,0.075,2.0,2.0,1.0,1.0
16002,0.875,0.7,0.6916666666666667,0.7,0.875,0.7,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16003,0.825,0.7666666666666667,0.7916666666666666,0.775,0.825,0.7666666666666667,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16004,0.7666666666666667,0.7333333333333333,0.7583333333333333,0.7,0.7666666666666667,0.7333333333333333,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16005,0.8916666666666667,0.7416666666666667,0.8,0.7416666666666667,0.8916666666666667,0.7416666666666667,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16006,0.8333333333333334,0.775,0.6666666666666666,0.7,0.8333333333333334,0.775,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16007,0.775,0.7166666666666667,0.7083333333333334,0.7333333333333333,0.775,0.7166666666666667,NaN,NaN,1.0,1.0,0.0625,2.0,2.0,1.0,1.0
16008,0.8333333333333334,0.675,0.775,0.7833333333333333,0.8333333333333334,0.675,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16009,0.8,0.725,0.7916666666666666,0.7583333333333333,0.8,0.725,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16010,0.8166666666666667,0.7083333333333334,0.6833333333333333,0.7583333333333333,0.8166666666666667,0.7083333333333334,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16011,0.8,0.7166666666666667,0.6916666666666667,0.675,0.8,0.7166666666666667,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16012,0.775,0.6916666666666667,0.6833333333333333,0.6666666666666666,0.775,0.6916666666666667,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16013,0.7833333333333333,0.6416666666666667,0.75,0.7,0.7833333333333333,0.6416666666666667,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16014,0.8333333333333334,0.7166666666666667,0.7333333333333333,0.7333333333333333,0.8333333333333334,0.7166666666666667,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16015,0.8416666666666667,0.7666666666666667,0.75,0.7,0.8416666666666667,0.7666666666666667,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
16016,0.8,0.7083333333333334,0.725,0.6916666666666667,0.8,0.7083333333333334,NaN,NaN,1.0,1.0,0.0125,2.0,2.0,1.0,1.0
16017,0.7666666666666667,0.7166666666666667,0.675,0.7,0.7666666666666667,0.7166666666666667,NaN,NaN,1.0,1.0,0.025,2.0,2.0,1.0,1.0
16018,0.825,0.7583333333333333,0.6833333333333333,0.7,0.825,0.7583333333333333,NaN,NaN,1.0,1.0,0.05,2.0,2.0,1.0,1.0
16019,0.8083333333333333,0.7833333333333333,0.7666666666666667,0.7833333333333333,0.8083333333333333,0.7833333333333333,NaN,NaN,1.0,1.0,0.0125,2.0,2.0,1.0,1.0
16020,0.8166666666666667,0.7166666666666667,0.7083333333333334,0.6583333333333333,0.8166666666666667,0.7166666666666667,NaN,NaN,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
