seed,full_accuracy,factorized_accuracy,random_accuracy,blind_accuracy,full_coherent_accuracy,factorized_coherent_accuracy,full_violation_accuracy,factorized_violation_accuracy,full_before_channel_1,full_after_channel_3,blind_after_channel_3,full_mean_packets,random_mean_packets,replay_action_match_rate,line_search_invariant_rate
14001,0.8,0.725,0.7833333333333333,0.7833333333333333,0.8198198198198198,0.7297297297297297,0.5555555555555556,0.6666666666666666,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14002,0.775,0.7583333333333333,0.7583333333333333,0.725,0.7758620689655172,0.7586206896551724,0.75,0.75,1.0,1.0,0.025,2.0,2.0,1.0,1.0
14003,0.7583333333333333,0.6333333333333333,0.6833333333333333,0.6666666666666666,0.7889908256880734,0.6330275229357798,0.45454545454545453,0.6363636363636364,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14004,0.775,0.7083333333333334,0.65,0.6333333333333333,0.7863247863247863,0.717948717948718,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14005,0.85,0.7333333333333333,0.7333333333333333,0.725,0.8584070796460177,0.7433628318584071,0.7142857142857143,0.5714285714285714,1.0,1.0,0.0625,2.0,2.0,1.0,1.0
14006,0.7916666666666666,0.725,0.6583333333333333,0.7583333333333333,0.8230088495575221,0.7345132743362832,0.2857142857142857,0.5714285714285714,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14007,0.8333333333333334,0.7833333333333333,0.6833333333333333,0.7083333333333334,0.8347826086956521,0.7913043478260869,0.8,0.6,1.0,1.0,0.05,2.0,2.0,1.0,1.0
14008,0.8,0.7333333333333333,0.6666666666666666,0.7,0.8,0.7391304347826086,0.8,0.6,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14009,0.7166666666666667,0.6833333333333333,0.7083333333333334,0.6916666666666667,0.7053571428571429,0.6696428571428571,0.875,0.875,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14010,0.7666666666666667,0.6333333333333333,0.7416666666666667,0.775,0.7692307692307693,0.6324786324786325,0.6666666666666666,0.6666666666666666,1.0,1.0,0.05,2.0,2.0,1.0,1.0
14011,0.8166666666666667,0.7833333333333333,0.7166666666666667,0.75,0.8392857142857143,0.7946428571428571,0.5,0.625,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14012,0.7833333333333333,0.7166666666666667,0.7583333333333333,0.7416666666666667,0.7758620689655172,0.7068965517241379,1.0,1.0,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14013,0.8416666666666667,0.7083333333333334,0.7333333333333333,0.775,0.8434782608695652,0.7130434782608696,0.8,0.6,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14014,0.7916666666666666,0.7166666666666667,0.7416666666666667,0.7,0.8141592920353983,0.7079646017699115,0.42857142857142855,0.8571428571428571,1.0,1.0,0.025,2.0,2.0,1.0,1.0
14015,0.7833333333333333,0.7666666666666667,0.7583333333333333,0.7083333333333334,0.8070175438596491,0.7807017543859649,0.3333333333333333,0.5,1.0,1.0,0.05,2.0,2.0,1.0,1.0
14016,0.7916666666666666,0.6166666666666667,0.75,0.625,0.7982456140350878,0.5964912280701754,0.6666666666666666,1.0,1.0,1.0,0.0125,2.0,2.0,1.0,1.0
14017,0.8083333333333333,0.7,0.7333333333333333,0.725,0.8240740740740741,0.6944444444444444,0.6666666666666666,0.75,1.0,1.0,0.0375,2.0,2.0,1.0,1.0
14018,0.8166666666666667,0.6666666666666666,0.6916666666666667,0.7416666666666667,0.808695652173913,0.6608695652173913,1.0,0.8,1.0,1.0,0.05,2.0,2.0,1.0,1.0
14019,0.8333333333333334,0.7333333333333333,0.8,0.7333333333333333,0.8482142857142857,0.7321428571428571,0.625,0.75,1.0,1.0,0.05,2.0,2.0,1.0,1.0
14020,0.8333333333333334,0.7166666666666667,0.6333333333333333,0.6833333333333333,0.8596491228070176,0.7368421052631579,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0,2.0,2.0,1.0,1.0
