cell,seed_start,seed_end,regression_evidence_variance,regression_forgetting,training_episodes,local_deviation_sd,global_forecast_error,adaptive_forecast_error,independent_forecast_error,adaptive_minus_global,adaptive_effective_shrinkage,global_seed_win_rate,prediction_passed
baseline,10211,10215,0.45,0.995,80,0.0,0.49714399581921853,0.7639200342144095,0.9195761488213317,0.26677603839519093,9.785468925191099,1.0,true
evidence_030,10221,10225,0.3,0.995,80,0.0,0.5798420585198787,0.7177389679101959,0.9430973674166803,0.13789690939031718,9.392843718794277,1.0,true
evidence_070,10231,10235,0.7,0.995,80,0.0,0.5921657535678795,0.7952668671636456,0.9474084525856578,0.2031011135957661,10.098466801974741,1.0,true
forget_0990,10241,10245,0.45,0.99,80,0.0,0.6379239270226689,0.8189441485922397,0.9494354214314467,0.18102022156957087,9.889244110361684,1.0,true
forget_0999,10251,10255,0.45,0.999,80,0.0,0.6275155118817375,0.8147999734165282,0.9024553501586949,0.18728446153479072,9.649386315863229,1.0,true
training_060,10261,10265,0.45,0.995,60,0.0,0.7056597734600862,0.86734627531276,1.009411842939691,0.16168650185267375,9.749386119778894,1.0,true
training_100,10271,10275,0.45,0.995,100,0.0,0.80689615556924,0.9408107958621402,1.1189457857911376,0.13391464029290023,9.727902368484115,1.0,true
deviation_030,10281,10285,0.45,0.995,80,0.3,0.63563695396209,0.8535641356846171,0.995942167107857,0.21792718172252712,9.765993967722524,1.0,true
deviation_100,10291,10295,0.45,0.995,80,1.0,1.239572325542061,1.3371940710363182,1.4544423932147936,0.09762174549425717,9.516183869129243,0.8,true
deviation_200,10301,10305,0.45,0.995,80,2.0,2.137652932222236,2.1657715915242215,2.2311669609667057,0.028118659301985538,8.311784089255202,0.6,false
deviation_300,10311,10315,0.45,0.995,80,3.0,3.415961646602367,3.393432510950558,3.4186926073119905,-0.022529135651808918,5.705516415901402,0.6,false
