stage,calibration_id,seed,structured_split_selected,null_split_selected,structured_split_margin,null_split_margin,witnessing_final_root,open_final_root,regulation_final_root,narrowed_final_root,fixed_context_final_root,reversed_final_root,witnessing_time,open_time,regulation_time,narrowed_time,witnessing_begun,witnessing_bundle_llr,witnessing_contact_llr,open_bundle_llr,regulation_bundle_llr,narrowed_bundle_llr,baseline_reduction_time,post_doover_reduction_time,doover_insertion,doover_shortening,premature_log_bayes_before,premature_log_bayes_after,premature_failed,premature_reversed,organization_register,carrier_register
pilot,44b-cal-02,174701,true,false,1.25219438323,-2.21234938481,0.994091293527,0.816195477228,0.105011357937,0.0176054163559,0.1517075781,0.06,5,5,15,15,5,3.88542249672,3.99151492678,4.24231637809,0.608792800416,-1.31035949298,12,5,5,0.583333333333,-0.674704341866,-2.89389039854,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174702,true,false,1.03476992049,-2.5026079091,0.957947439311,0.958684796418,0.121605002483,0.668100266912,0.191340735575,0.06,9,9,15,15,9,6.281256503,-0.403848559375,5.89586709677,0.77421704482,3.45519869541,12,9,9,0.25,-0.659136345177,-2.25378908977,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174703,true,false,0.622792610655,-2.5558285456,0.265445118765,0.0865150845598,0.0611230274639,0.0901163679748,0.0619119883625,0.06,8,15,15,15,3,0.448935440027,1.28474327135,0.394587236997,0.0197395388266,0.426410788718,11,4,3,0.636363636364,-0.675004281124,-2.0256562143,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174704,true,false,1.82317524958,-0.479236096462,0.998056031913,0.92797300912,0.122972336787,0.609327883324,0.194698697226,0.06,4,8,15,15,2,5.5100063471,3.48260709503,5.3074970383,0.786956204074,3.16102854873,11,3,2,0.727272727273,-0.635614596077,-1.52997233191,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174705,true,false,0.737089215957,-3.32970973103,0.999999212163,0.999988714507,0.320363417347,0.65058960284,0.652970179201,0.06,4,3,15,12,3,14.1360091008,2.66950045467,14.1435164785,1.99943312562,3.34634296612,12,3,3,0.75,-0.653220556827,-2.29532782352,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174706,true,false,0.782305828574,-3.17662439224,0.894450020864,0.878684358831,0.112848028617,0.212612839172,0.170146994277,0.06,5,13,15,15,5,4.82045200377,0.0681077602131,4.73156530124,0.689561047577,1.44160372129,11,5,5,0.545454545455,-0.670534651799,-2.12220258102,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174707,true,false,0.952892448133,-2.68722134949,0.999995804038,0.999933555804,0.267912762622,0.869622209872,0.550758696496,0.06,4,4,15,14,4,12.7968053466,2.33611375579,12.3706169821,1.74629704435,4.62568365451,12,4,4,0.666666666667,-0.635926125491,-0.778896979261,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174708,true,false,1.40358470821,-2.27177360514,0.99995739257,0.998760554201,0.192686985577,0.385469372268,0.372953692945,0.06,7,8,15,15,6,9.39326440153,3.42171021094,9.4433860338,1.31889088176,2.25075554919,11,6,6,0.454545454545,-0.625440600978,-3.44134224183,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174709,true,false,0.864247438342,-3.08409541419,0.998275960078,0.992331588236,0.155963694366,0.339331873939,0.278347224707,0.06,11,12,15,15,10,7.9152831043,1.19761163135,7.61448310401,1.06296305495,2.07322819711,12,10,10,0.166666666667,-0.638178317963,-2.92525019977,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,44b-cal-02,174710,true,false,-0.223993799425,-2.2747472426,0.00936882315707,0.107759532492,0.066170899463,0.0438872579671,0.0707833232089,0.06,15,15,15,15,15,0.344104065184,-2.25352355302,0.637701828063,0.104482648572,-0.307072176881,12,12,14,0,-0.648415960775,-4.02081533528,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174801,true,false,0.822003506027,-2.01767839395,0.998624457869,0.607070211861,0.0935964677177,0.045472484299,0.125926952936,0.06,5,13,15,15,4,3.02813641782,6.31092975466,3.18654882792,0.481043351002,-0.355988541782,11,4,4,0.636363636364,-0.638931767575,-3.3029149012,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174802,true,false,0.862183184537,-1.97443175433,0.999998320767,0.999947529409,0.277377866738,0.737365279024,0.570652725125,0.06,2,3,15,9,2,12.8973546171,3.15135234049,12.6067405646,1.7940295812,3.75218846982,12,2,2,0.833333333333,-0.655550336076,-0.262271959986,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174803,true,false,0.87473649581,-2.5489496811,0.99999946755,0.999955385335,0.272317899578,0.237562358565,0.560095522932,0.06,5,6,15,15,5,12.2638815424,4.93343092309,12.7689386352,1.76864116775,1.53587162205,11,5,5,0.545454545455,-0.646965357675,-2.13740465436,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174804,true,false,0.627742438151,-1.81158618263,0.999320247094,0.970129939477,0.130417132494,0.197243505155,0.213179594364,0.06,4,6,15,15,4,6.35260646572,3.69203006226,6.23210867537,0.854259704032,1.31082390299,12,4,4,0.666666666667,-0.67091913659,-2.03251892845,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174805,true,false,1.0143349014,-1.4643019341,0.999998410941,0.999968646009,0.284002369689,0.81606012014,0.584200683388,0.06,5,5,15,14,4,13.5576496206,2.54625242709,13.1216729535,1.82684103781,4.21582859837,11,4,4,0.636363636364,-0.653655696274,-1.91022292964,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174806,true,false,1.96895789339,-2.48743002004,0.999987841928,0.999746835549,0.22990569096,0.659098584712,0.464851419954,0.06,2,5,15,15,2,11.531197318,2.53784305683,11.0327533928,1.54269151195,3.38531382457,12,2,2,0.833333333333,-0.634152734319,-1.06469689684,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174807,true,false,1.26892376496,-1.990271532,0.999997923381,0.999986151416,0.306492170821,0.490866235183,0.627853866289,0.06,2,2,15,15,2,13.7922582053,2.04404427847,13.9388490477,1.93496499522,2.69445680136,11,2,2,0.818181818182,-0.648410877487,-3.09658684959,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174808,true,false,0.904190408989,-2.35988851914,0.999999280201,0.99999681608,0.357701636152,0.76991749189,0.713881406875,0.06,4,4,15,8,3,15.5713911672,1.32443684024,15.40892963,2.16618159646,3.9460722136,12,3,3,0.75,-0.659407803845,-3.08746049961,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174809,true,false,1.09518898784,-6.43166159987,0.999386145723,0.996920634527,0.174630811338,0.252786048404,0.326620535954,0.06,3,5,15,15,3,8.27708294318,1.86959131851,8.53148291504,1.19837862138,1.64894081353,12,3,3,0.75,-0.651711339704,-3.16660296262,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174810,true,false,1.47327803668,-0.858221595932,0.999998554443,0.999941619596,0.266706276578,0.960932155478,0.548178016252,0.06,6,9,15,9,4,12.9423545607,3.25619540511,12.5000072078,1.74013694248,5.92141980897,11,4,4,0.636363636364,-0.668579448418,-1.43456223179,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174811,true,false,0.723574656838,-2.16524384447,0.999750260771,0.999015192507,0.201965257545,0.680585559431,0.396416916038,0.06,3,3,15,15,2,9.71332435686,1.33305445597,9.67361439487,1.37747886988,3.49460433821,12,4,2,0.666666666667,-0.654928970067,-0.24440991795,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174812,false,false,-0.217439591369,-2.52542257072,0.999997024104,0.999943317784,0.271201288558,0.736867891051,0.557741620255,0.06,8,10,15,15,6,12.4838673948,2.99263042002,12.5295286777,1.76299904253,3.75121654867,12,6,6,0.5,-0.657890251214,-3.55748806982,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174813,true,false,0.638606085805,-2.68469722954,0.975507329145,0.957062954516,0.126425389664,0.487357106325,0.203230889486,0.06,5,5,15,15,2,5.96618363654,0.469935425715,5.85566950113,0.818594100874,2.69623085405,12,2,2,0.833333333333,-0.652907748278,-2.11561866796,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174814,true,false,0.751285164469,-1.78810330101,0.986282025903,0.851842488207,0.108174242057,0.250503637683,0.159083848101,0.06,6,10,15,15,6,4.82410361765,2.20266708858,4.50066097308,0.642007817622,1.63347399698,11,6,6,0.454545454545,-0.642078611149,-3.09038836081,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174815,true,false,1.13440397959,-2.27981623526,0.999999932612,0.999999910519,0.480237156908,0.977238071,0.854589453458,0.06,6,7,15,11,6,19.2191433634,0.0451859602702,18.9807775906,2.67244273525,6.51072220441,12,6,6,0.5,-0.649139549121,-0.961397269114,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174816,true,false,0.658738521638,-2.67958791906,0.991899742551,0.894419773018,0.113274441359,0.0947617801514,0.17116548781,0.06,9,11,15,15,5,4.66117881931,2.89808268492,4.88823941353,0.693813341436,0.465582229975,12,5,5,0.583333333333,-0.634120870882,-1.84207738217,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174817,true,false,1.45052294544,-3.70781473081,0.999830325357,0.999757784696,0.23677112247,0.98151102862,0.481040049139,0.06,9,10,15,9,8,11.7771018943,-0.344108448317,11.0769766098,1.58107130274,6.72691189202,12,8,8,0.333333333333,-0.654109032841,-3.90991627666,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174818,true,false,0.901507598563,-1.77928820417,0.999980668049,0.999071438075,0.191133075571,0.411564740429,0.368996754627,0.06,5,6,15,15,5,9.84402257519,3.76124474093,9.73247980544,1.3088708196,2.35624022145,12,5,5,0.583333333333,-0.668898450422,-3.44423953186,true,true,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174819,true,false,0.838236924113,-2.33521452708,0.99998451942,0.999594328618,0.2185076803,0.843604196538,0.43739501364,0.06,2,2,15,10,2,10.8949977859,2.93244628171,10.5610966887,1.4771511549,4.40736232848,12,2,2,0.833333333333,-0.657823140638,-0.444108369055,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
confirm,44b-cal-02,174820,true,false,0.787251953695,-6.83352189434,0.988617427117,0.930446034932,0.117710985526,0.645632847578,0.181846820322,0.06,4,6,15,15,2,5.47498001913,1.74077923142,5.3450964646,0.737247974782,3.33394072125,12,2,2,0.833333333333,-0.64609494323,-0.515008675528,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
