arm,bundle_llr,contact_llr,total_llr,final_root
witnessing,247.199987219,84.3246305861,331.524617805,1
open_field_informational,246.129843429,73.081346508,319.211189937,1
regulation_only,34.3272603192,11.2432840781,45.5705443973,1
narrowed_contact,66.2127269702,9.36940339846,75.5821303687,1
matched_fixed_context,58.092286694,14.9910454375,73.0833321315,1
reversed_graph,41.6097348944,-4.68470169923,36.9250331951,1
witnessing,234.255687358,83.4676073342,317.723294692,1
open_field_informational,234.071195397,72.338593023,306.40978842,1
regulation_only,32.8353223278,11.1290143112,43.964336639,1
narrowed_contact,60.4169802476,9.27417859269,69.6911588403,1
matched_fixed_context,55.5674685547,14.8386857483,70.406154303,1
reversed_graph,39.2622277904,-4.63708929635,34.625138494,1
witnessing,257.584013856,69.0421113076,326.626125164,1
open_field_informational,258.994485203,59.8364964666,318.83098167,1
regulation_only,36.2085226455,9.20561484101,45.4141374865,1
narrowed_contact,61.164736279,7.67134570084,68.8360819799,1
matched_fixed_context,61.2759614,12.2741531213,73.5501145214,1
reversed_graph,43.1715644614,-3.83567285042,39.335891611,1
witnessing,229.554021634,77.9932320872,307.547253721,1
open_field_informational,229.104857175,67.5941344755,296.69899165,1
regulation_only,32.1851198201,10.3990976116,42.5842174317,1
narrowed_contact,55.6519416002,8.66591467635,64.3178562765,1
matched_fixed_context,54.4671258493,13.8654634822,68.3325893315,1
reversed_graph,38.2671391455,-4.33295733818,33.9341818073,1
witnessing,205.853840676,69.8281031432,275.681943819,1
open_field_informational,204.05729126,60.5176893908,264.574980651,1
regulation_only,28.9467859234,9.31041375243,38.2571996759,1
narrowed_contact,60.0183851701,7.75867812703,67.7770632971,1
matched_fixed_context,48.9868684858,12.4138850032,61.4007534891,1
reversed_graph,34.4259233893,-3.87933906351,30.5465843258,0.999999999999
witnessing,208.825775589,72.5519766288,281.377752218,1
open_field_informational,208.158216836,62.878379745,271.036596581,1
regulation_only,29.112524729,9.67359688385,38.7861216128,1
narrowed_contact,59.5756630887,8.06133073654,67.6369938252,1
matched_fixed_context,49.2673495414,12.8981291785,62.1654787198,1
reversed_graph,35.2655304407,-4.03066536827,31.2348650724,1
witnessing,206.569797115,58.800350738,265.370147853,1
open_field_informational,207.745060726,50.9603039729,258.705364699,1
regulation_only,29.4027573811,7.84004676506,37.2428041461,1
narrowed_contact,52.8901271845,6.53337230422,59.4234994887,1
matched_fixed_context,49.758512491,10.4533956868,60.2119081778,1
reversed_graph,34.5257184469,-3.26668615211,31.2590322948,1
witnessing,207.477217011,58.633616939,266.11083395,1
open_field_informational,207.549121567,50.8158013472,258.364922914,1
regulation_only,28.7222206883,7.81781559187,36.5400362801,1
narrowed_contact,52.4642238472,6.51484632656,58.9790701738,1
matched_fixed_context,48.6068350109,10.4237541225,59.0305891334,1
reversed_graph,35.0360421239,-3.25742316328,31.7786189606,1
witnessing,184.123070647,70.0045908017,254.127661448,1
open_field_informational,181.477902984,60.6706453615,242.148548346,1
regulation_only,25.7657852787,9.33394544022,35.0997307189,1
narrowed_contact,60.6517053934,7.77828786685,68.4299932603,1
matched_fixed_context,43.6036366254,12.445260587,56.0488972124,1
reversed_graph,30.9871513248,-3.88914393343,27.0980073914,0.999999999973
witnessing,241.354416571,52.4367986733,293.791215244,1
open_field_informational,239.447565368,45.4452255169,284.892790885,1
regulation_only,33.4364129961,6.99157315644,40.4279861526,1
narrowed_contact,62.8001841441,5.8263109637,68.6264951078,1
matched_fixed_context,56.5846989166,9.32209754192,65.9067964585,1
reversed_graph,40.4455212079,-2.91315548185,37.532365726,1
