stage,seed,structured_selected,null_selected,structured_split_selected,null_split_selected,structured_split_margin,null_split_margin,global_elbo,cue_local_elbo,split_elbo,global_complexity,cue_local_complexity,split_complexity,learned_then_stay,learned_now_stay,witnessing_final_root,open_final_root,regulation_final_root,narrowed_final_root,witnessing_time,open_time,regulation_time,narrowed_time,fixed_context_final_root,reversed_final_root,baseline_reduction_time,post_doover_reduction_time,doover_shortening,premature_log_bayes_before,premature_log_bayes_after,premature_failed,premature_reversed,organization_register,carrier_register
pilot,174401,context_split,global_downweight,true,false,0.850389363782,-3.27921808141,-114.157171245,-210.996087314,-77.8357293079,16.7571765257,23.6144857565,24.4583699733,0.903277841165,0.903277841165,1,1,1,1,1,1,2,1,1,1,19,19,0,-1.17782308649,-0.207872655283,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174402,context_split,global_downweight,true,false,1.83821423075,-1.71182096977,-103.921659371,-142.478533978,-77.3528240413,17.0464794665,24.2076804759,24.0532898102,0.854161418597,0.854161418597,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.2284000336,-0.235194072508,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174403,context_split,global_downweight,true,false,0.903435908562,-2.52409295162,-113.228933632,-199.000909097,-79.4080457689,18.1818124783,24.1325239239,24.0132148988,0.863635741464,0.863635741464,1,1,1,1,1,1,3,3,1,1,19,19,0,-1.22917468119,-0.2353972976,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174404,context_split,global_downweight,true,false,0.475220923003,-3.20143086822,-120.660555223,-228.024774884,-72.6699608323,14.8305347562,23.3484855129,24.0152548172,0.854133149036,0.854133149036,1,1,1,1,1,1,3,3,1,1,19,19,0,-1.23836368252,-0.237799142654,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174405,context_split,global_downweight,true,false,1.04516671238,-3.37803429324,-107.311611406,-202.900064262,-71.3622558585,17.0777094083,23.9065653184,23.7742961969,0.852386405056,0.852386405056,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.20931997034,-0.228431410719,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174406,context_split,global_downweight,true,false,1.20258384869,-3.26238577408,-120.467292195,-214.323805781,-74.2984048523,14.9738966791,23.7439322579,24.1605341517,0.854209911416,0.854209911416,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.2360643766,-0.237199672731,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174407,context_split,global_downweight,true,false,0.442495292721,-3.92796728498,-105.616796136,-145.103981867,-74.1582556429,16.2395668331,23.9432859366,24.5785469672,0.897334725896,0.897334725896,1,1,1,1,1,1,3,3,1,1,19,19,0,-1.18780347126,-0.211686139303,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174408,context_split,global_downweight,true,false,0.743532097802,-2.89429266316,-107.914591653,-191.865967363,-71.8611522417,16.633962317,23.8308072603,24.4169151278,0.881486106972,0.881486106972,1,1,1,1,1,1,2,1,1,1,19,19,0,-1.22090603691,-0.229341963913,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174409,context_split,global_downweight,true,false,1.01098893282,-1.44459117523,-113.685744538,-180.289937982,-89.8444690254,15.5859352275,23.8310931448,23.8359053236,0.813125611266,0.813125611266,1,1,1,1,1,1,3,2,1,1,19,19,0,-1.21178329236,-0.230806712131,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
pilot,174410,context_split,global_downweight,true,false,0.951939530716,-0.886135693764,-120.237184674,-248.440117151,-77.0615439855,15.0680124203,23.5910682923,24.1594266394,0.883292539095,0.883292539095,1,1,1,1,1,1,3,3,1,1,19,19,0,-1.24656257752,-0.239928457605,true,false,"bundle(self,world,policy,outcome)+couplings+precisions+field_profile",none; no independently parameterized substrate enters this experiment
