stage,seed,arm,dyad_present,dyad_coupled_to_evidence,authored_access_used,true_dyad_safe_probability,dyad_safe_observations,dyad_precision_final,potential_evidence_packets,ingested_evidence_packets,initial_permission,final_permission,maximum_permission,permission_rise_episode,first_contact_episode,contact_achieved,contact_episodes,initial_root_probability,final_root_probability,revision_begin_episode,revision_complete_episode,descent_occurred,permission_before_revision,permission_to_revision_lag,root_updates,vulnerable_registered_rejections,permission_path,root_path
pilot,14901,coupled,true,true,false,0.7645653433659318,9,0.6875,7,7,0.10479888142871804,0.997511906622024,0.997511906622024,2,2,true,11,0.06000000000000001,0.9999997262183945,4,5,true,true,2,11,0,0.10479888142871804;0.10479888142871804;0.9232269310684472;0.9232269310684472;0.9941748774792;0.9970650101592421;0.9970650101592421;0.9974449082435136;0.997511906622024;0.997511906622024;0.9974449082435136;0.997511906622024;0.997511906622024,0.06000000000000001;0.06000000000000001;0.18087388666753335;0.22143200855787892;0.7254694760865406;0.9572892043826289;0.9952210837763182;0.9962857169310027;0.999598918877983;0.9999526947976735;0.999994422365746;0.9999993997011061;0.9999997262183945
pilot,14901,no_dyad,false,false,false,0.7645653433659318,0,0.5,0,0,0.10479888142871804,0.10479888142871804,0.10479888142871804,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14901,decoupled,true,false,false,0.7645653433659318,9,0.6875,7,0,0.10479888142871804,0.10479888142871804,0.10479888142871804,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14901,authored_access,false,false,true,0.7645653433659318,0,0.5,0,0,0.10479888142871804,0.10479888142871804,0.10479888142871804,0,1,true,12,0.06000000000000001,0.9999999705340994,2,4,true,false,0,12,0,0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804;0.10479888142871804,0.06000000000000001;0.37228231841649917;0.6723117085342495;0.7254694760865406;0.9608663957604875;0.9952210837763182;0.9994834637426825;0.999598918877983;0.9999568179716372;0.9999949085370597;0.9999993997011061;0.999999935392472;0.9999999705340994
pilot,14902,coupled,true,true,false,0.8835664821537355,12,0.875,9,9,0.08383108944663605,0.9975273540389231,0.9975273540389231,2,2,true,11,0.06000000000000001,0.9999998391727446,4,4,true,true,2,11,0,0.08383108944663605;0.08383108944663605;0.9001632494056916;0.9001632494056916;0.9935748339357595;0.9970017467604709;0.9974342357177541;0.9975099206382712;0.9975099206382712;0.997524066970627;0.9975267474837628;0.9975272570655817;0.9975273540389231,0.06000000000000001;0.06000000000000001;0.37228231841649917;0.5427601099911444;0.9168697330393974;0.9894231435712123;0.9909898370121911;0.9971290820324177;0.9996606522263993;0.9998925140555398;0.999988430657334;0.9999986359316815;0.9999998391727446
pilot,14902,no_dyad,false,false,false,0.8835664821537355,0,0.5,0,0,0.08383108944663605,0.08383108944663605,0.08383108944663605,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14902,decoupled,true,false,false,0.8835664821537355,12,0.875,9,0,0.08383108944663605,0.08383108944663605,0.08383108944663605,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,14902,authored_access,false,false,true,0.8835664821537355,0,0.5,0,0,0.08383108944663605,0.08383108944663605,0.08383108944663605,0,1,true,12,0.06000000000000001,0.9999999535101657,2,3,true,false,0,12,0,0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605;0.08383108944663605,0.06000000000000001;0.18087388666753335;0.6723117085342495;0.8041688648496906;0.9744604034486563;0.9969194171272879;0.9973786692662265;0.9991684154832011;0.9999018821351207;0.9999689270016481;0.9999966556589963;0.999999605692679;0.9999999535101657
pilot,14903,coupled,true,true,false,0.8951383008690619,10,0.75,8,8,0.06836333697063783,0.9974227975664459,0.9975077982852997,2,2,true,11,0.06000000000000001,0.9999999830421479,3,3,true,true,1,11,0,0.06836333697063783;0.06836333697063783;0.871485629919609;0.871485629919609;0.9928802285138306;0.996932953294756;0.9974227975664459;0.9975077982852997;0.9975077982852997;0.9974227975664459;0.9975077982852997;0.9974227975664459;0.9974227975664459,0.06000000000000001;0.06000000000000001;0.37228231841649917;0.8341679538112797;0.9770978620294866;0.9894231435712123;0.9988508134850422;0.9998761912127109;0.9999607902414982;0.9999957798808536;0.9999995458056818;0.9999999464493339;0.9999999830421479
pilot,14903,no_dyad,false,false,false,0.8951383008690619,0,0.5,0,0,0.06836333697063783,0.06836333697063783,0.06836333697063783,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,0,0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783;0.06836333697063783,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
