stage,seed,arm,dyad_present,dyad_coupled_to_evidence,authored_access_used,dyad_coherent_safe_signals,dyad_settled_observations,dyad_field_weight_final,dyad_depth_precision_final,learned_settle_final,potential_outcome_packets,potential_competence_packets,potential_partner_packets,ingested_outcome_packets,ingested_competence_packets,ingested_partner_packets,initial_permission,final_permission,maximum_permission,permission_rise_episode,first_contact_episode,contact_achieved,contact_episodes,initial_root_probability,final_root_probability,revision_begin_episode,revision_complete_episode,descent_occurred,permission_before_revision,permission_to_revision_lag,root_updates,vulnerable_registered_rejections,vulnerable_aloneness_final,dyad_field_path,permission_path,root_path
pilot,24901,coupled,true,true,false,16,16,0.9866158434326725,0.8399187799853045,0.8888888888888888,17,17,17,17,17,17,0.031755515594647565,0.9975273748378131,0.9975273755585388,2,2,true,17,0.06000000000000001,0.9999999999968836,4,4,true,true,2,17,1,0.8526093088857546,0.7138437646057201;0.8454083657474204;0.908643857753668;0.9371337999711357;0.9543921711771535;0.9665215107688898;0.9751757401324462;0.9812056506543946;0.9852971041911494;0.9880182706266836;0.9898060394954611;0.9909746157157273;0.9917395692154023;0.9911285292253045;0.9823463317678645;0.9898216577000768;0.9594644261453193;0.9866158434326725,0.031755515594647565;0.031755515594647565;0.7952047469459832;0.9914053835165488;0.9967722672953943;0.9973899913002554;0.9975002575906337;0.9975219108477429;0.9975262656259283;0.9975271394925398;0.9975267812755533;0.9975271495779575;0.9975273289934533;0.9975272539004715;0.9975273499839379;0.997527370970648;0.9975273755585388;0.9975273709721849;0.9975273748378131,0.06000000000000001;0.06000000000000001;0.075967752713077;0.4330689493912203;0.8662911693916405;0.9836598330366169;0.9982153578399534;0.9997892544701119;0.9998946951415381;0.9999875831407686;0.9999985360052471;0.9999998424365664;0.9999999544536288;0.9999999946299689;0.9999999994220474;0.9999999998169802;0.9999999999420432;0.9999999999710434;0.9999999999968836
pilot,24901,no_dyad,false,false,false,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.031755515594647565,0.031755515594647565,0.031755515594647565,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,18,0.9999999999217837,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,24901,decoupled,true,false,false,16,16,0.9866158434326725,0.8399187799853045,0.8888888888888888,17,17,17,0,0,0,0.031755515594647565,0.031755515594647565,0.031755515594647565,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,18,0.9999999999217837,0.7138437646057201;0.8454083657474204;0.908643857753668;0.9371337999711357;0.9543921711771535;0.9665215107688898;0.9751757401324462;0.9812056506543946;0.9852971041911494;0.9880182706266836;0.9898060394954611;0.9909746157157273;0.9917395692154023;0.9911285292253045;0.9823463317678645;0.9898216577000768;0.9594644261453193;0.9866158434326725,0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,24901,authored_access,false,false,true,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.031755515594647565,0.031755515594647565,0.031755515594647565,0,1,true,18,0.06000000000000001,0.9999999999975804,4,4,true,false,0,18,0,0.62,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565;0.031755515594647565,0.06000000000000001;0.075967752713077;0.09575212146010244;0.4959392256633974;0.8929900704390712;0.9872670961278585;0.9986138643359594;0.9998363710727611;0.9999182401887079;0.9999903596187663;0.9999988633653075;0.9999998776689519;0.9999999646381456;0.9999999958307488;0.999999999551282;0.9999999998579048;0.9999999999550029;0.9999999999775182;0.9999999999975804
pilot,24902,coupled,true,true,false,14,15,0.986121924110049,0.8319652832764409,0.875,16,16,16,16,16,16,0.03509587830193966,0.9944764961980131,0.9975125345043535,2,2,true,17,0.06000000000000001,0.9999999999264253,4,5,true,true,2,17,1,0.8526093088857546,0.7138437646057201;0.8454083657474204;0.908643857753668;0.9371337999711357;0.9543921711771535;0.9665215107688898;0.9627761648023485;0.9770439305348058;0.9827888718532848;0.9863659525862203;0.986695041619496;0.9565166294902891;0.9829583521515672;0.9704385212875106;0.8539112051495585;0.9667478070351492;0.98192446395391;0.986121924110049,0.03509587830193966;0.03509587830193966;0.820604285316882;0.9919226129820772;0.9968185865597083;0.9943725817518613;0.997078851035427;0.9974463542292068;0.9970907229259214;0.9974486494676496;0.9975125345043535;0.9974487596599149;0.997091317721168;0.9974487649649261;0.997091317721168;0.997091317721168;0.9944764961979734;0.9970913177213665;0.9944764961980131,0.06000000000000001;0.06000000000000001;0.02926565985059449;0.21882262943038175;0.7224318387411781;0.9566633904566743;0.9951482445028558;0.9994755565668635;0.9995927783779521;0.9999519703009068;0.9999190453325084;0.9999912865806118;0.9999989726581937;0.9999998894316806;0.9999999680383612;0.9999999962316428;0.9999999995557012;0.999999999952182;0.9999999999264253
pilot,24902,no_dyad,false,false,false,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.03509587830193966,0.03509587830193966,0.03509587830193966,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,18,0.9999999999217837,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,24902,decoupled,true,false,false,14,15,0.986121924110049,0.8319652832764409,0.875,16,16,16,0,0,0,0.03509587830193966,0.03509587830193966,0.03509587830193966,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,18,0.9999999999217837,0.7138437646057201;0.8454083657474204;0.908643857753668;0.9371337999711357;0.9543921711771535;0.9665215107688898;0.9627761648023485;0.9770439305348058;0.9827888718532848;0.9863659525862203;0.986695041619496;0.9565166294902891;0.9829583521515672;0.9704385212875106;0.8539112051495585;0.9667478070351492;0.98192446395391;0.986121924110049,0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
pilot,24902,authored_access,false,false,true,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.03509587830193966,0.03509587830193966,0.03509587830193966,0,1,true,18,0.06000000000000001,0.9999999999913254,3,4,true,false,0,18,0,0.62,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966;0.03509587830193966,0.06000000000000001;0.3512297621379089;0.20363300650880184;0.7037785739730718;0.9566633904566743;0.9946874209183683;0.9994255072393622;0.9999381381913889;0.9999519703009068;0.9999943369385836;0.9999904545608578;0.9999989726581937;0.9999998788737252;0.9999999869637177;0.9999999962316428;0.9999999995557012;0.9999999999476161;0.9999999999943621;0.9999999999913254
pilot,24903,coupled,true,true,false,16,16,0.9919407045317464,0.8904725530521697,0.8888888888888888,17,17,17,17,17,17,0.04207955064949706,0.9975273757650724,0.9975273766024348,2,2,true,17,0.06000000000000001,0.9999999998956342,3,3,true,true,1,17,1,0.8526093088857546,0.7138437646057201;0.8454083657474204;0.908643857753668;0.9197213962282568;0.8937304450360734;0.9412311476856313;0.9590888302410865;0.9700804352122047;0.9776579405429148;0.9828660174981018;0.9863775951694902;0.9887080851700045;0.9902405248794645;0.9912456420862874;0.9919074395409906;0.9923476378301845;0.9926453208906818;0.9919407045317464,0.04207955064949706;0.04207955064949706;0.8575772303744558;0.9926916136029051;0.9897973625002425;0.9398953422453583;0.9910240799962915;0.9965043583080324;0.9973217597461657;0.9974831538825505;0.9975177157197888;0.9975252587899001;0.9975269121143846;0.9975272748545034;0.9975273538436168;0.9975273718132264;0.9975273757427255;0.9975273766024348;0.9975273757650724,0.06000000000000001;0.06000000000000001;0.37228231841649917;0.8341679538112797;0.9790523069255674;0.9974837190569372;0.9978590259438845;0.9997470961901769;0.9999727749462721;0.9999913785010645;0.9999956924642546;0.9999995363973515;0.9999999501044934;0.9999999612615103;0.9999999954326351;0.9999999994614963;0.9999999989592498;0.9999999996704263;0.9999999998956342
pilot,24903,no_dyad,false,false,false,0,0,0.0,0.0,0.5,0,0,0,0,0,0,0.04207955064949706,0.04207955064949706,0.04207955064949706,0,0,false,0,0.06000000000000001,0.06000000000000001,0,0,false,true,0,0,18,0.9999999999217837,0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0,0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706;0.04207955064949706,0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001;0.06000000000000001
