seed,efe_after_accuracy,random_after_accuracy,fixed_after_accuracy,efe_mean_samples,random_mean_samples,fixed_mean_samples,early_after_accuracy,late_after_accuracy,before_channel_1,late_channel_3,late_reliability_1,late_reliability_3
8601,0.81,0.73,0.59,1.0,1.085,1.0,0.6,0.9,0.89,1.0,0.51065226163558,0.826159461735223
8602,0.9,0.7,0.53,1.0,1.045,1.0,0.75,0.9333333333333333,0.59,1.0,0.5111319265368753,0.8854479600946689
8603,0.86,0.82,0.54,1.0,1.125,1.0,0.65,0.9666666666666667,1.0,1.0,0.5040371395864284,0.89259215335874
8604,0.65,0.66,0.5,1.0,1.13,1.0,0.6,0.7666666666666667,0.81,0.6333333333333333,0.5414353544894891,0.641236528602749
8605,0.73,0.83,0.58,1.0,1.125,1.0,0.75,0.7,0.91,0.5333333333333333,0.5344284680706181,0.607944003084512
8606,0.84,0.77,0.53,1.0,1.185,1.0,0.55,0.9333333333333333,0.58,1.0,0.5009999999999998,0.8407385796864996
8607,0.92,0.83,0.61,1.0,1.17,1.0,0.8,0.9666666666666667,0.74,1.0,0.513233385995692,0.9358164045961677
8608,0.81,0.78,0.61,1.0,1.125,1.0,0.7,0.9,0.71,1.0,0.5009999999999998,0.8205879480330136
8609,0.81,0.76,0.6,1.0,1.2,1.0,0.7,0.9333333333333333,0.99,1.0,0.5009999999999998,0.8194362499733515
8610,0.91,0.74,0.54,1.0,1.175,1.0,0.8,0.9333333333333333,0.69,1.0,0.5212379332746996,0.8774305712496023
8611,0.83,0.69,0.52,1.0,1.13,1.0,0.5,0.9333333333333333,0.82,1.0,0.5009999999999998,0.8425987582580415
8612,0.73,0.77,0.59,1.0,1.1,1.0,0.7,0.8666666666666667,0.95,0.7,0.5013421579104712,0.7104196670226103
8613,0.88,0.79,0.61,1.0,1.095,1.0,0.7,0.9333333333333333,0.96,1.0,0.5014378193883594,0.8912823321405711
8614,0.87,0.76,0.59,1.0,1.19,1.0,0.85,0.9333333333333333,0.41,1.0,0.5010318843683985,0.8549668527032549
8615,0.76,0.68,0.56,1.0,1.105,1.0,0.5,0.8,0.31,1.0,0.5009999999999998,0.8455329242480542
8616,0.86,0.87,0.53,1.0,1.145,1.0,0.7,0.8666666666666667,0.69,1.0,0.5009999999999998,0.8357163944096286
8617,0.92,0.83,0.54,1.0,1.175,1.0,0.8,0.9666666666666667,0.62,1.0,0.5009999999999998,0.9058629922415565
8618,0.83,0.67,0.54,1.0,1.05,1.0,0.95,0.7666666666666667,0.43,0.8666666666666667,0.5042995305614381,0.7659620927214507
8619,0.81,0.68,0.54,1.0,1.14,1.0,0.65,0.8333333333333334,0.95,1.0,0.5009999999999998,0.7619060145744607
8620,0.71,0.62,0.51,1.0,1.065,1.0,0.6,0.9,0.95,1.0,0.5009999999999998,0.7874242974050608
