stage,seed,exclusion_regime_selection,hypervigilance_regime_selection,internal_attack_regime_selection,oscillation_regime_selection,exclusion_selected_when_competitor_favorable,each_favorable_policy_cheapest,contact_attempts,selected_policy_matched_across_registration,contact_stream_matched_across_registration,prior_initial,prior_off_final,prior_off_delta,prior_off_maximum_episode_delta,prior_on_final,prior_on_delta,prior_on_maximum_episode_delta,prior_ablation_final,prior_ablation_delta,prior_ablation_maximum_episode_delta,registered_rejections_off,registered_rejections_on,registered_rejections_ablation,exclusion_expected_cost,hypervigilance_expected_cost,internal_attack_expected_cost,oscillation_expected_cost
pilot,14801,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.25548559102155005,0.297146675633157,0.22955905716099267,0.3100193634513299
pilot,14802,exclusion,hypervigilance,internal_attack,oscillation,false,true,14,true,true,0.62,0.62,0.0,0.0,0.9999999876409527,0.37999998764095266,0.2326093088857546,0.62,0.0,0.0,0,14,0,0.28218260638636616,0.2832041710602381,0.29509249077789956,0.2695258620644019
pilot,14803,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.2515706096978591,0.2997005392850385,0.2459097057803542,0.20972231656019655
pilot,14804,exclusion,hypervigilance,internal_attack,oscillation,false,true,18,true,true,0.62,0.62,0.0,0.0,0.9999999999217837,0.3799999999217837,0.2326093088857546,0.62,0.0,0.0,0,18,0,0.2455487970924454,0.24635803358681363,0.3907162226560561,0.2944310225756175
pilot,14805,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.26520857177946777,0.2722179368879949,0.2709575629041116,0.26320308212326604
pilot,14806,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.30016342284427067,0.23243843381872237,0.26979387039989733,0.2680900839780059
pilot,14807,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.29774821332172274,0.18720213166197472,0.24788758174287684,0.29619730478675443
pilot,14808,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.2630494794868965,0.22880655969075006,0.29404302651492864,0.26385247649025767
pilot,14809,exclusion,hypervigilance,internal_attack,oscillation,false,true,14,true,true,0.62,0.62,0.0,0.0,0.9999999876409527,0.37999998764095266,0.2326093088857546,0.62,0.0,0.0,0,14,0,0.26981102175009963,0.24020020483462007,0.3062701743423452,0.23637704830977793
pilot,14810,exclusion,hypervigilance,internal_attack,oscillation,false,true,17,true,true,0.62,0.62,0.0,0.0,0.9999999997226876,0.3799999997226876,0.2326093088857546,0.62,0.0,0.0,0,17,0,0.21834171937797034,0.25617857475375794,0.3026010613153469,0.2991408674328161
confirm,14851,exclusion,hypervigilance,internal_attack,oscillation,false,true,19,true,true,0.62,0.62,0.0,0.0,0.999999999977939,0.379999999977939,0.2326093088857546,0.62,0.0,0.0,0,19,0,0.2803616986333166,0.2297247907979853,0.2822282980963098,0.2351983548160748
confirm,14852,exclusion,hypervigilance,internal_attack,oscillation,false,true,21,true,true,0.62,0.62,0.0,0.0,0.999999999998245,0.37999999999824496,0.2326093088857546,0.62,0.0,0.0,0,21,0,0.26809535146347574,0.3112177536864792,0.26517222365782867,0.3133397122510694
confirm,14853,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.26319562409588976,0.28649044410653834,0.26021593518571995,0.25177795469239955
confirm,14854,exclusion,hypervigilance,internal_attack,oscillation,false,true,15,true,true,0.62,0.62,0.0,0.0,0.9999999965141149,0.37999999651411487,0.2326093088857546,0.62,0.0,0.0,0,15,0,0.24749137525552728,0.2962398884888886,0.20331523325091486,0.28109669035746143
confirm,14855,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.2631836922075971,0.2807976032110988,0.2747738534754479,0.30779060157858795
confirm,14856,exclusion,hypervigilance,internal_attack,oscillation,false,true,17,true,true,0.62,0.62,0.0,0.0,0.9999999997226876,0.3799999997226876,0.2326093088857546,0.62,0.0,0.0,0,17,0,0.2655524603410213,0.3119380513656829,0.23673264369752384,0.22064172268541385
confirm,14857,exclusion,hypervigilance,internal_attack,oscillation,false,true,17,true,true,0.62,0.62,0.0,0.0,0.9999999997226876,0.3799999997226876,0.2326093088857546,0.62,0.0,0.0,0,17,0,0.26050743740281823,0.29912345458083184,0.2869866535150031,0.22504937775343964
confirm,14858,exclusion,hypervigilance,internal_attack,oscillation,false,true,18,true,true,0.62,0.62,0.0,0.0,0.9999999999217837,0.3799999999217837,0.2326093088857546,0.62,0.0,0.0,0,18,0,0.2900500837500068,0.26466377439445976,0.23274740291895696,0.2154169664919343
confirm,14859,exclusion,hypervigilance,internal_attack,oscillation,false,true,18,true,true,0.62,0.62,0.0,0.0,0.9999999999217837,0.3799999999217837,0.2326093088857546,0.62,0.0,0.0,0,18,0,0.26151100767524915,0.27758787158927334,0.3111269721811514,0.28920141312980135
confirm,14860,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.23276116905332894,0.28798693152501575,0.2710008589834479,0.3171128377768709
confirm,14861,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.18871978826259161,0.2715934751200406,0.2650582287682777,0.2686185963630535
confirm,14862,exclusion,hypervigilance,internal_attack,oscillation,false,true,10,true,true,0.62,0.62,0.0,0.0,0.9999980471367158,0.3799980471367158,0.2326093088857546,0.62,0.0,0.0,0,10,0,0.2896790662150426,0.28742520835967433,0.25224991306308775,0.21572527191544852
confirm,14863,exclusion,hypervigilance,internal_attack,oscillation,false,true,16,true,true,0.62,0.62,0.0,0.0,0.9999999990168016,0.3799999990168016,0.2326093088857546,0.62,0.0,0.0,0,16,0,0.24064180424544543,0.2789780981655482,0.26084949609972463,0.21880270474477898
confirm,14864,exclusion,hypervigilance,internal_attack,oscillation,false,true,15,true,true,0.62,0.62,0.0,0.0,0.9999999965141149,0.37999999651411487,0.2326093088857546,0.62,0.0,0.0,0,15,0,0.24900685081774915,0.27551156246957736,0.2722825208352837,0.29464936738078384
confirm,14865,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.2983464568627625,0.2666286002460042,0.24369391317855138,0.33689672167897544
confirm,14866,exclusion,hypervigilance,internal_attack,oscillation,false,true,17,true,true,0.62,0.62,0.0,0.0,0.9999999997226876,0.3799999997226876,0.2326093088857546,0.62,0.0,0.0,0,17,0,0.27737138864757366,0.3023541980564477,0.2577846842809064,0.25890367666268155
confirm,14867,exclusion,hypervigilance,internal_attack,oscillation,false,true,19,true,true,0.62,0.62,0.0,0.0,0.999999999977939,0.379999999977939,0.2326093088857546,0.62,0.0,0.0,0,19,0,0.33836478021460226,0.22436579037885845,0.2399483094891367,0.24193358844291243
confirm,14868,exclusion,hypervigilance,internal_attack,oscillation,false,true,20,true,true,0.62,0.62,0.0,0.0,0.9999999999937776,0.37999999999377765,0.2326093088857546,0.62,0.0,0.0,0,20,0,0.20956837670191505,0.23452088410113137,0.22451143930112744,0.32250911513876485
confirm,14869,exclusion,hypervigilance,internal_attack,oscillation,false,true,22,true,true,0.62,0.62,0.0,0.0,0.999999999999505,0.37999999999950496,0.2326093088857546,0.62,0.0,0.0,0,22,0,0.27613573088764987,0.2590933988760386,0.2191276830163394,0.2611420004639742
confirm,14870,exclusion,hypervigilance,internal_attack,oscillation,false,true,19,true,true,0.62,0.62,0.0,0.0,0.999999999977939,0.379999999977939,0.2326093088857546,0.62,0.0,0.0,0,19,0,0.30088701028754194,0.2932496004490549,0.27234204189986455,0.24129298756664327
