stage,seed,assembly_samples,shuffled_selected_samples,shuffled_fixed_random_samples,degraded_marginals_selected_samples,shuffled_selected_carrier,shuffled_fixed_random_carrier,degraded_selected_carrier,shuffled_selected_target_distance,shuffled_fixed_target_distance,degraded_selected_target_distance,selected_formed,fixed_random_formed,degraded_marginals_formed
exploratory_post_freeze,18301,10,4,16,13,2,3,1,0.6930747432165095,2.460482219941194,2.031329001130047,true,true,true
exploratory_post_freeze,18302,14,14,14,20,3,3,1,0.7650544847754184,0.7650544847754184,2.122974932492467,true,true,true
exploratory_post_freeze,18303,6,10,7,4,2,3,1,1.1047127911886072,1.0957983402757696,0.8410897397977678,true,true,true
exploratory_post_freeze,18304,19,6,26,19,3,1,1,0.7365524667739053,2.3181119334216302,2.2730803000274307,true,true,true
exploratory_post_freeze,18305,5,4,13,13,2,3,1,0.9212858928683068,2.45193360756027,2.270710233507943,true,true,true
exploratory_post_freeze,18306,5,5,10,23,3,2,1,0.8020936409395767,1.8082212706935734,2.2373376125833975,true,true,true
exploratory_post_freeze,18307,7,13,4,4,3,4,1,1.1891442221133015,0.4000990689055749,0.6871118427572822,true,true,true
exploratory_post_freeze,18308,12,14,13,17,4,1,1,1.6316614219086223,2.5274903112872034,2.1903433591383057,true,true,true
exploratory_post_freeze,18309,13,9,22,13,2,1,1,0.8907374798915783,2.037486400764237,2.239492063082253,true,true,true
exploratory_post_freeze,18310,5,5,6,14,3,1,1,0.8909058620507775,0.9256742860446227,2.2921116531249752,true,true,true
exploratory_post_freeze,18311,6,4,20,4,4,1,1,0.4370648204798058,2.5809973854015524,0.5371645671202139,true,true,true
exploratory_post_freeze,18312,9,7,12,17,3,1,1,0.5471548693436605,2.2281943110492803,2.0725296158926616,true,true,true
exploratory_post_freeze,18313,14,5,25,19,2,3,1,0.8598685104999062,2.5573785901486024,2.2033606971979296,true,true,true
exploratory_post_freeze,18314,4,6,4,17,1,3,1,0.892990288976403,0.9356321898186217,2.299061133086292,true,true,true
exploratory_post_freeze,18315,2,7,8,10,4,2,1,0.5435860254667123,1.0220900853243724,0.6836029789225951,true,true,true
exploratory_post_freeze,18316,15,10,16,21,3,4,1,0.7241151060877111,1.672576807107733,2.2264393208724216,true,true,true
exploratory_post_freeze,18317,17,9,24,22,2,4,1,1.0688925555419964,2.570591703800987,2.4190864352946364,true,true,true
exploratory_post_freeze,18318,15,14,14,28,3,3,1,0.7413709513179905,0.7413709513179905,2.2848303237183996,true,true,true
exploratory_post_freeze,18319,2,6,4,5,4,2,1,0.6794233567129383,0.8784588307967679,0.7357781345493158,true,true,true
exploratory_post_freeze,18320,6,4,8,14,3,4,1,0.6073525465662749,1.6641933512686382,2.2110141869015254,true,true,true
exploratory_post_freeze,18321,6,4,4,13,2,2,1,0.9184694363643043,0.9184694363643043,2.26938096707722,true,true,true
exploratory_post_freeze,18322,3,7,7,14,1,1,1,0.9150924419035441,0.9150924419035441,2.2635622874091,true,true,true
exploratory_post_freeze,18323,11,9,14,9,4,3,1,0.416336502596037,1.4117323080882154,0.4906778601104771,true,true,true
exploratory_post_freeze,18324,17,11,20,26,3,4,1,0.5853505528248388,1.7084632077430297,2.250725201506991,true,true,true
exploratory_post_freeze,18325,10,4,14,12,2,4,1,0.7319396898918497,2.2455285160969205,2.0812217839349736,true,true,true
exploratory_post_freeze,18326,6,5,13,13,1,2,1,0.954317372213815,1.6266675225395826,2.185283549056241,true,true,true
exploratory_post_freeze,18327,4,8,4,4,2,4,1,1.0344348309465954,0.5711206569519628,0.7563138934899233,true,true,true
exploratory_post_freeze,18328,15,7,14,19,3,4,1,0.7163868132452536,1.5728103161622184,2.1287567576944286,true,true,true
exploratory_post_freeze,18329,9,5,5,11,2,2,1,0.7145364236437206,0.7145364236437206,2.0633699527070704,true,true,true
exploratory_post_freeze,18330,6,6,16,19,1,4,1,1.01442285649151,1.9192637036596278,2.2949854710789763,true,true,true
exploratory_post_freeze,18331,14,15,15,14,2,3,1,0.8852214637995811,1.3842244933996273,0.6877931343338197,true,true,true
exploratory_post_freeze,18332,11,4,22,19,3,2,1,0.801065112702196,2.700948831450753,2.2653841004080686,true,true,true
exploratory_post_freeze,18333,9,4,4,14,2,2,1,0.9480772793906778,0.9480772793906778,2.293687434444504,true,true,true
exploratory_post_freeze,18334,9,4,4,23,1,1,1,0.7724463832774087,0.7724463832774087,2.3883449040486577,true,true,true
exploratory_post_freeze,18335,2,7,7,5,2,3,1,0.96580934564603,1.1637242355891653,0.8731171212981282,true,true,true
exploratory_post_freeze,18336,18,4,26,21,3,2,1,0.6756684033736896,2.5921756903218247,2.206574929670176,true,true,true
exploratory_post_freeze,18337,10,4,14,13,2,4,1,0.8087068488414362,2.3181413616151505,2.158549862571775,true,true,true
exploratory_post_freeze,18338,5,11,10,16,3,2,1,0.9267298668875138,1.6918025714106568,2.218909332330138,true,true,true
exploratory_post_freeze,18339,5,6,12,6,4,3,1,0.5066426541714356,1.4400111431271565,0.5181495162464324,true,true,true
exploratory_post_freeze,18340,10,4,4,15,3,3,1,0.7357023158499989,0.7357023158499989,2.397822634999688,true,true,true
