stage,seed,condition,model,generating_carrier_id,selected_carrier_id,samples_to_formation,formed,formation_rmse,interference_shared_carrier,interference_baseline_rmse,interference_after_rmse,interference_degradation,cluster_margin,estimate_affect,estimate_self_world_coupling,estimate_policy,estimate_policy_outcome_coupling,carrier_residue_norm,coupling_residue_norm,carrier_ablation_loss,coupling_ablation_loss,carrier_residue_present,coupling_residue_present
pilot,18101,prepared,assembly,1,1,9,true,0.254054197153409,false,0.254054197153409,0.254054197153409,0.0,0.5867461055069433,-0.6724939363648951,0.08561047753305472,-0.5824874173766533,-0.4474617880639497,0.0,0.21955257607603826,0.0,0.21955257607603826,false,true
pilot,18101,prepared,recruitment,1,1,4,true,0.07279993886480314,true,0.07279993886480314,0.1023917045634104,0.02959176569860726,1.608629496819082,-1.1003884224618508,0.07416222140659096,-0.914283602720415,-0.4075589002333947,1.5305227865013966,0.0,1.5305227865013966,0.0,true,false
pilot,18101,prepared,hybrid,1,1,4,true,0.07279993886480314,true,0.07279993886480314,0.1023917045634104,0.02959176569860726,1.608629496819082,-1.1003884224618508,0.07416222140659096,-0.914283602720415,-0.4075589002333947,1.5305227865013966,0.2001802899516819,1.5305227865013966,0.2001802899516819,true,true
pilot,18101,arbitrary,assembly,0,3,7,true,0.23580555354147376,false,0.23580555354147376,0.23580555354147376,0.0,0.1867512621225501,-0.15259310444313273,0.016676658901207033,-0.9470895386242818,0.00617225840821098,0.0,0.11499809150754649,0.0,0.11499809150754649,false,false
pilot,18101,arbitrary,recruitment,0,3,8,true,0.24695195126298713,true,0.24695195126298713,0.6600471397357701,0.413095188472783,0.37211409835438325,0.03068838673141918,0.031603298097318516,-1.1548622500821337,-0.01223523668709102,0.7106335201775948,0.0,0.7106335201775948,0.0,true,false
pilot,18101,arbitrary,hybrid,0,3,8,true,0.24695195126298713,true,0.24695195126298713,0.6600471397357701,0.413095188472783,0.37211409835438325,0.03068838673141918,0.031603298097318516,-1.1548622500821337,-0.01223523668709102,0.7106335201775948,0.10485120108041,0.7106335201775948,0.10485120108041,true,false
pilot,18101,shuffled,assembly,1,2,18,true,0.2593244715943923,true,0.2593244715943923,0.2593244715943923,0.0,0.967778718434724,-1.1234814730945575,-0.5723599394597598,-0.6107653899391546,0.22243546946887,0.0,0.5857790969775666,0.0,0.5857790969775666,false,true
pilot,18101,shuffled,recruitment,1,2,10,true,0.26898067965248973,true,0.26898067965248973,0.38056530192128735,0.11158462226879762,1.45758915456905,-0.9915794147121536,-0.5204337950083516,-0.8914733563054372,0.36204278006996116,1.0124228365658292,0.0,1.0124228365658292,0.0,true,false
pilot,18101,shuffled,hybrid,1,2,10,true,0.26898067965248973,true,0.26898067965248973,0.38056530192128735,0.11158462226879762,1.45758915456905,-0.9915794147121536,-0.5204337950083516,-0.8914733563054372,0.36204278006996116,1.0124228365658292,0.5340927060677813,1.0124228365658292,0.5340927060677813,true,true
pilot,18102,prepared,assembly,2,2,6,true,0.20766624449145082,true,0.20766624449145082,0.20766624449145082,0.0,0.6984092899492902,-0.13211212875865722,0.30737059073239165,0.43871713181488037,0.08533346528736382,0.0,0.30400471896029063,0.0,0.30400471896029063,false,true
pilot,18102,prepared,recruitment,2,2,4,true,0.09626961857803508,true,0.09626961857803508,0.18970351611880068,0.0934338975407656,1.4065378717500983,-0.3458025211226589,0.25203479856506344,0.72730102549433,0.056159024648948654,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18102,prepared,hybrid,2,2,4,true,0.09626961857803508,true,0.09626961857803508,0.18970351611880068,0.0934338975407656,1.4065378717500983,-0.3458025211226589,0.25203479856506344,0.72730102549433,0.056159024648948654,0.873212459828649,0.2771807731696767,0.873212459828649,0.2771807731696767,true,true
pilot,18102,arbitrary,assembly,0,2,2,true,0.20530416485540812,false,0.20530416485540812,0.20530416485540812,0.0,0.10104533109818237,-0.053042898998172425,-0.039105347954072875,0.12826320787880516,-0.26756859995941207,0.0,0.21206805114404353,0.0,0.21206805114404353,false,true
pilot,18102,arbitrary,recruitment,0,2,11,true,0.2657962022318031,true,0.2657962022318031,0.18163715062408112,-0.084159051607722,0.42649034834781396,-0.11286053869963644,-0.05414472328485562,0.2872487104132829,-0.2833103389980654,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18102,arbitrary,hybrid,0,2,11,true,0.2657962022318031,true,0.2657962022318031,0.18163715062408112,-0.084159051607722,0.42649034834781396,-0.11286053869963644,-0.05414472328485562,0.2872487104132829,-0.2833103389980654,0.873212459828649,0.1933561642783926,0.873212459828649,0.1933561642783926,true,true
pilot,18102,shuffled,assembly,2,1,5,true,0.1879619446604661,true,0.1879619446604661,0.1879619446604661,0.0,0.23858070900621497,-0.2909365339006338,0.18709155398361368,0.5555341720884698,-0.14483875218192135,0.0,0.31949663940384976,0.0,0.31949663940384976,false,true
pilot,18102,shuffled,recruitment,2,1,13,true,0.2547295886111486,true,0.2547295886111486,0.41270771021773023,0.15797812160658165,0.5222171726453713,-0.6048323178046748,0.40554396238861806,0.9562691841384239,-0.29431916124011254,1.697056274847714,0.0,1.697056274847714,0.0,true,false
pilot,18102,shuffled,hybrid,2,1,13,true,0.2547295886111486,true,0.2547295886111486,0.41270771021773023,0.15797812160658165,0.5222171726453713,-0.6048323178046748,0.40554396238861806,0.9562691841384239,-0.29431916124011254,1.697056274847714,0.29130575945645126,1.697056274847714,0.29130575945645126,true,true
pilot,18103,prepared,assembly,3,3,4,true,0.26707682154707885,true,0.26707682154707885,0.26707682154707885,0.0,1.17496437307688,0.35260620795380343,0.2212295084551943,-0.38942465382366237,-0.014073375209840564,0.0,0.22560036975494732,0.0,0.22560036975494732,false,true
pilot,18103,prepared,recruitment,3,3,4,true,0.12229174029378163,true,0.12229174029378163,0.16257312455864176,0.04028138426486012,1.5390606441462629,0.6537374296732604,0.2212295084551943,-0.6358047443213999,-0.014073375209840564,0.7106335201775948,0.0,0.7106335201775948,0.0,true,false
pilot,18103,prepared,hybrid,3,3,4,true,0.12229174029378163,true,0.12229174029378163,0.16257312455864176,0.04028138426486012,1.5390606441462629,0.6537374296732604,0.2212295084551943,-0.6358047443213999,-0.014073375209840564,0.7106335201775948,0.2056944547765696,0.7106335201775948,0.2056944547765696,true,true
pilot,18103,arbitrary,assembly,0,2,6,true,0.2686600032432779,true,0.2686600032432779,0.2686600032432779,0.0,0.40826253443952,-0.0705896634518169,-0.10913360329500911,0.3046081314717545,0.1682548718829205,0.0,0.23203677961125826,0.0,0.23203677961125826,false,true
pilot,18103,arbitrary,recruitment,0,2,8,true,0.23636288310364884,true,0.23636288310364884,0.19009247027738557,-0.04627041282626326,0.9859610652303563,-0.11717653979978258,-0.07470849982050348,0.6333298937638756,0.25219468724689675,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18103,arbitrary,hybrid,0,2,8,true,0.23636288310364884,true,0.23636288310364884,0.19009247027738557,-0.04627041282626326,0.9859610652303563,-0.11717653979978258,-0.07470849982050348,0.6333298937638756,0.25219468724689675,0.873212459828649,0.21156294611614723,0.873212459828649,0.21156294611614723,true,true
pilot,18103,shuffled,assembly,3,2,3,true,0.2090075537202751,false,0.2090075537202751,0.2090075537202751,0.0,0.20376907826629753,0.1442244680537119,-0.2679815237424463,-0.3797935444628672,-0.05577822859041548,0.0,0.10461360805445613,0.0,0.10461360805445613,false,false
pilot,18103,shuffled,recruitment,3,2,14,true,0.25310227848446315,true,0.25310227848446315,0.2659471131942397,0.012844834709776543,0.6445527718436646,0.05907271165802743,-0.16047216458415364,-0.7735583782198225,-0.20919671607914006,1.0124228365658292,0.0,1.0124228365658292,0.0,true,false
pilot,18103,shuffled,hybrid,3,2,14,true,0.25310227848446315,true,0.25310227848446315,0.2659471131942397,0.012844834709776543,0.6445527718436646,0.05907271165802743,-0.16047216458415364,-0.7735583782198225,-0.20919671607914006,1.0124228365658292,0.09538299557906292,1.0124228365658292,0.09538299557906292,true,false
pilot,18104,prepared,assembly,4,4,13,true,0.2503319974121139,true,0.2503319974121139,0.2503319974121139,0.0,0.89834804320155,0.9192804219950972,-0.17418016413409895,0.8736279258530774,0.23832499911596153,0.0,0.08276555428424706,0.0,0.08276555428424706,false,false
pilot,18104,prepared,recruitment,4,4,4,true,0.09033649932455738,true,0.09033649932455738,0.12198931980283888,0.031652820478281496,1.47722971635965,1.1507895682963907,0.003930493826282057,1.1582739792573928,0.18569419798273287,1.6278820596099708,0.0,1.6278820596099708,0.0,true,false
pilot,18104,prepared,hybrid,4,4,4,true,0.09033649932455738,true,0.09033649932455738,0.12198931980283888,0.031652820478281496,1.47722971635965,1.1507895682963907,0.003930493826282057,1.1582739792573928,0.18569419798273287,1.6278820596099708,0.07546271125916643,1.6278820596099708,0.07546271125916643,true,false
pilot,18104,arbitrary,assembly,0,2,3,true,0.19741516191768513,true,0.19741516191768513,0.19741516191768513,0.0,0.08337985865739561,-0.1184822040762334,0.0691170967724018,-0.03748510601131045,-0.03883243722227717,0.0,0.3005040574504823,0.0,0.3005040574504823,false,true
pilot,18104,arbitrary,recruitment,0,2,4,true,0.18388917386500353,true,0.18388917386500353,0.16114940566311553,-0.022739768201888,0.9228405790964209,-0.3229634502860442,0.23915157658362204,0.46168509047188566,-0.04131864574142941,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18104,arbitrary,hybrid,0,2,4,true,0.18388917386500353,true,0.18388917386500353,0.16114940566311553,-0.022739768201888,0.9228405790964209,-0.3229634502860442,0.23915157658362204,0.46168509047188566,-0.04131864574142941,0.873212459828649,0.27398899355779266,0.873212459828649,0.27398899355779266,true,true
pilot,18104,shuffled,assembly,4,3,10,true,0.2678736693689435,true,0.2678736693689435,0.2678736693689435,0.0,1.1339921860723254,0.667901241745919,0.2615091564321625,0.7401876189023389,-0.42090601418121204,0.0,0.2944232430983939,0.0,0.2944232430983939,false,true
pilot,18104,shuffled,recruitment,4,3,4,true,0.2135890445520169,true,0.2135890445520169,0.3278527957912359,0.11426375123921897,1.2245053467716631,0.748723454034436,0.24155768105143235,1.0681778710098946,-0.1678627900147234,0.97082439194738,0.0,0.97082439194738,0.0,true,false
pilot,18104,shuffled,hybrid,4,3,4,true,0.2135890445520169,true,0.2135890445520169,0.3278527957912359,0.11426375123921897,1.2245053467716631,0.748723454034436,0.24155768105143235,1.0681778710098946,-0.1678627900147234,0.97082439194738,0.2684447216485356,0.97082439194738,0.2684447216485356,true,true
pilot,18105,prepared,assembly,1,1,17,true,0.23714088401192648,true,0.23714088401192648,0.23714088401192648,0.0,0.8218272975887295,-0.7493406495700331,-0.16540458000512576,-0.721047410997281,-0.5045613436968747,0.0,0.4948824235613552,0.0,0.4948824235613552,false,true
pilot,18105,prepared,recruitment,1,1,7,true,0.2395139882675165,true,0.2395139882675165,0.30784362428113976,0.06832963601362327,1.406011680117641,-0.9922400897155461,-0.09298152940946679,-0.9287906284990083,-0.2549741598514432,1.5305227865013966,0.0,1.5305227865013966,0.0,true,false
pilot,18105,prepared,hybrid,1,1,7,true,0.2395139882675165,true,0.2395139882675165,0.30784362428113976,0.06832963601362327,1.406011680117641,-0.9922400897155461,-0.09298152940946679,-0.9287906284990083,-0.2549741598514432,1.5305227865013966,0.45121632736476497,1.5305227865013966,0.45121632736476497,true,true
pilot,18105,arbitrary,assembly,0,2,6,true,0.2649626160833824,false,0.2649626160833824,0.2649626160833824,0.0,0.7261780115066503,-0.2808869645532476,-0.10990076072671642,0.366636148589327,-0.1878107735046276,0.0,0.2474961792379429,0.0,0.2474961792379429,false,true
pilot,18105,arbitrary,recruitment,0,2,4,true,0.20459453619566556,true,0.20459453619566556,0.5024475758454836,0.297853039649818,1.3832609736986363,-0.36883278350159054,-0.04344007166473624,0.7073877733522425,-0.11983926893440261,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18105,arbitrary,hybrid,0,2,4,true,0.20459453619566556,true,0.20459453619566556,0.5024475758454836,0.297853039649818,1.3832609736986363,-0.36883278350159054,-0.04344007166473624,0.7073877733522425,-0.11983926893440261,0.873212459828649,0.22565828106988906,0.873212459828649,0.22565828106988906,true,true
pilot,18105,shuffled,assembly,1,2,12,true,0.24579882627734345,true,0.24579882627734345,0.24579882627734345,0.0,0.8904673143807825,-1.0751702874533164,-0.527758903551903,-0.5259918137564904,0.41740621176434545,0.0,0.6103969589511611,0.0,0.6103969589511611,false,true
pilot,18105,shuffled,recruitment,1,2,4,true,0.23689746795043337,true,0.23689746795043337,0.34441615870176095,0.10751869075132758,1.4876746886330943,-0.9169004414071336,-0.43529234075149303,-0.870073345306712,0.39855971730486855,1.0124228365658292,0.0,1.0124228365658292,0.0,true,false
pilot,18105,shuffled,hybrid,1,2,4,true,0.23689746795043337,true,0.23689746795043337,0.34441615870176095,0.10751869075132758,1.4876746886330943,-0.9169004414071336,-0.43529234075149303,-0.870073345306712,0.39855971730486855,1.0124228365658292,0.556538403749588,1.0124228365658292,0.556538403749588,true,true
pilot,18106,prepared,assembly,2,2,10,true,0.22606205924654804,true,0.22606205924654804,0.22606205924654804,0.0,0.96915170556592,-0.2214479128773951,0.14104891926363308,0.5424416128384285,-0.5082561505899007,0.0,0.5785831577907167,0.0,0.5785831577907167,false,true
pilot,18106,prepared,recruitment,2,2,4,true,0.2205182090430642,true,0.2205182090430642,0.29058348612453533,0.07006527708147112,1.4874232566038732,-0.4202170055759745,0.18031883076300217,0.774363574287044,-0.43098235863893347,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18106,prepared,hybrid,2,2,4,true,0.2205182090430642,true,0.2205182090430642,0.29058348612453533,0.07006527708147112,1.4874232566038732,-0.4202170055759745,0.18031883076300217,0.774363574287044,-0.43098235863893347,0.873212459828649,0.5275317026915357,0.873212459828649,0.5275317026915357,true,true
pilot,18106,arbitrary,assembly,0,2,3,true,0.24104280276496381,false,0.24104280276496381,0.24104280276496381,0.0,0.14807069204177703,0.05376380478768914,0.06261305439070486,0.23293983526517675,0.1559637617437675,0.0,0.32607980151990434,0.0,0.32607980151990434,false,true
pilot,18106,arbitrary,recruitment,0,2,9,true,0.23489971201429638,true,0.23489971201429638,0.40074091736964784,0.16584120535535146,0.5149485992095338,0.0938750079520832,0.04876291696525502,0.4978595922356189,0.44551307422551306,0.873212459828649,0.0,0.873212459828649,0.0,true,false
pilot,18106,arbitrary,hybrid,0,2,9,true,0.23489971201429638,true,0.23489971201429638,0.40074091736964784,0.16584120535535146,0.5149485992095338,0.0938750079520832,0.04876291696525502,0.4978595922356189,0.44551307422551306,0.873212459828649,0.2973080543269716,0.873212459828649,0.2973080543269716,true,true
pilot,18106,shuffled,assembly,2,1,5,true,0.2608223756932913,true,0.2608223756932913,0.2608223756932913,0.0,0.06915223525454195,-0.4360975440193428,-0.19132992096866316,0.3182359350970486,0.27218494869922377,0.0,0.04806505839096741,0.0,0.04806505839096741,false,false
pilot,18106,shuffled,recruitment,2,1,7,true,0.19591413956220738,true,0.19591413956220738,0.3326087978074875,0.1366946582452801,0.8679534947813233,-0.859599399016858,-0.07561062650267296,0.778472044533898,0.23532804001600463,1.697056274847714,0.0,1.697056274847714,0.0,true,false
