arm,condition,seed,session,scaffolded,part_dominance,depth_index,opacity_index,posterior_confidence,root_belief_alone,revision_weight,profile_part,profile_context,profile_interoception,profile_relational,profile_policy
witnessing,no_profile_learning,7101,1,1.0,0.5650240912899366,0.8218835130564148,0.9677659071765363,0.9677659071765363,0.8119209283127035,0.33394731333083405,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,2,1.0,0.4881165127694307,0.893278025007281,0.9677659071765363,0.9677659071765363,0.7021416812316054,0.2750105510470701,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,3,1.0,0.42953011556541004,0.7592447458134262,0.9677659071765363,0.9677659071765363,0.5688252598040786,0.2638442849508386,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,4,1.0,0.5155334555272179,0.7900024174888363,0.9677659071765363,0.9677659071765363,0.4358458280430066,0.24322674640010192,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,5,1.0,0.548779129912754,0.8498883390156352,0.9677659071765363,0.9677659071765363,0.3069706566757616,0.2528550842396007,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,6,1.0,0.5038403325657757,0.7640014454234844,0.9677659071765363,0.9677659071765363,0.21641053177724728,0.2147217514768794,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,7,0.0,0.3880237954390771,0.5339484974476303,0.6991568995125621,0.7960591026973142,0.18881648671407789,0.0777321378781632,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,8,0.0,0.5638849952479288,0.3421371712301908,0.6991568995125621,0.7960591026973142,0.15976733215162484,0.09192796409000353,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,9,0.0,0.43676090550989505,0.42348104675695153,0.6991568995125621,0.7960591026973142,0.13844764135272486,0.07649243668791149,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,10,0.0,0.3537691985997792,0.4791392194631892,0.6991568995125621,0.7960591026973142,0.1199315859261021,0.07492480359473476,0.0,0.0,0.0,0.0,0.0
witnessing,no_profile_learning,7101,11,0.0,0.4798494779969368,0.5001083393815001,0.6991568995125621,0.7960591026973142,0.10219475727850547,0.08181572874861977,0.0,0.0,0.0,0.0,0.0
