experiment,seed,global_rmse,local_rmse,global_heldout_error,local_heldout_error
coordinated_heldout,8201,0.30059652591561997,0.6298720267437262,0.37508874066152587,1.0
independent_all_observed,8201,0.363377580003644,0.17445374534155278,0.0,0.0
coordinated_heldout,8202,0.1380076375327031,0.5887533450628429,0.21481923777802647,1.0
independent_all_observed,8202,0.4166389671330604,0.24659083860683728,0.0,0.0
coordinated_heldout,8203,0.10797057438880647,0.5824893784731825,0.18261381823899114,1.0
independent_all_observed,8203,0.41911077536300423,0.2529020673456522,0.0,0.0
coordinated_heldout,8204,0.10724177109602391,0.5902606722485403,0.11614161993088301,1.0
independent_all_observed,8204,0.32701579288609145,0.11608103324959326,0.0,0.0
coordinated_heldout,8205,0.16666824418608084,0.592684818539962,0.2467479550545928,1.0
independent_all_observed,8205,0.36204994977097354,0.17998013613059402,0.0,0.0
coordinated_heldout,8206,0.20791678602233116,0.6124708362911776,0.2725750440530076,1.0
independent_all_observed,8206,0.33813140927627416,0.1698306225189216,0.0,0.0
coordinated_heldout,8207,0.19963547196730697,0.603316346740287,0.26941522528280926,1.0
independent_all_observed,8207,0.3536979516399159,0.1622416823099271,0.0,0.0
coordinated_heldout,8208,0.15670732304325966,0.5850138134394531,0.002525758455838245,1.0
independent_all_observed,8208,0.2683505184952879,0.09617121984286427,0.0,0.0
coordinated_heldout,8209,0.17545492787349007,0.6036157525252189,0.2397943137884262,1.0
independent_all_observed,8209,0.3436752459430337,0.17141347219678166,0.0,0.0
coordinated_heldout,8210,0.11897878579667429,0.5872663345326316,0.1903074993569076,1.0
independent_all_observed,8210,0.28546445848805563,0.07889909910661616,0.0,0.0
coordinated_heldout,8211,0.1803524009196977,0.5981545740494981,0.26108027063021555,1.0
independent_all_observed,8211,0.3754232179843359,0.19540888884948782,0.0,0.0
coordinated_heldout,8212,0.20046160598565835,0.6024895454607428,0.2790933243794035,1.0
independent_all_observed,8212,0.4073439854310139,0.24210999703060987,0.0,0.0
coordinated_heldout,8213,0.18153648618985366,0.5991620228254544,0.26243572513487257,1.0
independent_all_observed,8213,0.30444704373578024,0.10180191898842929,0.0,0.0
coordinated_heldout,8214,0.12232626337404855,0.5893759244306888,0.17766190533977,1.0
independent_all_observed,8214,0.42561065007882315,0.26969825083614557,0.0,0.0
coordinated_heldout,8215,0.18589269851686485,0.5984115971598126,0.2631062671372143,1.0
independent_all_observed,8215,0.350785738798311,0.17608094288478587,0.0,0.0
coordinated_heldout,8216,0.20769424023534042,0.6039740918629594,0.28743062272398257,1.0
independent_all_observed,8216,0.3028000563982097,0.10635859115156798,0.0,0.0
coordinated_heldout,8217,0.19516196782086895,0.6027692474899259,0.27521417464002706,1.0
independent_all_observed,8217,0.27109065967856427,0.12164484330243572,0.0,0.0
coordinated_heldout,8218,0.1529012004575985,0.592250561469779,0.2336054953874419,1.0
independent_all_observed,8218,0.31699203821117344,0.16316801171191764,0.0,0.0
coordinated_heldout,8219,0.17554959265489542,0.5957805088117915,0.2523434996966023,1.0
independent_all_observed,8219,0.31277651527943473,0.14316420442630523,0.0,0.0
coordinated_heldout,8220,0.1126622341834935,0.5781239046017892,0.050528905310631034,1.0
independent_all_observed,8220,0.3415992984833873,0.1801147507342497,0.0,0.0
