seed,bundle_gain,transfer_gain,joint_action_gain,factorized_action_gain,action_interaction,adversarial_advantage,capacity_log_score_gain,noisy_guidance_log_loss_gain,wrong_guidance_log_loss_gain,stale_guidance_log_loss_gain,accurate_conclusion_accuracy_advantage,wrong_suggestion_cost,noisy_transfer_gain,wrong_transfer_gain,stale_transfer_gain,noisy_information_matched_gain,wrong_information_matched_gain,stale_information_matched_gain,joint_guidance_interaction,adaptive_release_gain,coordinated_global_gain,post_scaffold_accuracy_gain,post_scaffold_transfer_gain,post_scaffold_new_channel_rate,contact_absent_scaffold_accuracy,contact_misattuned_scaffold_accuracy,contact_only_accuracy
16901,0.15625,0.1328125,0.171875,0.015625,0.15625,-0.078125,0.6610682181388994,-0.04599495653027025,1.0080329698652386,1.0482066813530486,0.1875,0.65625,0.1015625,0.09375,-0.046875,0.06682559939726135,0.6038978632879055,0.6427202280379616,-0.001871129089985546,0.2767569642009384,0.39375323645601334,0.25,0.0625,1.0,0.78125,0.796875,0.5625
16902,0.03125,0.015625,0.03125,0.078125,-0.046875,0.015625,0.541935957413622,0.14112074354368104,0.9668682838558879,0.9186161534729362,0.28125,0.640625,0.04296875,0.11328125,0.0859375,0.14734764781280169,0.572704057785251,0.5253688838363302,-0.038115379132919736,0.3709287835787254,0.23921836318062972,-0.0625,0.0625,1.0,0.734375,0.765625,0.609375
16903,0.046875,0.09375,0.171875,0.078125,0.09375,-0.015625,0.46826355641836526,0.10564176490709898,1.0528729031025088,1.0492167656298474,0.15625,0.71875,0.0703125,0.21484375,0.1171875,0.19296254134378898,0.6477307107978103,0.6410829750861022,0.015412108693441118,0.4348405422183823,0.31032511893716164,-0.0625,-0.03125,1.0,0.84375,0.84375,0.578125
16904,0.0625,0.078125,0.109375,0.03125,0.078125,0.0,0.5092678993324364,0.13836868286504245,1.0338885200922734,1.0222189278606528,0.171875,0.6875,0.0625,0.0859375,0.0703125,0.20136960287923467,0.6289105892143619,0.6221679424253307,-0.0007887886996371662,0.037166267752184234,0.20513379529912978,0.0,0.03125,1.0,0.765625,0.75,0.578125
16905,0.015625,0.0,0.09375,-0.09375,0.1875,-0.109375,0.6487094162939815,0.10073514448575427,1.011535974596585,1.0462702092318867,0.1875,0.625,-0.0390625,0.15234375,0.1171875,0.17999520556682957,0.6069787804849848,0.6446869905372136,-0.010964495611568648,-0.01795690431714414,0.19894192848921066,0.0,0.0,1.0,0.78125,0.78125,0.609375
16906,0.0,0.0,0.125,0.015625,0.109375,0.03125,0.5449757048346102,0.23835392029667213,1.0465176104736247,1.163001468848484,0.171875,0.734375,0.09375,0.1953125,0.078125,0.2753742638070159,0.6462910033683663,0.7603376298973621,-0.049573372517544456,0.3029420032907595,0.12363628803635529,0.0,0.03125,1.0,0.828125,0.8125,0.6875
16907,0.125,0.1015625,0.125,0.015625,0.109375,-0.203125,0.6993492377843253,0.11382046360532738,0.9815051917333848,1.058732360488429,0.109375,0.71875,0.02734375,0.1953125,0.125,0.18868030182849516,0.5866878867038421,0.6568920225884475,-0.032484466992525496,0.3366332019658502,0.15563693108296317,0.0,0.0,0.0,0.890625,0.890625,0.75
16908,0.015625,0.140625,0.09375,-0.046875,0.140625,-0.140625,0.7703536109021409,-0.07405903427968813,1.0103074997392274,0.9698399100475429,0.21875,0.515625,0.0859375,0.109375,0.0,0.045652051872266064,0.6038257884736805,0.5649698844363634,-0.023811910124404978,0.24429020261280243,0.21951571713500828,0.0,-0.03125,1.0,0.765625,0.765625,0.5625
16909,0.046875,0.03125,0.078125,0.046875,0.03125,-0.09375,0.645202575418421,0.10711016727595357,1.0013187183347472,1.12836937517111,0.203125,0.640625,0.02734375,0.13671875,0.0625,0.17602489718917813,0.6024736055973272,0.7199286016495969,-0.01686293457911292,0.11704432557703948,0.36367355019313374,0.0,0.0,1.0,0.796875,0.78125,0.640625
16910,0.21875,0.109375,0.25,0.0625,0.1875,0.03125,0.6320136712692763,0.12303176802904153,1.0354875269576895,1.0841539191614442,0.171875,0.5625,0.06640625,0.09765625,-0.0234375,0.19146353863972282,0.6309093651908506,0.6779486778902504,0.032171503986669014,0.21879427081304725,0.40761525462790005,0.25,0.15625,1.0,0.75,0.78125,0.578125
