seed,episode,agent,phase,context,correct,relation_violation,forecast_error,effective_shrinkage
8901,1,learned_global,training,-1.0,true,false,1.5705625319186327,0.0
8901,1,adaptive_local,training,-1.0,true,false,1.5705625319186327,7.6235397808863645
8901,1,independent_local,training,-1.0,true,false,1.5705625319186327,0.0
8901,2,learned_global,training,-0.5,true,false,0.5038746789390863,0.0
8901,2,adaptive_local,training,-0.5,true,false,0.7271834703442362,7.744087434596306
8901,2,independent_local,training,-0.5,true,false,0.6125462343990198,0.0
8901,3,learned_global,training,0.0,true,false,0.5436517106021863,0.0
8901,3,adaptive_local,training,0.0,true,false,0.6642400759420131,7.947837031152881
8901,3,independent_local,training,0.0,true,false,0.7266485509998187,0.0
8901,4,learned_global,training,0.5,true,false,0.6989893152248604,0.0
8901,4,adaptive_local,training,0.5,true,false,0.8267808864469672,8.188120863379503
8901,4,independent_local,training,0.5,true,false,0.9495790465303257,0.0
8901,5,learned_global,training,1.0,true,false,0.8839092679952871,0.0
8901,5,adaptive_local,training,1.0,true,false,0.9944687104373389,8.350441719647419
8901,5,independent_local,training,1.0,true,false,0.9918671521647987,0.0
8901,6,learned_global,training,-1.0,true,false,0.49607347872895,0.0
8901,6,adaptive_local,training,-1.0,true,false,0.8501772170628008,8.470323450766106
8901,6,independent_local,training,-1.0,true,false,0.7161446652776913,0.0
8901,7,learned_global,training,-0.5,true,false,0.47487393799158195,0.0
8901,7,adaptive_local,training,-0.5,true,false,0.6830837632218221,8.50844628206143
8901,7,independent_local,training,-0.5,true,false,0.6230276425570074,0.0
8901,8,learned_global,training,0.0,true,false,0.5344946804313057,0.0
8901,8,adaptive_local,training,0.0,true,false,0.6408713608850093,8.544594839450943
8901,8,independent_local,training,0.0,true,false,0.634987529691212,0.0
8901,9,learned_global,training,0.5,true,false,0.643538199045189,0.0
8901,9,adaptive_local,training,0.5,true,false,0.7164205241816984,8.591868367531976
8901,9,independent_local,training,0.5,true,false,0.72623581019039,0.0
8901,10,learned_global,training,1.0,true,false,0.8041005059219545,0.0
8901,10,adaptive_local,training,1.0,true,false,0.8915810181223754,8.66757087106285
8901,10,independent_local,training,1.0,true,false,0.8835535600401482,0.0
8901,11,learned_global,training,-1.0,true,false,0.4849105160862252,0.0
8901,11,adaptive_local,training,-1.0,true,false,0.8080484386209522,8.738362290072361
8901,11,independent_local,training,-1.0,true,false,0.6869547962311784,0.0
8901,12,learned_global,training,-0.5,true,false,0.4797623901416316,0.0
8901,12,adaptive_local,training,-0.5,true,false,0.6721310488067568,8.760589841813498
8901,12,independent_local,training,-0.5,true,false,0.6185383763515514,0.0
8901,13,learned_global,training,0.0,false,false,0.5237558739523658,0.0
8901,13,adaptive_local,training,0.0,false,false,0.6247499736846223,8.783687334373198
8901,13,independent_local,training,0.0,false,false,0.6190623569037244,0.0
8901,14,learned_global,training,0.5,true,false,0.6251435296532754,0.0
8901,14,adaptive_local,training,0.5,true,false,0.6953232241290108,8.806756146913951
8901,14,independent_local,training,0.5,true,false,0.703641144359673,0.0
8901,15,learned_global,training,1.0,true,false,0.7438564174715376,0.0
8901,15,adaptive_local,training,1.0,true,false,0.8324795644920777,8.845945433446671
8901,15,independent_local,training,1.0,true,false,0.8234957491220445,0.0
8901,16,learned_global,training,-1.0,false,false,0.46851092786939785,0.0
8901,16,adaptive_local,training,-1.0,false,false,0.773745390207985,8.896985321054967
8901,16,independent_local,training,-1.0,false,false,0.6615026670986652,0.0
8901,17,learned_global,training,-0.5,true,false,0.4604331748771699,0.0
8901,17,adaptive_local,training,-0.5,true,false,0.645244891946779,8.918068081817113
8901,17,independent_local,training,-0.5,true,false,0.5942442004911999,0.0
8901,18,learned_global,training,0.0,false,false,0.5108822038390852,0.0
8901,18,adaptive_local,training,0.0,false,false,0.6094908982201739,8.928054729759094
8901,18,independent_local,training,0.0,false,false,0.6028788697704424,0.0
8901,19,learned_global,training,0.5,true,false,0.5992803731269458,0.0
8901,19,adaptive_local,training,0.5,true,false,0.666694616956067,8.949851684942832
8901,19,independent_local,training,0.5,true,false,0.6732494548715727,0.0
8901,20,learned_global,training,1.0,true,false,0.7064596485345395,0.0
8901,20,adaptive_local,training,1.0,true,false,0.792625253692844,8.981277929567131
8901,20,independent_local,training,1.0,true,false,0.7839914447316825,0.0
8901,21,learned_global,training,-1.0,false,false,0.4594501233194419,0.0
8901,21,adaptive_local,training,-1.0,false,false,0.7527050962367208,9.01592536594768
8901,21,independent_local,training,-1.0,false,false,0.6440495113553492,0.0
8901,22,learned_global,training,-0.5,true,false,0.45463489086634334,0.0
8901,22,adaptive_local,training,-0.5,true,false,0.6326935672910966,9.029007933592712
8901,22,independent_local,training,-0.5,true,false,0.58370514109979,0.0
8901,23,learned_global,training,0.0,true,false,0.49560261458469584,0.0
8901,23,adaptive_local,training,0.0,true,false,0.5912954868277919,9.035033307904495
8901,23,independent_local,training,0.0,true,false,0.5851579266625638,0.0
8901,24,learned_global,training,0.5,true,false,0.5809699608755303,0.0
8901,24,adaptive_local,training,0.5,true,false,0.6465871697873407,9.049114692938252
8901,24,independent_local,training,0.5,true,false,0.6524029094027863,0.0
8901,25,learned_global,training,1.0,true,false,0.6837001868677648,0.0
8901,25,adaptive_local,training,1.0,true,false,0.7674175578882632,9.073492095913824
8901,25,independent_local,training,1.0,true,false,0.7581700040104704,0.0
8901,26,learned_global,training,-1.0,true,false,0.4527072743611945,0.0
8901,26,adaptive_local,training,-1.0,true,false,0.7377654915097764,9.09726891258556
8901,26,independent_local,training,-1.0,true,false,0.6327835550900844,0.0
8901,27,learned_global,training,-0.5,false,true,0.4474042282932996,0.0
8901,27,adaptive_local,training,-0.5,false,true,0.6225788378365099,9.110878798817687
8901,27,independent_local,training,-0.5,false,true,0.5748274575871516,0.0
8901,28,learned_global,training,0.0,true,false,0.4949631047024432,0.0
8901,28,adaptive_local,training,0.0,true,false,0.5885943208091258,9.120527507841373
8901,28,independent_local,training,0.0,true,false,0.5822659642492137,0.0
8901,29,learned_global,training,0.5,true,false,0.5785973965073176,0.0
8901,29,adaptive_local,training,0.5,true,false,0.6432117003494575,9.130864379421181
8901,29,independent_local,training,0.5,true,false,0.6485819153709012,0.0
8901,30,learned_global,training,1.0,true,false,0.6822992160630813,0.0
8901,30,adaptive_local,training,1.0,true,false,0.764175191156831,9.146314339354346
8901,30,independent_local,training,1.0,true,false,0.7551135645284639,0.0
8901,31,learned_global,training,-1.0,false,false,0.4463000347753714,0.0
8901,31,adaptive_local,training,-1.0,false,false,0.7247619599714721,9.165019319266605
8901,31,independent_local,training,-1.0,false,false,0.622915454976779,0.0
8901,32,learned_global,training,-0.5,true,false,0.4435755687386241,0.0
8901,32,adaptive_local,training,-0.5,true,false,0.6152028028190367,9.171530917604766
8901,32,independent_local,training,-0.5,true,false,0.5688649854198594,0.0
8901,33,learned_global,training,0.0,true,false,0.48650405610956865,0.0
8901,33,adaptive_local,training,0.0,true,false,0.5785200267553381,9.177894572013894
8901,33,independent_local,training,0.0,true,false,0.5721689288135987,0.0
8901,34,learned_global,training,0.5,true,false,0.5680496573347213,0.0
8901,34,adaptive_local,training,0.5,true,false,0.6306128190696613,9.183455221128744
8901,34,independent_local,training,0.5,true,false,0.6354151295076538,0.0
8901,35,learned_global,training,1.0,true,false,0.6776369858679746,0.0
8901,35,adaptive_local,training,1.0,true,false,0.7547414369367652,9.19087847471555
8901,35,independent_local,training,1.0,true,false,0.7455915827686047,0.0
8901,36,learned_global,training,-1.0,true,false,0.44273880539687244,0.0
8901,36,adaptive_local,training,-1.0,true,false,0.7181081755752109,9.21071064595509
8901,36,independent_local,training,-1.0,true,false,0.6200295287246171,0.0
8901,37,learned_global,training,-0.5,true,false,0.437591105193832,0.0
8901,37,adaptive_local,training,-0.5,true,false,0.6074682417866428,9.219634067532066
8901,37,independent_local,training,-0.5,true,false,0.5623564082242671,0.0
8901,38,learned_global,training,0.0,false,false,0.4818711372537493,0.0
8901,38,adaptive_local,training,0.0,false,false,0.5731196831000169,9.222288852632339
8901,38,independent_local,training,0.0,false,false,0.5665090795572186,0.0
8901,39,learned_global,training,0.5,true,false,0.5631448648618643,0.0
8901,39,adaptive_local,training,0.5,true,false,0.6238239705475954,9.224944951768467
8901,39,independent_local,training,0.5,true,false,0.6284116821564627,0.0
8901,40,learned_global,training,1.0,true,false,0.6696285909492171,0.0
8901,40,adaptive_local,training,1.0,true,false,0.7420340824622869,9.241047729935374
8901,40,independent_local,training,1.0,true,false,0.7339018116540443,0.0
8901,41,learned_global,training,-1.0,true,false,0.43723886530455214,0.0
8901,41,adaptive_local,training,-1.0,true,false,0.7083635442181264,9.256685502172784
8901,41,independent_local,training,-1.0,true,false,0.6116561000887774,0.0
8901,42,learned_global,training,-0.5,true,false,0.43180707631248455,0.0
8901,42,adaptive_local,training,-0.5,true,false,0.5995474925526436,9.261375057323235
8901,42,independent_local,training,-0.5,true,false,0.555027914029712,0.0
8901,43,learned_global,training,0.0,true,false,0.4776918413184895,0.0
8901,43,adaptive_local,training,0.0,true,false,0.567591108641502,9.262962881654094
8901,43,independent_local,training,0.0,true,false,0.5611988060165496,0.0
8901,44,learned_global,training,0.5,true,false,0.5593825341075516,0.0
8901,44,adaptive_local,training,0.5,true,false,0.6186589083990283,9.26675368153284
8901,44,independent_local,training,0.5,true,false,0.6232691897061867,0.0
8901,45,learned_global,training,1.0,true,false,0.6636203379846226,0.0
8901,45,adaptive_local,training,1.0,true,false,0.7350334259779557,9.277591723981933
8901,45,independent_local,training,1.0,true,false,0.7266500812409605,0.0
8901,46,learned_global,training,-1.0,false,false,0.4323967797099819,0.0
8901,46,adaptive_local,training,-1.0,false,false,0.7003467932964441,9.288851941920448
8901,46,independent_local,training,-1.0,false,false,0.6052971278589767,0.0
8901,47,learned_global,training,-0.5,true,false,0.428990204606629,0.0
8901,47,adaptive_local,training,-0.5,true,false,0.595351594082013,9.300441120830973
8901,47,independent_local,training,-0.5,true,false,0.5517777299520045,0.0
8901,48,learned_global,training,0.0,true,false,0.47517738671027093,0.0
8901,48,adaptive_local,training,0.0,true,false,0.5640241773246412,9.306539115423327
8901,48,independent_local,training,0.0,true,false,0.5577324856858469,0.0
8901,49,learned_global,training,0.5,false,false,0.5588435720448073,0.0
8901,49,adaptive_local,training,0.5,false,false,0.6178578554291271,9.31170511979304
8901,49,independent_local,training,0.5,false,false,0.6223959902359347,0.0
8901,50,learned_global,training,1.0,true,false,0.6622790618977968,0.0
8901,50,adaptive_local,training,1.0,true,false,0.7336571417927588,9.327355186701766
8901,50,independent_local,training,1.0,true,false,0.725473612070153,0.0
8901,51,learned_global,training,-1.0,false,false,0.4335843769681587,0.0
8901,51,adaptive_local,training,-1.0,false,false,0.6968218242085873,9.336675823178027
8901,51,independent_local,training,-1.0,false,false,0.6028495054188365,0.0
8901,52,learned_global,training,-0.5,true,false,0.4268549522340124,0.0
8901,52,adaptive_local,training,-0.5,true,false,0.5901903901963154,9.34399466525215
8901,52,independent_local,training,-0.5,true,false,0.5470893157415972,0.0
8901,53,learned_global,training,0.0,true,false,0.47095144366465425,0.0
8901,53,adaptive_local,training,0.0,true,false,0.558304412657264,9.34750596657119
8901,53,independent_local,training,0.0,true,false,0.5521235806417976,0.0
8901,54,learned_global,training,0.5,true,false,0.5538120303503735,0.0
8901,54,adaptive_local,training,0.5,true,false,0.6124563607609561,9.348750691553324
8901,54,independent_local,training,0.5,true,false,0.6166925250993993,0.0
8901,55,learned_global,training,1.0,false,false,0.6597404860026091,0.0
8901,55,adaptive_local,training,1.0,false,false,0.7310508065176142,9.362360232870063
8901,55,independent_local,training,1.0,false,false,0.7223398043067756,0.0
8901,56,learned_global,training,-1.0,true,false,0.43200423202967597,0.0
8901,56,adaptive_local,training,-1.0,true,false,0.6920156693891256,9.374512552812755
8901,56,independent_local,training,-1.0,true,false,0.5989209524277669,0.0
8901,57,learned_global,training,-0.5,true,false,0.4252119264254567,0.0
8901,57,adaptive_local,training,-0.5,true,false,0.5859063063092946,9.377976573098671
8901,57,independent_local,training,-0.5,true,false,0.5434700405379442,0.0
8901,58,learned_global,training,0.0,true,false,0.4697772208787077,0.0
8901,58,adaptive_local,training,0.0,true,false,0.5561127543274266,9.382360661868177
8901,58,independent_local,training,0.0,true,false,0.5502134714789576,0.0
8901,59,learned_global,training,0.5,true,false,0.5508154860874306,0.0
8901,59,adaptive_local,training,0.5,true,false,0.6090613157683259,9.383851989568228
8901,59,independent_local,training,0.5,true,false,0.6131282349818391,0.0
8901,60,learned_global,training,1.0,true,false,0.6567431140524068,0.0
8901,60,adaptive_local,training,1.0,true,false,0.7274886546578331,9.396087524194263
8901,60,independent_local,training,1.0,true,false,0.7183846207447353,0.0
8901,61,learned_global,training,-1.0,true,false,0.4308348736145569,0.0
8901,61,adaptive_local,training,-1.0,true,false,0.6882371749809657,9.405055963619777
8901,61,independent_local,training,-1.0,true,false,0.5961338650009844,0.0
8901,62,learned_global,training,-0.5,false,false,0.42062313072262864,0.0
8901,62,adaptive_local,training,-0.5,false,false,0.5800042715772424,9.409138366306616
8901,62,independent_local,training,-0.5,false,false,0.5378205708224988,0.0
8901,63,learned_global,training,0.0,true,false,0.4640393181480432,0.0
8901,63,adaptive_local,training,0.0,true,false,0.5492844871370044,9.411782169141253
8901,63,independent_local,training,0.0,true,false,0.5433583128078034,0.0
8901,64,learned_global,training,0.5,false,false,0.5459248775341098,0.0
8901,64,adaptive_local,training,0.5,false,false,0.6032548076477456,9.417657656144815
8901,64,independent_local,training,0.5,false,false,0.6069605096102259,0.0
8901,65,learned_global,training,1.0,false,false,0.6519981848846271,0.0
