experiment,name,citation,mechanisms,complexity,score,robustness,witnessing_root,regulation_root,contact_root,information_root,danger_threat,false_root,false_unrelated,rupture_root,transfer
26,context_redescription+patient_testing,Chamberlin (2023); Li et al. (2025),redescription+patient_testing,4,0.86774035505881,1.0,0.046292390891584816,0.8641957181938197,0.8369179148389727,0.203200259950812,0.8613110253463498,0.8810095979835615,0.653181830364758,0.20983096326386433,0.30788767237199816
7,context_redescription,Chamberlin (2023),redescription,2,0.8661831780525503,1.0,0.06444083003614186,0.8382519659880372,0.8523129717851667,0.20319444387278862,0.8406753680016578,0.7731437869740224,0.6092234136123075,0.2383088704376419,0.30788767237199816
25,context_redescription+flexible_boundary,Chamberlin (2023); Sandved-Smith et al. (2026),redescription+flexible_boundary,4,0.8594212215906386,1.0,0.06444083003614186,0.8382519659880372,0.8523129717851667,0.20319444387278862,0.8406753680016578,0.8861728374942274,0.6562277939971556,0.2383088704376419,0.4839994209687811
28,context_redescription+flexible_boundary+patient_testing,Chamberlin (2023); Sandved-Smith et al. (2026); Li et al. (2025),redescription+flexible_boundary+patient_testing,6,0.8458877674704866,1.0,0.046292390891584816,0.8641957181938197,0.8369179148389727,0.203200259950812,0.8613110253463498,0.8973488472890423,0.6621297131504738,0.20983096326386433,0.4839994209687811
20,flexible_boundary,Sandved-Smith et al. (2026),flexible_boundary,2,0.8418147588543599,1.0,0.11167133563976822,0.7998534631195806,0.828676216575794,0.2951959576867848,0.8225007489893437,0.8568243140168291,0.6394613879574431,0.28856222117633806,0.17611174859678289
14,patient_testing,Li et al. (2025),patient_testing,2,0.8413763191666856,1.0,0.08227367930354589,0.8449259832739544,0.8083466785645128,0.3136751540761475,0.8361042964923942,0.8442639894448459,0.6224290603616411,0.27670493498705817,0.0
8,spare_capacity,Smith et al. (2020),spare_capacity,2,0.835015650772531,1.0,0.06142179107055294,0.8299470438888081,0.8470192184075549,0.19665895617451895,0.8423083071001524,0.23590260223673756,0.5,0.2248568121708171,0.17734329928627096
27,flexible_boundary+patient_testing,Sandved-Smith et al. (2026); Li et al. (2025),flexible_boundary+patient_testing,4,0.8303682598720099,1.0,0.08227367930354589,0.8449259832739544,0.8083466785645128,0.3136751540761475,0.8361042964923942,0.8929707131080465,0.6469551122460092,0.27670493498705817,0.17611174859678289
9,regulatory_authority,Palejova (2026),authority,2,0.8299312838404375,1.0,0.11203932070531726,0.8578843401791256,0.8175541360395395,0.3683605308418273,0.8302401892945803,0.8342825103030066,0.6055812396624614,0.32686141077463365,0.0
11,dyadic_synchrony,McParlin et al. (2022),synchrony,1,0.829190179680307,1.0,0.034307270839482304,0.7332403625122799,0.7854342001930867,0.1382024029535534,0.8492170108671964,0.24558475788960601,0.5,0.16653768913752326,0.15960000000000008
16,social_self_evidencing,Albarracin et al. (2024),social_self,1,0.8233240011165406,1.0,0.044335900250750494,0.7651632734435665,0.8053737475211827,0.1670684100543354,0.8377487126111555,0.46947683787008165,0.5477883315962189,0.16126201835460338,0.0
10,second_order_social,Harris (2025),second_order,1,0.8207870380893456,1.0,0.0792022105921766,0.7866392050863289,0.8235733857056338,0.26353519432978073,0.8254733142673492,0.6515889863389828,0.5789590214164207,0.24025463690909357,0.0
5,global_covariance,"Laukkonen, Friston, & Chandaria (2025)",global,0,0.8146724283194564,1.0,0.11167133563976822,0.7998534631195806,0.828676216575794,0.2951959576867848,0.8225007489893437,0.37279681808769516,0.5,0.28856222117633806,0.0
21,compassionate_scope,Ho et al. (2021),compassion,1,0.8137803025175186,1.0,0.0780268590314163,0.7840848229364976,0.8182395019116577,0.2389538791943712,0.8297688194397576,0.32569196562130914,0.5,0.2409904454662855,0.0
15,learned_mental_action,Tal et al. (2026),mental_action,2,0.8107463268884778,1.0,0.052689402503150747,0.7492574192729549,0.79607406667626,0.18042241036684195,0.8433225326804946,0.30180531863854176,0.5,0.21227449812682092,0.22799999999999984
24,process_resumption,Gendlin (1964),process_resumption,1,0.8045619800362094,1.0,0.13319425795671055,0.7998534631195806,0.875323645194474,0.3277525683639718,0.8225007489893437,0.5070785053960455,0.5,0.3098308490071072,0.0
23,dynamic_balancing,Sato (2025),dynamic_balance,2,0.7797213537427535,1.0,0.11870392554143909,0.8000893770058674,0.828866868623878,0.30396047883816835,0.8224613328283189,0.37367157117277794,0.5,0.3542721723498557,0.0
6,opacity_gate,Limanowski & Friston (2018),opacity,1,0.7755735487893336,1.0,0.18728981867541397,0.8045474268211456,0.8849726227257295,0.3974103158575655,0.8201778565753928,0.3961175921015988,0.5,0.3696500970249488,0.0
19,multisensory_minimal_self,Limanowski & Blankenburg (2013),multisensory,2,0.7741349139955619,1.0,0.16817236598782423,0.8015621059196156,0.8397153510567292,0.3110902340172828,0.8016852623449163,0.43449238669429124,0.5,0.3463380270340132,0.0
12,interoceptive_titration,Fujimoto (2026),titration,1,0.7574535573704979,1.0,0.23097360448706714,0.8856857764814859,0.8597957619669738,0.43842090853191973,0.8102582008663827,0.3738945829490071,0.5,0.42860935167299846,0.0
