seed,disposition,scaffold,positive_without_scaffold,permission_episode,root_episode,permission_before_root,descent,root_change
60000,trustworthy,coupled,false,4,6,true,true,0.4734131224634165
60000,trustworthy,decoupled,false,0,0,false,false,0.0
60000,neutral,coupled,false,5,9,true,false,0.06431416561421854
60000,neutral,decoupled,false,0,0,false,false,0.0
60000,adverse,coupled,false,0,0,false,false,0.0
60000,adverse,decoupled,false,0,0,false,false,0.0
60000,trustworthy,none,true,0,0,false,false,0.0
60001,trustworthy,coupled,false,12,14,true,true,0.40066757321451363
60001,trustworthy,decoupled,false,0,0,false,false,0.0
60001,neutral,coupled,false,0,0,false,false,0.0
60001,neutral,decoupled,false,0,0,false,false,0.0
60001,adverse,coupled,false,0,0,false,false,0.0
60001,adverse,decoupled,false,0,0,false,false,0.0
60001,trustworthy,none,true,0,0,false,false,0.0
60002,trustworthy,coupled,false,8,10,true,true,0.4819081448380924
60002,trustworthy,decoupled,false,0,0,false,false,0.0
60002,neutral,coupled,false,5,10,true,true,0.18937555489321578
60002,neutral,decoupled,false,0,0,false,false,0.0
60002,adverse,coupled,false,14,0,true,false,0.049394511747939185
60002,adverse,decoupled,false,0,0,false,false,0.0
60002,trustworthy,none,true,0,0,false,false,0.0
60003,trustworthy,coupled,false,4,6,true,true,0.41199024582568167
60003,trustworthy,decoupled,false,0,0,false,false,0.0
60003,neutral,coupled,false,6,21,true,true,0.27783649345394745
60003,neutral,decoupled,false,0,0,false,false,0.0
60003,adverse,coupled,false,0,0,false,false,0.0
60003,adverse,decoupled,false,0,0,false,false,0.0
60003,trustworthy,none,true,0,0,false,false,0.0
60004,trustworthy,coupled,false,8,10,true,true,0.4372388431850135
60004,trustworthy,decoupled,false,0,0,false,false,0.0
60004,neutral,coupled,false,14,18,true,true,0.15616953385724697
60004,neutral,decoupled,false,0,0,false,false,0.0
60004,adverse,coupled,false,0,0,false,false,0.0
60004,adverse,decoupled,false,0,0,false,false,0.0
60004,trustworthy,none,true,0,0,false,false,0.0
60005,trustworthy,coupled,false,8,10,true,true,0.4379461369966986
60005,trustworthy,decoupled,false,0,0,false,false,0.0
60005,neutral,coupled,false,13,0,true,false,0.09911444836734284
60005,neutral,decoupled,false,0,0,false,false,0.0
60005,adverse,coupled,false,0,0,false,false,0.0
60005,adverse,decoupled,false,0,0,false,false,0.0
60005,trustworthy,none,true,0,0,false,false,0.0
60006,trustworthy,coupled,false,5,7,true,true,0.47804989739770887
60006,trustworthy,decoupled,false,0,0,false,false,0.0
60006,neutral,coupled,false,16,18,true,true,0.14303296746942562
60006,neutral,decoupled,false,0,0,false,false,0.0
60006,adverse,coupled,false,0,0,false,false,0.0
60006,adverse,decoupled,false,0,0,false,false,0.0
60006,trustworthy,none,true,0,0,false,false,0.0
60007,trustworthy,coupled,false,4,8,true,true,0.4602451994975223
60007,trustworthy,decoupled,false,0,0,false,false,0.0
60007,neutral,coupled,false,0,0,false,false,0.0
60007,neutral,decoupled,false,0,0,false,false,0.0
60007,adverse,coupled,false,0,0,false,false,0.0
60007,adverse,decoupled,false,0,0,false,false,0.0
60007,trustworthy,none,true,0,0,false,false,0.0
60008,trustworthy,coupled,false,4,6,true,true,0.4732237612368517
60008,trustworthy,decoupled,false,0,0,false,false,0.0
60008,neutral,coupled,false,14,22,true,true,0.1662297088303083
60008,neutral,decoupled,false,0,0,false,false,0.0
60008,adverse,coupled,false,0,0,false,false,0.0
60008,adverse,decoupled,false,0,0,false,false,0.0
60008,trustworthy,none,true,0,0,false,false,0.0
60009,trustworthy,coupled,false,12,14,true,true,0.3613302221994662
60009,trustworthy,decoupled,false,0,0,false,false,0.0
60009,neutral,coupled,false,0,0,false,false,0.0
60009,neutral,decoupled,false,0,0,false,false,0.0
60009,adverse,coupled,false,0,0,false,false,0.0
60009,adverse,decoupled,false,0,0,false,false,0.0
60009,trustworthy,none,true,0,0,false,false,0.0
60010,trustworthy,coupled,false,4,6,true,true,0.48306816249411255
60010,trustworthy,decoupled,false,0,0,false,false,0.0
60010,neutral,coupled,false,7,15,true,true,0.2087336598083367
60010,neutral,decoupled,false,0,0,false,false,0.0
60010,adverse,coupled,false,0,0,false,false,0.0
60010,adverse,decoupled,false,0,0,false,false,0.0
60010,trustworthy,none,true,0,0,false,false,0.0
60011,trustworthy,coupled,false,5,7,true,true,0.46786832842864057
60011,trustworthy,decoupled,false,0,0,false,false,0.0
60011,neutral,coupled,false,0,0,false,false,0.0
60011,neutral,decoupled,false,0,0,false,false,0.0
60011,adverse,coupled,false,0,0,false,false,0.0
60011,adverse,decoupled,false,0,0,false,false,0.0
60011,trustworthy,none,true,0,0,false,false,0.0
