seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
701198,0.0,0,24,-24,0.0,0.04523625653485486,-0.04523625653485486,1.0
701198,0.5,10,24,-14,0.27521987309274537,0.04523625653485486,0.2299836165578905,0.5
701198,1.0,19,24,-5,0.91502077887797,0.04523625653485486,0.8697845223431151,0.0
701199,0.0,0,24,-24,0.0,0.1364684509562143,-0.1364684509562143,1.0
701199,0.5,9,24,-15,0.45688209695855964,0.1364684509562143,0.32041364600234534,0.5
701199,1.0,19,24,-5,0.9468582269950214,0.1364684509562143,0.8103897760388071,0.0
701200,0.0,0,24,-24,0.0,0.004770632914180062,-0.004770632914180062,1.0
701200,0.5,10,24,-14,0.02753566627115899,0.004770632914180062,0.02276503335697893,0.5
701200,1.0,20,24,-4,0.5638869005202509,0.004770632914180062,0.5591162676060708,0.0
701201,0.0,0,24,-24,0.0,0.003018980894439989,-0.003018980894439989,1.0
701201,0.5,9,24,-15,0.011958379759148758,0.003018980894439989,0.008939398864708768,0.5
701201,1.0,20,24,-4,0.4497047865135605,0.003018980894439989,0.4466858056191205,0.0
701202,0.0,0,24,-24,0.0,0.0005012650002942426,-0.0005012650002942426,1.0
701202,0.5,10,24,-14,0.005541306452962191,0.0005012650002942426,0.005040041452667949,0.5
701202,1.0,18,24,-6,0.10636426034394511,0.0005012650002942426,0.10586299534365087,0.0
701203,0.0,0,24,-24,0.0,0.30904739156061706,-0.30904739156061706,1.0
701203,0.5,9,24,-15,0.5232489869396815,0.30904739156061706,0.2142015953790644,0.5
701203,1.0,17,24,-7,0.5617997508663513,0.30904739156061706,0.2527523593057342,0.0
701204,0.0,0,24,-24,0.0,0.2877539948019889,-0.2877539948019889,1.0
701204,0.5,10,24,-14,0.6795030567449678,0.2877539948019889,0.3917490619429789,0.5
701204,1.0,20,24,-4,0.93256809072389,0.2877539948019889,0.6448140959219011,0.0
701205,0.0,0,24,-24,0.0,0.53271800977328,-0.53271800977328,1.0
701205,0.5,12,24,-12,0.7593286284991525,0.53271800977328,0.22661061872587251,0.5
701205,1.0,21,24,-3,0.7979751313692305,0.53271800977328,0.2652571215959505,0.0
701206,0.0,0,24,-24,0.0,9.886321555520985e-5,-9.886321555520985e-5,1.0
701206,0.5,11,24,-13,0.0006387294499547151,9.886321555520985e-5,0.0005398662343995052,0.5
701206,1.0,21,24,-3,0.028186617112898986,9.886321555520985e-5,0.028087753897343776,0.0
701207,0.0,0,24,-24,0.0,0.23587223886962638,-0.23587223886962638,1.0
701207,0.5,10,24,-14,0.684619556105356,0.23587223886962638,0.4487473172357296,0.5
701207,1.0,19,24,-5,0.9272350475837068,0.23587223886962638,0.6913628087140804,0.0
701208,0.0,0,24,-24,0.0,0.00037366954309490344,-0.00037366954309490344,1.0
701208,0.5,10,24,-14,0.004136094165338291,0.00037366954309490344,0.0037624246222433873,0.5
701208,1.0,18,24,-6,0.08148699513110386,0.00037366954309490344,0.08111332558800895,0.0
