seed,dose,closed_exposure,open_exposure,exposure_effect,closed_revision,open_revision,revision_effect,avoidance_mediator
52000,0.0,0,24,-24,0.0,0.26220105272936434,-0.26220105272936434,1.0
52000,0.5,10,24,-14,0.5330469147180681,0.26220105272936434,0.27084586198870375,0.5
52000,1.0,22,24,-2,0.9641002533497899,0.26220105272936434,0.7018992006204255,0.0
52001,0.0,0,24,-24,0.0,0.23799181669406966,-0.23799181669406966,1.0
52001,0.5,9,24,-15,0.6659199543068098,0.23799181669406966,0.4279281376127402,0.5
52001,1.0,16,24,-8,0.7524211009971968,0.23799181669406966,0.5144292843031272,0.0
52002,0.0,0,24,-24,0.0,0.00014343820928834947,-0.00014343820928834947,1.0
52002,0.5,9,24,-15,0.0022300666576378866,0.00014343820928834947,0.0020866284483495373,0.5
52002,1.0,16,24,-8,0.031906314827742435,0.00014343820928834947,0.03176287661845409,0.0
52003,0.0,0,24,-24,0.0,0.0028417470268711194,-0.0028417470268711194,1.0
52003,0.5,11,24,-13,0.044556927327033195,0.0028417470268711194,0.04171518030016207,0.5
52003,1.0,18,24,-6,0.4033518552619932,0.0028417470268711194,0.40051010823512206,0.0
52004,0.0,0,24,-24,0.0,0.14715689093893475,-0.14715689093893475,1.0
52004,0.5,8,24,-16,0.45783008300245887,0.14715689093893475,0.3106731920635241,0.5
52004,1.0,18,24,-6,0.9320845777902296,0.14715689093893475,0.7849276868512949,0.0
52005,0.0,0,24,-24,0.0,0.007837641006340396,-0.007837641006340396,1.0
52005,0.5,10,24,-14,0.03350781920770345,0.007837641006340396,0.025670178201363057,0.5
52005,1.0,21,24,-3,0.6981652132584226,0.007837641006340396,0.6903275722520822,0.0
52006,0.0,0,24,-24,0.0,0.3872152334414924,-0.3872152334414924,1.0
52006,0.5,7,24,-17,0.5693998726842795,0.3872152334414924,0.1821846392427871,0.5
52006,1.0,19,24,-5,0.8401679300231528,0.3872152334414924,0.45295269658166043,0.0
52007,0.0,0,24,-24,0.0,0.5734848760530382,-0.5734848760530382,1.0
52007,0.5,11,24,-13,0.6969184622520751,0.5734848760530382,0.12343358619903688,0.5
52007,1.0,22,24,-2,0.7376306938367476,0.5734848760530382,0.1641458177837094,0.0
52008,0.0,0,24,-24,0.0,3.9059579083803404e-5,-3.9059579083803404e-5,1.0
52008,0.5,10,24,-14,0.000433807091978784,3.9059579083803404e-5,0.0003947475128949806,0.5
52008,1.0,18,24,-6,0.009185304304340452,3.9059579083803404e-5,0.00914624472525665,0.0
52009,0.0,0,24,-24,0.0,0.12681444959192167,-0.12681444959192167,1.0
52009,0.5,8,24,-16,0.41791664779294024,0.12681444959192167,0.29110219820101857,0.5
52009,1.0,18,24,-6,0.9354284953672141,0.12681444959192167,0.8086140457752924,0.0
52010,0.0,0,24,-24,0.0,0.000764803892810127,-0.000764803892810127,1.0
52010,0.5,10,24,-14,0.0033479601250519624,0.000764803892810127,0.0025831562322418352,0.5
52010,1.0,21,24,-3,0.18335430406992861,0.000764803892810127,0.18258950017711847,0.0
52011,0.0,0,24,-24,0.0,0.4728427647875136,-0.4728427647875136,1.0
52011,0.5,10,24,-14,0.7234056375539468,0.4728427647875136,0.25056287276643324,0.5
52011,1.0,20,24,-4,0.8088388996069016,0.4728427647875136,0.335996134819388,0.0
