seed,regime,dominance,depth,correct_2d,loss_2d,loss_1d,scalar_truth
702412,quiet_narrowing,0.0,0.0,true,6.218166447288098e-5,3.5860988422001985e-6,0.0
702412,blended_capture,1.0,0.0,true,7.695479556746349e-5,0.5000456032485118,0.5
702412,self_led_witnessing,0.0,1.0,true,0.0012034889234608576,0.5004666966029044,0.5
702412,known_urgent_threat,1.0,1.0,true,6.0965424428329625e-6,7.605492631538507e-7,1.0
702413,quiet_narrowing,0.0,0.0,true,0.00040244264289961357,7.37660124093034e-6,0.0
702413,blended_capture,1.0,0.0,true,0.0008201998950557315,0.5002970225411608,0.5
702413,self_led_witnessing,0.0,1.0,true,0.0002217111945935278,0.5000923975427146,0.5
702413,known_urgent_threat,1.0,1.0,true,8.207714385148146e-5,4.164552954904763e-6,1.0
702414,quiet_narrowing,0.0,0.0,true,3.8169154296442844e-5,3.0433638628677693e-5,0.0
702414,blended_capture,1.0,0.0,true,0.0005713214449437313,0.5002838115781829,0.5
702414,self_led_witnessing,0.0,1.0,true,0.0014956031813522952,0.5014943642914799,0.5
702414,known_urgent_threat,1.0,1.0,true,0.0010649436983013862,0.0005968591713077037,1.0
702415,quiet_narrowing,0.0,0.0,true,0.0007582262674741422,0.0007216200797706796,0.0
702415,blended_capture,1.0,0.0,true,0.0015086492141610955,0.5006937693302308,0.5
702415,self_led_witnessing,0.0,1.0,true,0.00012999542170606839,0.5001001438060493,0.5
702415,known_urgent_threat,1.0,1.0,true,3.106408349556258e-5,2.9179272959724674e-5,1.0
702416,quiet_narrowing,0.0,0.0,true,0.0003553574999292346,0.00015634880863034292,0.0
702416,blended_capture,1.0,0.0,true,0.00036734910535576507,0.5000911030111459,0.5
702416,self_led_witnessing,0.0,1.0,true,7.438629225981253e-5,0.5000381300446399,0.5
702416,known_urgent_threat,1.0,1.0,true,1.0179342855977116e-5,4.547514517285973e-6,1.0
702417,quiet_narrowing,0.0,0.0,true,0.0007007532594338727,1.5500776468434502e-5,0.0
702417,blended_capture,1.0,0.0,true,0.00018486218419868793,0.5000360304457729,0.5
702417,self_led_witnessing,0.0,1.0,true,9.806208650939135e-5,0.5000290581494921,0.5
702417,known_urgent_threat,1.0,1.0,true,0.00015018925525004173,1.706455239671924e-6,1.0
702418,quiet_narrowing,0.0,0.0,true,7.558478636164305e-5,7.476513255097789e-5,0.0
702418,blended_capture,1.0,0.0,true,0.0003254523195117457,0.5002792039894954,0.5
702418,self_led_witnessing,0.0,1.0,true,0.00013964899041040262,0.50013746953251,0.5
702418,known_urgent_threat,1.0,1.0,true,0.0004709801013733501,0.00026897360609539776,1.0
702419,quiet_narrowing,0.0,0.0,true,0.00015912274551503419,3.181545064961343e-5,0.0
702419,blended_capture,1.0,0.0,true,0.00026599028940402,0.5000004603660826,0.5
702419,self_led_witnessing,0.0,1.0,true,0.00012724854561883283,0.5000638568585558,0.5
702419,known_urgent_threat,1.0,1.0,true,7.152197564968814e-5,1.3320895987726813e-5,1.0
702420,quiet_narrowing,0.0,0.0,true,0.00046886262286976186,5.465704466877696e-5,0.0
702420,blended_capture,1.0,0.0,true,0.00022618519194382482,0.5000191356188624,0.5
702420,self_led_witnessing,0.0,1.0,true,0.0003544232192201673,0.5001683752911987,0.5
702420,known_urgent_threat,1.0,1.0,true,0.00017206933220596175,0.00010263061351510101,1.0
702421,quiet_narrowing,0.0,0.0,true,0.00010457806159951081,3.459942413932124e-5,0.0
