seed,kind,partner,recovered,stakes_separated,posterior_unchanged,transfer_local,competence,obsolete_shift,sign_prediction_match
708300,invariant,neutral,true,true,true,true,0.0010918985888247238,-0.33999622770903604,true
708300,learned_history,trustworthy,true,true,true,true,0.9929138799595938,-0.003191751551245403,false
708300,learned_history,neutral,false,true,true,true,0.0010918985888247238,-0.33999622770903604,true
708300,learned_history,adverse,true,true,true,true,1.4470224497570568e-6,-1.0589895784673953e-5,true
708301,invariant,neutral,true,true,true,true,0.00496874139105487,-0.21777194611004197,true
708301,learned_history,trustworthy,true,true,true,true,0.9989534845234632,-0.0004570775236258928,false
708301,learned_history,neutral,true,true,true,true,0.00496874139105487,-0.21777194611004197,true
708301,learned_history,adverse,true,true,true,true,2.552999668933312e-7,-3.8469953354651476e-5,true
708302,invariant,neutral,true,true,true,true,0.9600421432691213,-0.04184898881992616,true
708302,learned_history,trustworthy,true,true,true,true,0.9999848283376034,-6.5976095564579396e-6,false
708302,learned_history,neutral,false,true,true,true,0.9600421432691213,-0.04184898881992616,false
708302,learned_history,adverse,true,true,true,true,0.0007704795364177727,-0.0012980605109959298,true
708303,invariant,neutral,true,true,true,true,0.8681828879657514,-0.15251546447052322,true
708303,learned_history,trustworthy,true,true,true,true,0.9999831449550134,-7.329470751549216e-6,false
708303,learned_history,neutral,false,true,true,true,0.8681828879657514,-0.15251546447052322,false
708303,learned_history,adverse,true,true,true,true,0.0005941645631825258,-5.897153814045375e-5,true
708304,invariant,neutral,true,true,true,true,0.418272557686416,-0.18876696169166457,true
708304,learned_history,trustworthy,true,true,true,true,0.9999451199455787,-2.8336102618431447e-5,false
708304,learned_history,neutral,true,true,true,true,0.418272557686416,-0.18876696169166457,true
708304,learned_history,adverse,true,true,true,true,0.0010811053962942708,-7.226602511693596e-5,true
708305,invariant,neutral,true,true,true,true,0.6322501166416219,-0.10712222904784162,true
708305,learned_history,trustworthy,true,true,true,true,0.9989788030527709,-0.00045257093238804114,false
708305,learned_history,neutral,true,true,true,true,0.6322501166416219,-0.10712222904784162,false
708305,learned_history,adverse,true,true,true,true,0.06534189898729015,-0.0032213989395606345,true
708306,invariant,neutral,true,true,true,true,0.6326698083159457,-0.12044780519050652,true
708306,learned_history,trustworthy,true,true,true,true,0.999538031162301,-0.00020116403603220867,false
708306,learned_history,neutral,true,true,true,true,0.6326698083159457,-0.12044780519050652,false
708306,learned_history,adverse,true,true,true,true,0.00012313863632233495,-1.5085498796710284e-5,true
708307,invariant,neutral,true,true,true,true,0.6673229501692358,-0.40628144777389186,true
708307,learned_history,trustworthy,true,true,true,true,0.999875121466838,-5.430250163107608e-5,false
708307,learned_history,neutral,false,true,true,true,0.6673229501692358,-0.40628144777389186,false
708307,learned_history,adverse,true,true,true,true,0.0006524704152173348,-0.0002175340906049178,true
708308,invariant,neutral,true,true,true,true,0.18499014565845515,-0.20233749964659728,true
708308,learned_history,trustworthy,true,true,true,true,0.9992464401368911,-0.0003287051543421349,false
708308,learned_history,neutral,true,true,true,true,0.18499014565845515,-0.20233749964659728,true
708308,learned_history,adverse,true,true,true,true,9.0041509189182e-6,-0.00010007629989276269,true
708309,invariant,neutral,true,true,true,true,0.04757742484842608,-0.3149159195981628,true
708309,learned_history,trustworthy,true,true,true,true,0.9940636796936436,-0.0026584824128593754,false
708309,learned_history,neutral,false,true,true,true,0.04757742484842608,-0.3149159195981628,true
708309,learned_history,adverse,true,true,true,true,1.6484294567668448e-5,-2.207823105697046e-6,true
708310,invariant,neutral,true,true,true,true,0.24065714924223827,-0.4227640989967311,true
708310,learned_history,trustworthy,true,true,true,true,0.9999101146604006,-3.9066564569312234e-5,false
708310,learned_history,neutral,false,true,true,true,0.24065714924223827,-0.4227640989967311,true
708310,learned_history,adverse,true,true,true,true,0.0007148301824957085,-3.586200984712247e-5,true
708311,invariant,neutral,true,true,true,true,0.0024915034117771687,-0.20330740429397406,true
708311,learned_history,trustworthy,true,true,true,true,0.999863201094536,-5.9531798490164434e-5,false
708311,learned_history,neutral,true,true,true,true,0.0024915034117771687,-0.20330740429397406,true
708311,learned_history,adverse,true,true,true,true,1.9739043808669413e-6,-6.001875973012452e-5,true
708312,invariant,neutral,true,true,true,true,0.779731279216499,-0.14685656051122267,true
708312,learned_history,trustworthy,true,true,true,true,0.9999053463929151,-4.1271859724467674e-5,false
708312,learned_history,neutral,true,true,true,true,0.779731279216499,-0.14685656051122267,false
708312,learned_history,adverse,true,true,true,true,0.00046508018163108776,-2.2120831081960668e-5,true
708313,invariant,neutral,true,true,true,true,0.14314725309511417,-0.07054804850182078,true
708313,learned_history,trustworthy,true,true,true,true,0.9956345918716873,-0.0019395292588468838,false
708313,learned_history,neutral,false,true,true,true,0.14314725309511417,-0.07054804850182078,true
708313,learned_history,adverse,true,true,true,true,1.3668987967414552e-5,-1.5466121046931597e-6,true
708314,invariant,neutral,true,true,true,true,0.5024921061717798,-0.2664669661937344,true
708314,learned_history,trustworthy,true,true,true,true,0.9999979259703253,-9.010447558077672e-7,false
708314,learned_history,neutral,false,true,true,true,0.5024921061717798,-0.2664669661937344,false
708314,learned_history,adverse,true,true,true,true,1.3687956721433977e-5,-2.2397155965293153e-6,true
708315,invariant,neutral,true,true,true,true,0.4886537051352734,-0.16954234848456315,true
708315,learned_history,trustworthy,true,true,true,true,0.999990995849081,-3.913050927617512e-6,false
708315,learned_history,neutral,false,true,true,true,0.4886537051352734,-0.16954234848456315,true
708315,learned_history,adverse,true,true,true,true,9.303420940975057e-5,-8.849453426893264e-6,true
708316,invariant,neutral,true,true,true,true,0.9999268617123463,-7.994334432581685e-5,true
708316,learned_history,trustworthy,true,true,true,true,0.9999900692956254,-4.3147079881178385e-6,false
708316,learned_history,neutral,true,true,true,true,0.9999268617123463,-7.994334432581685e-5,false
708316,learned_history,adverse,true,true,true,true,0.0007077926287964763,-3.839075946643171e-5,true
708317,invariant,neutral,true,true,true,true,0.28970731273051575,-0.1629953128519041,true
708317,learned_history,trustworthy,true,true,true,true,0.9968752972380857,-0.0013793563045896295,false
708317,learned_history,neutral,false,true,true,true,0.28970731273051575,-0.1629953128519041,true
708317,learned_history,adverse,true,true,true,true,0.00013683896840511572,-8.611769775639447e-6,true
