domain_index,positive_history_fraction,low_stakes_permission,high_stakes_permission,stakes_separated,permission_posterior_flat,shared_routes_unchanged,untreated_context_unchanged,locality_holds,property_holds,provenance_events
0,0.0,0.586617579462949,0.015519756681541413,true,true,true,true,true,true,315
1,0.01,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
2,0.02,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
3,0.03,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
4,0.04,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
5,0.05,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
6,0.06,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
7,0.07,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
8,0.08,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
9,0.09,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
10,0.1,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
11,0.11,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
12,0.12,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
13,0.13,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
14,0.14,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
15,0.15,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
16,0.16,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
17,0.17,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
18,0.18,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
19,0.19,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
20,0.2,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
21,0.21,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
22,0.22,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
23,0.23,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
24,0.24,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
25,0.25,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
26,0.26,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
27,0.27,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
28,0.28,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
29,0.29,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
30,0.3,0.5866175808597341,0.015519756945560712,true,true,true,true,true,true,315
31,0.31,0.5866175858031961,0.015519757879970333,true,true,true,true,true,true,315
32,0.32,0.5866176331997821,0.015519766838842028,true,true,true,true,true,true,315
33,0.33,0.5866180167114027,0.015519839330156106,true,true,true,true,true,true,315
