seed,status,prospection_failure,organism_changed,reason_code
712457,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712458,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712459,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712460,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712461,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712462,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712463,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712464,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712465,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712466,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712467,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712468,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712469,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712470,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712471,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712472,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712473,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712474,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712475,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712476,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712477,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712478,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712479,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712480,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712481,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712482,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712483,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712484,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712485,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712486,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712487,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712488,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712489,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712490,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712491,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712492,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712493,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712494,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712495,not_evaluable,true,false,no_endogenous_broadcast_depth_path
712496,not_evaluable,true,false,no_endogenous_broadcast_depth_path
