lesion,signature,assay,predicted,metric,interval_low,interval_high,auxiliary_rate,auxiliary_interval_low,auxiliary_interval_high,observed_survival,prediction_hit,finite,decision_rule
reference,"S1",1,reference,1.0,0.8668035060468213,1.0,nothing,nothing,nothing,true,true,true,"exact agreement = 1.0"
reference,"S2",2,reference,0.43922454444824066,0.010696548933423568,0.8731649753043336,nothing,nothing,nothing,true,true,true,"mean absolute effect ≥ 0.15"
reference,"S3",3,reference,1.0,0.9842455102000642,1.0,nothing,nothing,nothing,true,true,true,"balanced accuracy ≥ 0.9"
reference,"S4",4,reference,0.31656051391032697,0.24432912150035618,0.38879190632029775,0.7916666666666666,0.5952915551476452,0.9075531089521192,false,true,true,"conditional mean ≥ 0.1 and rate ≥ 0.80"
reference,"S5",5,reference,0.4431348187868446,0.3632370430735648,0.5230325945001244,nothing,nothing,nothing,true,true,true,"difference-in-differences ≥ 0.1"
reference,"S6",6,reference,0.99,0.9710159953649371,0.9965934432372818,nothing,nothing,nothing,true,true,true,"macro diagonal ≥ 0.7"
reference,"S7",7,reference,0.14583333333333331,0.11179402267002603,0.1798726439966406,nothing,nothing,nothing,true,true,true,"paired advantage ≥ 0.1"
reference,"S8",8,reference,0.33440358810951526,0.33440358810951526,0.33440358810951526,nothing,nothing,nothing,true,true,true,"mean paired change ≥ 0.1"
reference,"S9",9,reference,0.7055555555555556,0.6352330894336574,0.7672873411979299,nothing,nothing,nothing,true,true,true,"macro learned-history recovery ≥ 0.7"
reference,"S10",10,reference,1.0,1.0,1.0,nothing,nothing,nothing,true,true,true,"mean interaction ≥ 0.25"
context_split_unavailable,"S1",1,survive,1.0,0.8668035060468213,1.0,nothing,nothing,nothing,true,true,true,"exact agreement = 1.0"
context_split_unavailable,"S2",2,survive,0.43922454444824066,0.010696548933423568,0.8731649753043336,nothing,nothing,nothing,true,true,true,"mean absolute effect ≥ 0.15"
context_split_unavailable,"S3",3,survive,1.0,0.9842455102000642,1.0,nothing,nothing,nothing,true,true,true,"balanced accuracy ≥ 0.9"
context_split_unavailable,"S4",4,disappear,-0.1996245445046561,-0.1996245445046561,-0.1996245445046561,0.0,0.0,0.7934567085261071,false,true,true,"conditional mean ≥ 0.1 and rate ≥ 0.80"
context_split_unavailable,"S5",5,survive,0.4431348187868446,0.3632370430735648,0.5230325945001244,nothing,nothing,nothing,true,true,true,"difference-in-differences ≥ 0.1"
context_split_unavailable,"S6",6,disappear,0.79,0.7403879054849664,0.832278905116347,nothing,nothing,nothing,true,false,true,"macro diagonal ≥ 0.7"
context_split_unavailable,"S7",7,survive,0.14583333333333331,0.11179402267002603,0.1798726439966406,nothing,nothing,nothing,true,true,true,"paired advantage ≥ 0.1"
context_split_unavailable,"S8",8,survive,0.33440358810951526,0.33440358810951526,0.33440358810951526,nothing,nothing,nothing,true,true,true,"mean paired change ≥ 0.1"
context_split_unavailable,"S9",9,survive,0.7055555555555556,0.6352330894336574,0.7672873411979299,nothing,nothing,nothing,true,true,true,"macro learned-history recovery ≥ 0.7"
context_split_unavailable,"S10",10,survive,1.0,1.0,1.0,nothing,nothing,nothing,true,true,true,"mean interaction ≥ 0.25"
field_scalar,"S1",1,survive,1.0,0.8668035060468213,1.0,nothing,nothing,nothing,true,true,true,"exact agreement = 1.0"
field_scalar,"S2",2,survive,0.43922454444824066,0.010696548933423568,0.8731649753043336,nothing,nothing,nothing,true,true,true,"mean absolute effect ≥ 0.15"
field_scalar,"S3",3,disappear,0.75,0.691568446042421,0.8005543090576113,nothing,nothing,nothing,false,true,true,"balanced accuracy ≥ 0.9"
field_scalar,"S4",4,survive,0.31656051391032697,0.24432912150035618,0.38879190632029775,0.7916666666666666,0.5952915551476452,0.9075531089521192,false,false,true,"conditional mean ≥ 0.1 and rate ≥ 0.80"
field_scalar,"S5",5,disappear,-0.009614445371767194,-0.015096567103531959,-0.004132323640002431,nothing,nothing,nothing,false,true,true,"difference-in-differences ≥ 0.1"
field_scalar,"S6",6,survive,0.99,0.9710159953649371,0.9965934432372818,nothing,nothing,nothing,true,true,true,"macro diagonal ≥ 0.7"
field_scalar,"S7",7,survive,0.14583333333333331,0.11179402267002603,0.1798726439966406,nothing,nothing,nothing,true,true,true,"paired advantage ≥ 0.1"
field_scalar,"S8",8,survive,0.33440358810951526,0.33440358810951526,0.33440358810951526,nothing,nothing,nothing,true,true,true,"mean paired change ≥ 0.1"
field_scalar,"S9",9,survive,0.7055555555555556,0.6352330894336574,0.7672873411979299,nothing,nothing,nothing,true,true,true,"macro learned-history recovery ≥ 0.7"
field_scalar,"S10",10,survive,1.0,1.0,1.0,nothing,nothing,nothing,true,true,true,"mean interaction ≥ 0.25"
registration_removed,"S1",1,survive,1.0,0.8668035060468213,1.0,nothing,nothing,nothing,true,true,true,"exact agreement = 1.0"
registration_removed,"S2",2,survive,0.43922454444824066,0.010696548933423568,0.8731649753043336,nothing,nothing,nothing,true,true,true,"mean absolute effect ≥ 0.15"
registration_removed,"S3",3,survive,1.0,0.9842455102000642,1.0,nothing,nothing,nothing,true,true,true,"balanced accuracy ≥ 0.9"
registration_removed,"S4",4,survive,0.31656051391032697,0.24432912150035618,0.38879190632029775,0.7916666666666666,0.5952915551476452,0.9075531089521192,false,false,true,"conditional mean ≥ 0.1 and rate ≥ 0.80"
registration_removed,"S5",5,survive,0.4431348187868446,0.3632370430735648,0.5230325945001244,nothing,nothing,nothing,true,true,true,"difference-in-differences ≥ 0.1"
