assay,byte_identical,direct_sha256,harness_sha256
1,true,"e92a85c5af386dbae78ae7f08c15fb117f105dfd388752c8b6af8c32205c578a","e92a85c5af386dbae78ae7f08c15fb117f105dfd388752c8b6af8c32205c578a"
2,true,"c93495d310d2caa99aea47f4c3952181aef9e800a4031c55dbf6c4a25d7d6bed","c93495d310d2caa99aea47f4c3952181aef9e800a4031c55dbf6c4a25d7d6bed"
3,true,"9b66ad5528ff89d0027af963bff84400219c17cbac17d87aba8edbcd7f075bed","9b66ad5528ff89d0027af963bff84400219c17cbac17d87aba8edbcd7f075bed"
4,true,"bf306cff33ae77f8225f4d2b19893e43aa69de815e03c2f21e7717bb092d4b50","bf306cff33ae77f8225f4d2b19893e43aa69de815e03c2f21e7717bb092d4b50"
5,true,"ed58771ae3f0c293a5de70b9020471039e0e6b940df9df429a7df5c8cd7efa76","ed58771ae3f0c293a5de70b9020471039e0e6b940df9df429a7df5c8cd7efa76"
6,true,"4774c079330ca24dae450e922c30500f7a28ba7a491a099f4dba56965b99da3e","4774c079330ca24dae450e922c30500f7a28ba7a491a099f4dba56965b99da3e"
7,true,"ab1b956f0517ade3044743582013a7326eb3cdb94ac1c74e8a5a84d7ad13335e","ab1b956f0517ade3044743582013a7326eb3cdb94ac1c74e8a5a84d7ad13335e"
8,true,"4acb6bde98b4a95dd2f6e6d4baceb7e1d0e49ce2f5728bf7ea8b16f706f9e289","4acb6bde98b4a95dd2f6e6d4baceb7e1d0e49ce2f5728bf7ea8b16f706f9e289"
9,true,"5a56f615b2bd89f88bf2ec577636d565b11635c29991b914b1f1a1afe4b50a51","5a56f615b2bd89f88bf2ec577636d565b11635c29991b914b1f1a1afe4b50a51"
10,true,"2d6db5f607c710f2192e25c19252f2f1d8b392396b9854eaeadb6ededb346653","2d6db5f607c710f2192e25c19252f2f1d8b392396b9854eaeadb6ededb346653"
