constant,resolved,material_signature_count,affected_signatures,affected_cluster_count,crosses_clusters,paired_noncausal
avoidance_cost,true,0,"",0,false,false
bayes_reliability,true,2,"S2;S5",2,true,false
competence_risk_weight,true,0,"",0,false,false
context_complexity_penalty,true,0,"",0,false,false
context_transition_mix,true,0,"",0,false,false
dyad_learning_rate,true,0,"",0,false,false
dyad_packet_mass,true,0,"",0,false,false
dyad_regulated_floor,true,0,"",0,false,false
dyad_regulated_span,true,0,"",0,false,false
field_broadcast_mix,true,0,"",0,false,false
field_context_precision,true,0,"",0,false,false
field_learning_rate,true,0,"",0,false,false
field_narrowing_strength,true,0,"",0,false,false
field_part_precision,true,0,"",0,false,false
field_relational_precision,true,0,"",0,false,false
freeze_low_control_boundary,true,0,"",0,false,false
freeze_no_control_attenuation,true,0,"",0,false,false
freeze_overwhelm_boundary,true,0,"",0,false,false
freeze_write_precision,true,0,"",0,false,false
history_cost_sd,true,0,"",0,false,false
history_favorable_cost,true,0,"",0,false,false
history_favorable_success,true,0,"",0,false,false
history_learning_rate,true,2,"S2;S5",2,true,false
history_root_positive_rate,true,1,"S4",1,false,false
history_unfavorable_cost,true,0,"",0,false,false
history_unfavorable_success,true,0,"",0,false,false
hope_value,true,0,"",0,false,false
imaginal_floor,true,1,"S7",1,false,false
imaginal_span,true,1,"S7",1,false,false
outcome_risk_weight,true,0,"",0,false,false
partner_adverse_probability,true,0,"",0,false,false
partner_neutral_probability,true,0,"",0,false,false
partner_risk_weight,true,0,"",0,false,false
partner_trustworthy_probability,true,0,"",0,false,false
permission_temperature,true,0,"",0,false,false
policy_failure_cost,true,0,"",0,false,false
probability_guard,true,0,"",0,false,false
refusal_cost,true,0,"",0,false,false
registration_increment,true,0,"",0,false,false
rng_history_offset,false,0,"",0,false,true
root_evidence_weight,true,2,"S2;S5",2,true,false
training_events,true,2,"S2;S5",2,true,false
