draw_seed,survived_signatures,joint_survival
713204,9,true
713205,10,true
713206,10,true
713207,10,true
713208,10,true
713209,10,true
713210,10,true
713211,10,true
713212,10,true
713213,10,true
713214,10,true
713215,10,true
713216,10,true
713217,10,true
713218,10,true
713219,10,true
713220,10,true
713221,10,true
713222,10,true
713223,10,true
713224,10,true
713225,9,true
713226,9,true
713227,10,true
713228,10,true
713229,10,true
713230,10,true
713231,10,true
713232,10,true
713233,10,true
713234,10,true
713235,10,true
713236,9,true
713237,10,true
713238,10,true
713239,9,true
713240,10,true
713241,10,true
713242,9,true
713243,9,true
713244,10,true
713245,10,true
713246,9,true
713247,10,true
713248,10,true
713249,9,true
713250,10,true
713251,9,true
713252,10,true
713253,10,true
713254,10,true
713255,10,true
713256,10,true
713257,10,true
713258,9,true
713259,10,true
713260,10,true
713261,10,true
713262,9,true
713263,10,true
713264,9,true
713265,10,true
713266,9,true
713267,10,true
713268,10,true
713269,10,true
713270,10,true
713271,10,true
713272,10,true
713273,10,true
713274,10,true
713275,10,true
713276,10,true
713277,10,true
713278,10,true
713279,10,true
713280,10,true
713281,10,true
713282,9,true
713283,10,true
