signature,successes,draws,survival_volume,interval_low,interval_high,robust_at_0_60
"S1",80,80,1.0,0.954180263735425,1.0,true
"S2",80,80,1.0,0.954180263735425,1.0,true
"S3",80,80,1.0,0.954180263735425,1.0,true
"S4",79,80,0.9875,0.9325356757603457,0.9977900813816939,true
"S5",80,80,1.0,0.954180263735425,1.0,true
"S6",80,80,1.0,0.954180263735425,1.0,true
"S7",80,80,1.0,0.954180263735425,1.0,true
"S8",80,80,1.0,0.954180263735425,1.0,true
"S9",66,80,0.825,0.7274225612441251,0.8927946101839012,true
"S10",80,80,1.0,0.954180263735425,1.0,true
