bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.4,0.02,0.02,0.9999997643451893,0.0748503816527215,1.0204287234108821e-7,self
0.8,0.4,0.02,0.116,0.9999997624018253,0.07485038214032087,1.0288438479949224e-7,self
0.8,0.4,0.02,0.212,0.9999997587606864,0.07485038305390011,1.0446106512185782e-7,self
0.8,0.4,0.02,0.308,0.9999997534820977,0.07485038437832338,1.0674679137944659e-7,self
0.8,0.4,0.02,0.404,0.9999997466184872,0.07485038610043629,1.097188613152024e-7,self
0.8,0.4,0.02,0.5,0.9999997381876116,0.07485038821578355,1.1336958597590968e-7,self
0.8,0.4,0.02,0.596,0.9999997281504226,0.07485039073416272,1.1771587397730895e-7,self
0.8,0.4,0.02,0.692,0.999999716457391,0.07485039366800088,1.2277917236278443e-7,self
0.8,0.4,0.02,0.788,0.9999997030011117,0.07485039704424672,1.2860598963505236e-7,self
0.8,0.4,0.02,0.884,0.9999996876389929,0.0748504008986771,1.3525807059937925e-7,self
0.8,0.4,0.02,0.98,0.9999996702175165,0.07485040526981071,1.4280189152845264e-7,self
0.8,0.4,0.116,0.02,0.9999997890715528,0.07485037544875886,9.133590104813601e-8,self
0.8,0.4,0.116,0.116,0.999999788841806,0.07485037550640346,9.143538569398794e-8,self
0.8,0.4,0.116,0.212,0.9999997872877254,0.07485037589632959,9.210833118904722e-8,self
0.8,0.4,0.116,0.308,0.999999783703056,0.07485037679574026,9.366055915702325e-8,self
0.8,0.4,0.116,0.404,0.9999997782991443,0.07485037815160746,9.600055252575218e-8,self
0.8,0.4,0.116,0.5,0.9999997712306663,0.0748503799251224,9.906133384787136e-8,self
0.8,0.4,0.116,0.596,0.9999997625720852,0.0748503820976019,1.0281065913291523e-7,self
0.8,0.4,0.116,0.692,0.9999997523261397,0.07485038466835876,1.0724734250608243e-7,self
0.8,0.4,0.116,0.788,0.9999997404462492,0.0748503876490805,1.1239155423431397e-7,self
0.8,0.4,0.116,0.884,0.9999997268677623,0.07485039105598834,1.1827128953880886e-7,self
0.8,0.4,0.116,0.98,0.9999997114508622,0.0748503949241633,1.2494709176055747e-7,self
0.8,0.4,0.212,0.02,0.9999998119778097,0.07485036970147016,8.141706959470942e-8,self
