class,depth,capture,n,max_residual,bundle_strength,volatility_sensitivity,self_exists,capture_exists,self_basin_fraction,capture_basin_fraction
self,0.999999867236388,0.07485035583683679,121,1.4280189152845264e-7,0.8,0.4,true,false,1.0,0.0
self,0.999999858089704,0.07530037034375378,121,1.7905928260283672e-7,0.8,0.7,true,false,1.0,0.0
self,0.99999984272531,0.07575119757743379,121,2.54933435564915e-7,0.8,1.0,true,false,1.0,0.0
self,0.9999998106217182,0.0762028372353328,121,4.6963610341997255e-7,0.8,1.3,true,false,1.0,0.0
self,0.9999996354554403,0.07665531877094117,121,2.6977576788388377e-6,0.8,1.6,true,false,1.0,0.0
self,0.9999998639022876,0.10010928455516824,121,1.5867382446561264e-7,1.1,0.4,true,false,1.0,0.0
self,0.99999985073881,0.10069463301843434,121,2.1623160553826919e-7,1.1,0.7,true,false,1.0,0.0
self,0.9999998245462567,0.10128084825468422,121,3.723391421580082e-7,1.1,1.0,true,false,1.0,0.0
self,0.9999997330946555,0.10186794278432779,121,1.2999681996020498e-6,1.1,1.3,true,false,1.0,0.0
self,0.9999996024449347,0.10245590339966894,113,4.069805362470961e-6,1.1,1.6,true,true,0.9338842975206612,0.06611570247933884
capture,2.7501421331731607e-8,0.7303246333625585,8,5.315845220729148e-8,1.1,1.6,true,true,0.9338842975206612,0.06611570247933884
self,0.9999998598089818,0.12402560528596544,121,1.778146106920932e-7,1.4,0.4,true,false,1.0,0.0
self,0.9999998409929873,0.12473141399586435,121,2.6719804825894414e-7,1.4,0.7,true,false,1.0,0.0
self,0.9999997948093391,0.1254380537912187,121,5.998229933624013e-7,1.4,1.0,true,false,1.0,0.0
self,0.9999991073322276,0.126145763321997,121,1.4150666859383216e-5,1.4,1.3,true,false,1.0,0.0
self,0.9999995499757056,0.12685382862410757,105,4.724371209331426e-6,1.4,1.6,true,true,0.8677685950413223,0.1322314049586777
capture,7.572337812733439e-8,0.7831912667658485,16,1.8647798924223914e-7,1.4,1.6,true,true,0.8677685950413223,0.1322314049586777
self,0.9999998547783215,0.1467035940364951,121,2.007769215204289e-7,1.7,0.4,true,false,1.0,0.0
self,0.999999827951934,0.14751672946990765,121,3.3818965115682904e-7,1.7,0.7,true,false,1.0,0.0
self,0.9999997412970898,0.14833059730379786,121,1.1051561178657443e-6,1.7,1.0,true,false,1.0,0.0
self,0.9999796517901676,0.1491543828072552,117,0.0007841599032786738,1.7,1.3,true,true,0.9669421487603306,0.03305785123966942
capture,3.385955167957262e-8,0.7927760980487314,4,6.982770828892289e-8,1.7,1.3,true,true,0.9669421487603306,0.03305785123966942
self,0.9999994873632722,0.1499604521432737,96,6.474337297522871e-6,1.7,1.6,true,true,0.7933884297520661,0.2066115702479339
capture,2.5956424061323714e-7,0.8193220489746019,25,1.4975964707922036e-6,1.7,1.6,true,true,0.7933884297520661,0.2066115702479339
self,0.9999998485988876,0.1682370010161387,121,2.2830860879459326e-7,2.0,0.4,true,false,1.0,0.0
self,0.9999998102597419,0.16914583674218184,121,4.3923719805704005e-7,2.0,0.7,true,false,1.0,0.0
self,0.9999996286022982,0.17005527929259057,121,2.480498336295892e-6,2.0,1.0,true,false,1.0,0.0
self,0.9999554070093131,0.1709880259013982,111,0.0021352360178112685,2.0,1.3,true,true,0.9173553719008265,0.08264462809917356
capture,1.4626384150730621e-7,0.8216737211211527,10,5.752010381668931e-7,2.0,1.3,true,true,0.9173553719008265,0.08264462809917356
self,0.9999995024277482,0.171875604540246,88,7.006713194055768e-6,2.0,1.6,true,true,0.7272727272727273,0.2727272727272727
capture,1.8037335209175567e-7,0.8453790215166768,33,8.674663814341462e-7,2.0,1.6,true,true,0.7272727272727273,0.2727272727272727
