bundle_strength,volatility_sensitivity,initial_depth,initial_capture,final_depth,final_capture,residual,class
0.8,0.4,0.02,0.02,0.9999997646968879,0.07485038156447868,1.0189058039073781e-7,self
0.8,0.4,0.02,0.116,0.9999997641773171,0.07485038169484146,1.0211556412705384e-7,self
0.8,0.4,0.02,0.212,0.9999997633760584,0.07485038189588113,1.0246252389369156e-7,self
0.8,0.4,0.02,0.308,0.9999997622464659,0.07485038217930128,1.0295165827555824e-7,self
0.8,0.4,0.02,0.404,0.9999997607795008,0.07485038254736988,1.0358688122838837e-7,self
0.8,0.4,0.02,0.5,0.9999997589897673,0.07485038299642258,1.0436186882804934e-7,self
0.8,0.4,0.02,0.596,0.9999997568950723,0.07485038352199166,1.0526891043953242e-7,self
0.8,0.4,0.02,0.692,0.999999754516606,0.07485038411876023,1.0629883016343314e-7,self
0.8,0.4,0.02,0.788,0.9999997518670949,0.07485038478353534,1.0744611737425159e-7,self
0.8,0.4,0.02,0.884,0.9999997489594737,0.0748503855130714,1.0870517093610307e-7,self
0.8,0.4,0.02,0.98,0.9999997458062496,0.07485038630423055,1.1007057516917976e-7,self
0.8,0.4,0.116,0.02,0.9999997890715528,0.07485037544875886,9.133590104813601e-8,self
0.8,0.4,0.116,0.116,0.9999997889842882,0.07485037547065392,9.13736882367197e-8,self
0.8,0.4,0.116,0.212,0.9999997886739262,0.0748503755485253,9.15080807160427e-8,self
0.8,0.4,0.116,0.308,0.999999788004879,0.07485037571639239,9.179779049453478e-8,self
0.8,0.4,0.116,0.404,0.9999997869154342,0.07485037598973926,9.226954015120231e-8,self
0.8,0.4,0.116,0.5,0.9999997854202815,0.07485037636488019,9.29169688599778e-8,self
0.8,0.4,0.116,0.596,0.9999997835560628,0.07485037683262159,9.372420993085484e-8,self
0.8,0.4,0.116,0.692,0.9999997813668242,0.07485037738191197,9.467219059251899e-8,self
0.8,0.4,0.116,0.788,0.999999778897152,0.07485037800156452,9.574160420103617e-8,self
0.8,0.4,0.116,0.884,0.9999997761707843,0.07485037868562316,9.692217166470732e-8,self
0.8,0.4,0.116,0.98,0.9999997732121186,0.0748503794279666,9.820332847482233e-8,self
0.8,0.4,0.212,0.02,0.9999998119778097,0.07485036970147016,8.141706959470942e-8,self
0.8,0.4,0.212,0.116,0.9999998119778097,0.07485036970147016,8.141706959470942e-8,self
0.8,0.4,0.212,0.212,0.9999998119778097,0.07485036970147016,8.141706959470942e-8,self
0.8,0.4,0.212,0.308,0.999999811964484,0.07485036970481372,8.142283991689507e-8,self
0.8,0.4,0.212,0.404,0.9999998115370171,0.07485036981206714,8.160794092929305e-8,self
0.8,0.4,0.212,0.5,0.9999998105291422,0.07485037006494769,8.204436931966586e-8,self
0.8,0.4,0.212,0.596,0.9999998090271592,0.07485037044180236,8.269475564102564e-8,self
0.8,0.4,0.212,0.692,0.9999998071195315,0.07485037092043519,8.352079359969736e-8,self
0.8,0.4,0.212,0.788,0.9999998048830161,0.07485037148158753,8.448924599896955e-8,self
0.8,0.4,0.212,0.884,0.9999998023672984,0.07485037211279306,8.557859815857136e-8,self
0.8,0.4,0.212,0.98,0.9999997996247849,0.07485037280090276,8.676615703722049e-8,self
0.8,0.4,0.308,0.02,0.999999834884066,0.07485036395418218,7.149823851751356e-8,self
0.8,0.4,0.308,0.116,0.999999834884066,0.07485036395418218,7.149823851751356e-8,self
0.8,0.4,0.308,0.212,0.999999834884066,0.07485036395418218,7.149823851751356e-8,self
0.8,0.4,0.308,0.308,0.999999834884066,0.07485036395418218,7.149823851751356e-8,self
0.8,0.4,0.308,0.404,0.999999834884066,0.07485036395418218,7.149823851751356e-8,self
0.8,0.4,0.308,0.5,0.9999998345490301,0.07485036403824431,7.164331525285815e-8,self
0.8,0.4,0.308,0.596,0.9999998335174444,0.074850364297074,7.209001085686811e-8,self
0.8,0.4,0.308,0.692,0.9999998319620134,0.07485036468733905,7.276354116302503e-8,self
0.8,0.4,0.308,0.788,0.9999998299965926,0.07485036518047236,7.361460454730889e-8,self
0.8,0.4,0.308,0.884,0.9999998277169637,0.07485036575244203,7.460172588070582e-8,self
0.8,0.4,0.308,0.98,0.9999998251903136,0.07485036638639042,7.569581192808889e-8,self
0.8,0.4,0.404,0.02,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.116,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.212,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.308,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.404,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.5,0.9999998577903227,0.07485035820689474,6.15794073617691e-8,self
0.8,0.4,0.404,0.596,0.9999998572868369,0.07485035833322175,6.179742600718e-8,self
0.8,0.4,0.404,0.692,0.9999998561033365,0.07485035863016751,6.230990347435891e-8,self
0.8,0.4,0.404,0.788,0.9999998544278825,0.07485035905054681,6.303540591979458e-8,self
0.8,0.4,0.404,0.884,0.9999998523856011,0.07485035956296479,6.391975140762879e-8,self
0.8,0.4,0.404,0.98,0.9999998500791325,0.07485036014166857,6.491849478574386e-8,self
0.8,0.4,0.5,0.02,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.116,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.212,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.308,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.404,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.5,0.9999998806965796,0.07485035245960789,5.166057627731466e-8,self
0.8,0.4,0.5,0.596,0.9999998805848951,0.07485035248763007,5.1708937739755146e-8,self
0.8,0.4,0.5,0.692,0.9999998797694072,0.0748503526922398,5.20620590263523e-8,self
0.8,0.4,0.5,0.788,0.9999998783695256,0.07485035304347658,5.266823350218065e-8,self
0.8,0.4,0.5,0.884,0.9999998765538536,0.07485035349903718,5.345445294379065e-8,self
0.8,0.4,0.5,0.98,0.9999998744362623,0.07485035403035065,5.437140896169507e-8,self
0.8,0.4,0.596,0.02,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.116,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.212,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.308,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.404,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.5,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.596,0.9999999036028363,0.07485034671232166,4.1741745399832684e-8,self
0.8,0.4,0.596,0.692,0.9999999031212191,0.07485034683316169,4.195029451971062e-8,self
0.8,0.4,0.596,0.788,0.9999999019684769,0.07485034712239003,4.2449453122284744e-8,self
0.8,0.4,0.596,0.884,0.9999999003483959,0.07485034752887582,4.315097799177286e-8,self
0.8,0.4,0.596,0.98,0.9999998984018866,0.07485034801726406,4.3993852355549626e-8,self
0.8,0.4,0.692,0.02,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.116,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.212,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
0.8,0.4,0.692,0.308,0.9999999265090929,0.074850340965036,3.1822914676327835e-8,self
