class,depth,capture,n,max_residual,bundle_strength,volatility_sensitivity,self_exists,capture_exists,self_basin_fraction,capture_basin_fraction
self,0.9999998782986815,0.07485035306125495,121,1.1007057516917976e-7,0.8,0.4,true,false,1.0,0.0
self,0.9999998738625033,0.0753003663644268,121,1.2403995145325752e-7,0.8,0.7,true,false,1.0,0.0
self,0.9999998668675963,0.07575119145308461,121,1.4779933037462488e-7,0.8,1.0,true,false,1.0,0.0
self,0.9999998555964796,0.07620282576383722,121,1.9435972022386032e-7,0.8,1.3,true,false,1.0,0.0
self,0.9999998341904418,0.07665526780421675,121,3.2136378701212664e-7,0.8,1.6,true,false,1.0,0.0
self,0.9999998779385081,0.10010927997356656,121,1.137542632362216e-7,1.1,0.4,true,false,1.0,0.0
self,0.9999998725610623,0.10069462585838256,121,1.3124400264339573e-7,1.1,0.7,true,false,1.0,0.0
self,0.9999998635328765,0.1012808353967813,121,1.6331485405066393e-7,1.1,1.0,true,false,1.0,0.0
self,0.999999847499264,0.10186790485934344,121,2.350548164803792e-7,1.1,1.3,true,false,1.0,0.0
self,0.999999809845646,0.10245583429450636,121,5.058080396633475e-7,1.1,1.6,true,false,1.0,0.0
self,0.9999998775603333,0.12402559829821791,121,1.1768749185540278e-7,1.4,0.4,true,false,1.0,0.0
self,0.9999998711366122,0.12473140207203477,121,1.3901554031401126e-7,1.4,0.7,true,false,1.0,0.0
self,0.9999998596953948,0.12543802799983564,121,1.8090347910443202e-7,1.4,1.0,true,false,1.0,0.0
self,0.9999998372948699,0.12614547176016744,121,2.8761765292365505e-7,1.4,1.3,true,false,1.0,0.0
self,0.9999997694707338,0.12685374053464885,121,8.780011637472982e-7,1.4,1.6,true,false,1.0,0.0
self,0.9999998771620873,0.14670358388390523,121,1.217458237130149e-7,1.7,0.4,true,false,1.0,0.0
self,0.9999998695776621,0.14751671050319293,121,1.4724657467101472e-7,1.7,0.7,true,false,1.0,0.0
self,0.9999998552835276,0.14833054512925586,121,2.0067681476413696e-7,1.7,1.0,true,false,1.0,0.0
self,0.9999998243832422,0.14914508388443334,121,3.557608928577628e-7,1.7,1.3,true,false,1.0,0.0
self,0.999999695983422,0.14996035578562755,121,1.7271117447811304e-6,1.7,1.6,true,false,1.0,0.0
self,0.9999998767423908,0.168236986746851,121,1.2584085860398493e-7,2.0,0.4,true,false,1.0,0.0
self,0.9999998678697511,0.1691458074071055,121,1.558656545113584e-7,2.0,0.7,true,false,1.0,0.0
self,0.9999998502143721,0.1700551659646023,121,2.2281245505941908e-7,2.0,1.0,true,false,1.0,0.0
self,0.9999998079409916,0.170965060594276,121,4.44804466614328e-7,2.0,1.3,true,false,1.0,0.0
self,0.9999995423389083,0.17187558395555044,121,4.014272748655106e-6,2.0,1.6,true,false,1.0,0.0
