beta,gamma,safety_prior_mass,bistable,self_basin_fraction,capture_basin_fraction,mixed_or_unconverged_fraction,max_residual
0.35,0.4,0.2,false,0.0,0.7901234567901234,0.2098765432098766,0.0006002561434291049
0.7,0.4,0.2,false,0.0,0.5555555555555556,0.4444444444444444,0.008175169315297636
1.05,0.4,0.2,true,0.6049382716049383,0.38271604938271603,0.012345679012345734,0.034012308204529586
1.4,0.4,0.2,true,0.7160493827160493,0.2839506172839506,0.0,0.00037795836518297253
1.75,0.4,0.2,true,0.7777777777777778,0.2222222222222222,0.0,6.643519611692977e-5
0.35,0.825,0.2,false,0.0,0.5061728395061729,0.49382716049382713,0.004167921634008152
0.7,0.825,0.2,true,0.6296296296296297,0.35802469135802467,0.012345679012345734,0.0586634920338992
1.05,0.825,0.2,true,0.7283950617283951,0.2716049382716049,0.0,0.00011320108458806397
1.4,0.825,0.2,true,0.7901234567901234,0.20987654320987653,0.0,3.0761186505821474e-5
1.75,0.825,0.2,true,0.8395061728395061,0.16049382716049382,0.0,3.835358553439105e-5
0.35,1.25,0.2,true,0.6790123456790124,0.32098765432098764,0.0,0.0011411124795847607
0.7,1.25,0.2,true,0.7407407407407407,0.25925925925925924,0.0,3.140167912049134e-5
1.05,1.25,0.2,true,0.8024691358024691,0.19753086419753085,0.0,0.0019215299017234387
1.4,1.25,0.2,true,0.8395061728395061,0.16049382716049382,0.0,9.30827862383543e-6
1.75,1.25,0.2,true,0.8518518518518519,0.14814814814814814,0.0,4.933223082911415e-6
0.35,1.675,0.2,true,0.7530864197530864,0.24691358024691357,0.0,0.0009440904495616377
0.7,1.675,0.2,true,0.8024691358024691,0.19753086419753085,0.0,3.197701173061409e-5
1.05,1.675,0.2,true,0.8395061728395061,0.16049382716049382,0.0,1.0530885685617714e-5
1.4,1.675,0.2,true,0.8518518518518519,0.14814814814814814,0.0,3.3579831980996027e-6
1.75,1.675,0.2,true,0.8765432098765432,0.12345679012345678,0.0,4.588933906235364e-6
0.35,2.1,0.2,true,0.8024691358024691,0.19753086419753085,0.0,1.4586760130094494e-5
0.7,2.1,0.2,true,0.8518518518518519,0.14814814814814814,0.0,5.295286872512564e-5
1.05,2.1,0.2,true,0.8518518518518519,0.14814814814814814,0.0,1.2944809953800484e-5
1.4,2.1,0.2,true,0.8765432098765432,0.12345679012345678,0.0,3.0629529304388527e-6
1.75,2.1,0.2,true,0.9012345679012346,0.09876543209876543,0.0,3.994320860020222e-6
0.35,0.4,0.4,false,0.0,0.6419753086419753,0.3580246913580247,0.02611520892667452
0.7,0.4,0.4,false,0.0,0.35802469135802467,0.6419753086419753,0.06291220655642692
1.05,0.4,0.4,true,0.7777777777777778,0.20987654320987653,0.012345679012345734,0.0069794869704773435
1.4,0.4,0.4,true,0.8518518518518519,0.14814814814814814,0.0,0.0003225335833898194
1.75,0.4,0.4,true,0.8888888888888888,0.1111111111111111,0.0,0.00041283115577073876
0.35,0.825,0.4,false,0.0,0.32098765432098764,0.6790123456790124,0.010630053121326302
0.7,0.825,0.4,true,0.7901234567901234,0.19753086419753085,0.012345679012345734,0.01682235580886133
1.05,0.825,0.4,true,0.8518518518518519,0.14814814814814814,0.0,3.912417570942262e-5
1.4,0.825,0.4,true,0.8888888888888888,0.1111111111111111,0.0,4.7888933723054854e-5
1.75,0.825,0.4,true,0.9012345679012346,0.09876543209876543,0.0,9.95924511775558e-5
0.35,1.25,0.4,true,0.8148148148148148,0.18518518518518517,0.0,0.00453664536898733
0.7,1.25,0.4,true,0.8518518518518519,0.13580246913580246,0.012345679012345734,0.15436780916615422
1.05,1.25,0.4,true,0.8888888888888888,0.1111111111111111,0.0,1.6743498292444804e-5
1.4,1.25,0.4,true,0.9012345679012346,0.09876543209876543,0.0,0.0036515232676399114
1.75,1.25,0.4,true,0.9259259259259259,0.07407407407407407,0.0,7.752991624510755e-6
0.35,1.675,0.4,true,0.8765432098765432,0.12345679012345678,0.0,0.00033471312258915914
0.7,1.675,0.4,true,0.8888888888888888,0.1111111111111111,0.0,8.39343528378284e-6
1.05,1.675,0.4,true,0.9259259259259259,0.07407407407407407,0.0,0.0003856910032321897
1.4,1.675,0.4,true,0.9259259259259259,0.07407407407407407,0.0,5.54994312708626e-6
1.75,1.675,0.4,true,0.9259259259259259,0.07407407407407407,0.0,2.0520408304380813e-6
0.35,2.1,0.4,true,0.8888888888888888,0.1111111111111111,0.0,5.051174212782201e-6
0.7,2.1,0.4,true,0.9259259259259259,0.07407407407407407,0.0,4.4508317105832506e-5
1.05,2.1,0.4,true,0.9259259259259259,0.07407407407407407,0.0,4.210564117000762e-6
1.4,2.1,0.4,true,0.9259259259259259,0.07407407407407407,0.0,1.7751901603648214e-6
1.75,2.1,0.4,true,0.9259259259259259,0.07407407407407407,0.0,1.0623562646404032e-6
0.35,0.4,0.6,false,0.0,0.2716049382716049,0.7283950617283951,0.03579634388524428
0.7,0.4,0.6,false,0.0,0.09876543209876543,0.9012345679012346,0.015156410745022813
1.05,0.4,0.6,true,0.9259259259259259,0.06172839506172839,0.012345679012345734,0.017158666735034005
1.4,0.4,0.6,true,0.9382716049382716,0.04938271604938271,0.012345679012345734,0.005775841180077567
1.75,0.4,0.6,true,0.9506172839506173,0.04938271604938271,0.0,4.2343837390357594e-5
0.35,0.825,0.6,false,0.0,0.09876543209876543,0.9012345679012346,0.0774676016725228
0.7,0.825,0.6,true,0.9259259259259259,0.06172839506172839,0.012345679012345734,0.04147894340414324
1.05,0.825,0.6,true,0.9506172839506173,0.04938271604938271,0.0,0.000946317575887656
1.4,0.825,0.6,true,0.9506172839506173,0.037037037037037035,0.012345679012345734,0.013872367734422934
1.75,0.825,0.6,true,0.9629629629629629,0.037037037037037035,0.0,5.253184470111153e-5
0.35,1.25,0.6,true,0.9382716049382716,0.06172839506172839,0.0,0.003589661566187338
0.7,1.25,0.6,true,0.9506172839506173,0.04938271604938271,0.0,0.0002907501822158183
1.05,1.25,0.6,true,0.9629629629629629,0.037037037037037035,0.0,0.001192422049975678
1.4,1.25,0.6,true,0.9629629629629629,0.037037037037037035,0.0,3.318253732857481e-5
1.75,1.25,0.6,true,0.9629629629629629,0.037037037037037035,0.0,7.922372137615296e-6
0.35,1.675,0.6,true,0.9506172839506173,0.04938271604938271,0.0,0.0001220632850766388
0.7,1.675,0.6,true,0.9629629629629629,0.037037037037037035,0.0,0.0003389231711719725
1.05,1.675,0.6,true,0.9629629629629629,0.037037037037037035,0.0,2.2507026199148773e-5
1.4,1.675,0.6,true,0.9629629629629629,0.037037037037037035,0.0,6.379430644696016e-6
1.75,1.675,0.6,true,0.9753086419753086,0.024691358024691357,0.0,0.00011692723416825315
0.35,2.1,0.6,true,0.9629629629629629,0.037037037037037035,0.0,0.0001439575084876717
0.7,2.1,0.6,true,0.9629629629629629,0.037037037037037035,0.0,1.610408784565234e-5
1.05,2.1,0.6,true,0.9629629629629629,0.037037037037037035,0.0,5.2478602668387e-6
1.4,2.1,0.6,true,0.9753086419753086,0.024691358024691357,0.0,6.37460194639694e-5
1.75,2.1,0.6,true,0.9753086419753086,0.024691358024691357,0.0,1.3550140351223855e-5
0.35,0.4,0.8,false,0.0,0.0,1.0,0.0580160783016417
0.7,0.4,0.8,false,0.0,0.0,1.0,0.0014490008637599292
1.05,0.4,0.8,false,1.0,0.0,0.0,0.00016391503320870208
1.4,0.4,0.8,false,1.0,0.0,0.0,5.0274527975892044e-5
1.75,0.4,0.8,false,1.0,0.0,0.0,2.3246674594726865e-5
0.35,0.825,0.8,false,0.0,0.0,1.0,0.0007817060055652536
0.7,0.825,0.8,false,1.0,0.0,0.0,0.00012069022467916407
1.05,0.825,0.8,false,1.0,0.0,0.0,4.156473696564139e-5
1.4,0.825,0.8,false,1.0,0.0,0.0,2.0335714768659713e-5
1.75,0.825,0.8,false,1.0,0.0,0.0,1.2027388961615947e-5
0.35,1.25,0.8,false,1.0,0.0,0.0,9.189348653749692e-5
0.7,1.25,0.8,false,1.0,0.0,0.0,3.489248156010581e-5
1.05,1.25,0.8,false,1.0,0.0,0.0,1.7941155764232096e-5
1.4,1.25,0.8,false,1.0,0.0,0.0,1.093177864774408e-5
1.75,1.25,0.8,false,1.0,0.0,0.0,7.422368164263477e-6
0.35,1.675,0.8,false,1.0,0.0,0.0,2.9682088237188065e-5
0.7,1.675,0.8,false,1.0,0.0,0.0,1.594780354019572e-5
1.05,1.675,0.8,false,1.0,0.0,0.0,9.983516473045498e-6
1.4,1.675,0.8,false,1.0,0.0,0.0,6.904965426024615e-6
1.75,1.675,0.8,false,1.0,0.0,0.0,5.126014953258989e-6
0.35,2.1,0.8,false,1.0,0.0,0.0,1.4274417384927567e-5
0.7,2.1,0.8,false,1.0,0.0,0.0,9.158313492398254e-6
1.05,2.1,0.8,false,1.0,0.0,0.0,6.444714878331966e-6
1.4,2.1,0.8,false,1.0,0.0,0.0,4.8439681683284e-6
1.75,2.1,0.8,false,1.0,0.0,0.0,3.825705089210794e-6
0.35,0.4,1.0,false,0.0,0.0,1.0,8.360826302763761e-5
0.7,0.4,1.0,false,0.0,0.0,1.0,1.2598330330954005e-5
1.05,0.4,1.0,false,1.0,0.0,0.0,5.474930782486976e-6
1.4,0.4,1.0,false,1.0,0.0,0.0,3.320596593371003e-6
1.75,0.4,1.0,false,1.0,0.0,0.0,2.3360720525562336e-6
0.35,0.825,1.0,false,0.0,0.0,1.0,1.005110418509701e-5
0.7,0.825,1.0,false,1.0,0.0,0.0,4.827723235312427e-6
1.05,0.825,1.0,false,1.0,0.0,0.0,3.051114486008533e-6
1.4,0.825,1.0,false,1.0,0.0,0.0,2.1923391820671695e-6
1.75,0.825,1.0,false,1.0,0.0,0.0,1.695871060789936e-6
0.35,1.25,1.0,false,1.0,0.0,0.0,4.307360700008142e-6
0.7,1.25,1.0,false,1.0,0.0,0.0,2.8194112583997305e-6
1.05,1.25,1.0,false,1.0,0.0,0.0,2.0644705178818536e-6
1.4,1.25,1.0,false,1.0,0.0,0.0,1.6164460243575747e-6
1.75,1.25,1.0,false,1.0,0.0,0.0,1.3259476610454652e-6
0.35,1.675,1.0,false,1.0,0.0,0.0,2.618082558813654e-6
0.7,1.675,1.0,false,1.0,0.0,0.0,1.949805449534079e-6
1.05,1.675,1.0,false,1.0,0.0,0.0,1.5439333893048703e-6
1.4,1.675,1.0,false,1.0,0.0,0.0,1.2771743098521722e-6
1.75,1.675,1.0,false,1.0,0.0,0.0,1.0925329235908428e-6
0.35,2.1,1.0,false,1.0,0.0,0.0,1.8465354655671642e-6
0.7,2.1,1.0,false,1.0,0.0,0.0,1.4776010869193693e-6
1.05,2.1,1.0,false,1.0,0.0,0.0,1.231939360468917e-6
1.4,2.1,1.0,false,1.0,0.0,0.0,1.0604307587916616e-6
1.75,2.1,1.0,false,1.0,0.0,0.0,9.35750502292741e-7
