mapping,initial_depth,initial_capture,post_recovery_self_fraction,post_recovery_capture_fraction,post_recovery_mixed_fraction,complete_signature_fraction
theory,0.02,0.02,0.0,1.0,0.0,0.0
theory,0.02,0.14,0.0,1.0,0.0,0.0
theory,0.02,0.26,0.0,1.0,0.0,0.0
theory,0.02,0.38,0.0,1.0,0.0,0.0
theory,0.02,0.5,0.0,1.0,0.0,0.0
theory,0.02,0.62,0.0,1.0,0.0,0.0
theory,0.02,0.74,0.0,1.0,0.0,0.0
theory,0.02,0.86,0.0,1.0,0.0,0.0
theory,0.02,0.98,0.0,1.0,0.0,0.0
theory,0.14,0.02,0.0,1.0,0.0,0.0
theory,0.14,0.14,0.0,1.0,0.0,0.0
theory,0.14,0.26,0.0,1.0,0.0,0.0
theory,0.14,0.38,0.0,1.0,0.0,0.0
theory,0.14,0.5,0.0,1.0,0.0,0.0
theory,0.14,0.62,0.0,1.0,0.0,0.0
theory,0.14,0.74,0.0,1.0,0.0,0.0
theory,0.14,0.86,0.0,1.0,0.0,0.0
theory,0.14,0.98,0.0,1.0,0.0,0.0
theory,0.26,0.02,0.1,0.8,0.1,0.8
theory,0.26,0.14,0.0,1.0,0.0,0.3
theory,0.26,0.26,0.0,1.0,0.0,0.0
theory,0.26,0.38,0.0,1.0,0.0,0.0
theory,0.26,0.5,0.0,1.0,0.0,0.0
theory,0.26,0.62,0.0,1.0,0.0,0.0
theory,0.26,0.74,0.0,1.0,0.0,0.0
theory,0.26,0.86,0.0,1.0,0.0,0.0
theory,0.26,0.98,0.0,1.0,0.0,0.0
theory,0.38,0.02,0.4,0.2,0.4,0.3
theory,0.38,0.14,0.4,0.2,0.4,0.3
theory,0.38,0.26,0.3,0.4,0.3,0.4
theory,0.38,0.38,0.0,0.8,0.2,0.8
theory,0.38,0.5,0.0,1.0,0.0,0.1
theory,0.38,0.62,0.0,1.0,0.0,0.0
theory,0.38,0.74,0.0,1.0,0.0,0.0
theory,0.38,0.86,0.0,1.0,0.0,0.0
theory,0.38,0.98,0.0,1.0,0.0,0.0
theory,0.5,0.02,0.9,0.1,0.0,0.1
theory,0.5,0.14,0.9,0.1,0.0,0.1
theory,0.5,0.26,0.9,0.1,0.0,0.1
theory,0.5,0.38,0.8,0.1,0.1,0.1
theory,0.5,0.5,0.4,0.3,0.3,0.4
theory,0.5,0.62,0.0,0.8,0.2,0.8
theory,0.5,0.74,0.0,1.0,0.0,0.0
theory,0.5,0.86,0.0,1.0,0.0,0.0
theory,0.5,0.98,0.0,1.0,0.0,0.0
theory,0.62,0.02,0.9,0.0,0.1,0.0
theory,0.62,0.14,0.9,0.0,0.1,0.0
theory,0.62,0.26,0.9,0.0,0.1,0.0
theory,0.62,0.38,0.9,0.0,0.1,0.0
theory,0.62,0.5,0.9,0.0,0.1,0.1
theory,0.62,0.62,0.8,0.1,0.1,0.1
theory,0.62,0.74,0.2,0.5,0.3,0.5
theory,0.62,0.86,0.0,1.0,0.0,0.1
theory,0.62,0.98,0.0,1.0,0.0,0.0
theory,0.74,0.02,1.0,0.0,0.0,0.0
theory,0.74,0.14,1.0,0.0,0.0,0.0
theory,0.74,0.26,1.0,0.0,0.0,0.0
theory,0.74,0.38,1.0,0.0,0.0,0.0
theory,0.74,0.5,1.0,0.0,0.0,0.0
theory,0.74,0.62,1.0,0.0,0.0,0.0
theory,0.74,0.74,0.9,0.0,0.1,0.1
theory,0.74,0.86,0.6,0.2,0.2,0.2
theory,0.74,0.98,0.0,0.8,0.2,0.7
theory,0.86,0.02,1.0,0.0,0.0,0.0
theory,0.86,0.14,1.0,0.0,0.0,0.0
theory,0.86,0.26,1.0,0.0,0.0,0.0
theory,0.86,0.38,1.0,0.0,0.0,0.0
theory,0.86,0.5,1.0,0.0,0.0,0.0
theory,0.86,0.62,1.0,0.0,0.0,0.0
theory,0.86,0.74,1.0,0.0,0.0,0.0
theory,0.86,0.86,0.9,0.0,0.1,0.0
theory,0.86,0.98,0.9,0.1,0.0,0.1
theory,0.98,0.02,1.0,0.0,0.0,0.0
theory,0.98,0.14,1.0,0.0,0.0,0.0
theory,0.98,0.26,1.0,0.0,0.0,0.0
theory,0.98,0.38,1.0,0.0,0.0,0.0
theory,0.98,0.5,1.0,0.0,0.0,0.0
theory,0.98,0.62,1.0,0.0,0.0,0.0
theory,0.98,0.74,1.0,0.0,0.0,0.0
theory,0.98,0.86,1.0,0.0,0.0,0.0
theory,0.98,0.98,1.0,0.0,0.0,0.0
flat,0.02,0.02,0.0,1.0,0.0,0.0
flat,0.02,0.14,0.0,1.0,0.0,0.0
flat,0.02,0.26,0.0,1.0,0.0,0.0
flat,0.02,0.38,0.0,1.0,0.0,0.0
flat,0.02,0.5,0.0,1.0,0.0,0.0
flat,0.02,0.62,0.0,1.0,0.0,0.0
flat,0.02,0.74,0.0,1.0,0.0,0.0
flat,0.02,0.86,0.0,1.0,0.0,0.0
flat,0.02,0.98,0.0,1.0,0.0,0.0
flat,0.14,0.02,0.0,1.0,0.0,0.0
flat,0.14,0.14,0.0,1.0,0.0,0.0
flat,0.14,0.26,0.0,1.0,0.0,0.0
flat,0.14,0.38,0.0,1.0,0.0,0.0
flat,0.14,0.5,0.0,1.0,0.0,0.0
flat,0.14,0.62,0.0,1.0,0.0,0.0
flat,0.14,0.74,0.0,1.0,0.0,0.0
flat,0.14,0.86,0.0,1.0,0.0,0.0
flat,0.14,0.98,0.0,1.0,0.0,0.0
flat,0.26,0.02,0.0,1.0,0.0,0.0
flat,0.26,0.14,0.0,1.0,0.0,0.0
flat,0.26,0.26,0.0,1.0,0.0,0.0
flat,0.26,0.38,0.0,1.0,0.0,0.0
flat,0.26,0.5,0.0,1.0,0.0,0.0
flat,0.26,0.62,0.0,1.0,0.0,0.0
flat,0.26,0.74,0.0,1.0,0.0,0.0
flat,0.26,0.86,0.0,1.0,0.0,0.0
flat,0.26,0.98,0.0,1.0,0.0,0.0
flat,0.38,0.02,0.0,1.0,0.0,0.0
flat,0.38,0.14,0.0,1.0,0.0,0.0
flat,0.38,0.26,0.0,1.0,0.0,0.0
flat,0.38,0.38,0.0,1.0,0.0,0.0
flat,0.38,0.5,0.0,1.0,0.0,0.0
flat,0.38,0.62,0.0,1.0,0.0,0.0
flat,0.38,0.74,0.0,1.0,0.0,0.0
flat,0.38,0.86,0.0,1.0,0.0,0.0
flat,0.38,0.98,0.0,1.0,0.0,0.0
flat,0.5,0.02,0.0,1.0,0.0,0.0
flat,0.5,0.14,0.0,1.0,0.0,0.0
flat,0.5,0.26,0.0,1.0,0.0,0.0
flat,0.5,0.38,0.0,1.0,0.0,0.0
flat,0.5,0.5,0.0,1.0,0.0,0.0
flat,0.5,0.62,0.0,1.0,0.0,0.0
flat,0.5,0.74,0.0,1.0,0.0,0.0
flat,0.5,0.86,0.0,1.0,0.0,0.0
flat,0.5,0.98,0.0,1.0,0.0,0.0
flat,0.62,0.02,1.0,0.0,0.0,0.0
flat,0.62,0.14,1.0,0.0,0.0,0.0
flat,0.62,0.26,0.5,0.3,0.2,0.0
flat,0.62,0.38,0.0,1.0,0.0,0.0
flat,0.62,0.5,0.0,1.0,0.0,0.0
flat,0.62,0.62,0.0,1.0,0.0,0.0
flat,0.62,0.74,0.0,1.0,0.0,0.0
flat,0.62,0.86,0.0,1.0,0.0,0.0
flat,0.62,0.98,0.0,1.0,0.0,0.0
flat,0.74,0.02,1.0,0.0,0.0,0.0
flat,0.74,0.14,1.0,0.0,0.0,0.0
flat,0.74,0.26,1.0,0.0,0.0,0.0
flat,0.74,0.38,1.0,0.0,0.0,0.0
flat,0.74,0.5,0.0,1.0,0.0,0.0
flat,0.74,0.62,0.0,1.0,0.0,0.0
flat,0.74,0.74,0.0,1.0,0.0,0.0
flat,0.74,0.86,0.0,1.0,0.0,0.0
flat,0.74,0.98,0.0,1.0,0.0,0.0
flat,0.86,0.02,1.0,0.0,0.0,0.0
flat,0.86,0.14,1.0,0.0,0.0,0.0
flat,0.86,0.26,1.0,0.0,0.0,0.0
flat,0.86,0.38,1.0,0.0,0.0,0.0
flat,0.86,0.5,1.0,0.0,0.0,0.0
flat,0.86,0.62,1.0,0.0,0.0,0.0
flat,0.86,0.74,0.0,1.0,0.0,0.0
flat,0.86,0.86,0.0,1.0,0.0,0.0
flat,0.86,0.98,0.0,1.0,0.0,0.0
flat,0.98,0.02,1.0,0.0,0.0,0.0
flat,0.98,0.14,1.0,0.0,0.0,0.0
flat,0.98,0.26,1.0,0.0,0.0,0.0
flat,0.98,0.38,1.0,0.0,0.0,0.0
flat,0.98,0.5,1.0,0.0,0.0,0.0
flat,0.98,0.62,1.0,0.0,0.0,0.0
flat,0.98,0.74,1.0,0.0,0.0,0.0
flat,0.98,0.86,0.0,1.0,0.0,0.0
flat,0.98,0.98,0.0,1.0,0.0,0.0
reversed,0.02,0.02,0.0,1.0,0.0,0.0
reversed,0.02,0.14,0.0,1.0,0.0,0.0
reversed,0.02,0.26,0.0,1.0,0.0,0.0
reversed,0.02,0.38,0.0,1.0,0.0,0.0
reversed,0.02,0.5,0.0,1.0,0.0,0.0
reversed,0.02,0.62,0.0,1.0,0.0,0.0
reversed,0.02,0.74,0.0,1.0,0.0,0.0
reversed,0.02,0.86,0.0,1.0,0.0,0.0
reversed,0.02,0.98,0.0,1.0,0.0,0.0
reversed,0.14,0.02,0.0,1.0,0.0,0.0
reversed,0.14,0.14,0.0,1.0,0.0,0.0
reversed,0.14,0.26,0.0,1.0,0.0,0.0
