noise_sd,seed,signature,structurally_evaluable,baseline_self,captured_during_low,persistent_after_recovery,first_low_trial,first_recovery_trial,first_capture_trial,first_state_recovery_trial,collapse_load,state_recovery_load,hysteresis_load_width
0.0,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.06692501715471902,
0.0,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.059242780260984035,
0.0,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.07487572307627519,
0.0,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.062293162273340974,
0.0,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.05936102731587321,
0.0,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.0821921339749037,
0.0,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.07138285731240263,
0.0,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.07944438957211951,
0.0,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.06747079667299342,
0.0,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.07313724484426463,
0.012,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.05963687560580491,
0.012,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.0461113179014048,
0.012,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.09724197136364786,
0.012,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.07625362754073359,
0.012,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.05351774276082928,
0.012,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.07659889401239321,
0.012,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.06690765208811679,
0.012,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.07352112803685354,
0.012,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.055201730630734316,
0.012,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.07199573738416658,
0.035,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.045667937637052874,
0.035,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.02094268171221126,
0.035,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.1401106139144455,
0.035,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.10301118596990277,
0.035,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.04231811403032841,
0.035,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.06587851741758144,
0.035,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.05833017540823559,
0.035,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.062168210094260434,
0.035,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.03168602071640436,
0.035,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.06980784808564529,
0.07,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.024410858119386737,
0.07,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.0,
0.07,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.2053455047526158,
0.07,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.14372920966646457,
0.07,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.025275200744783614,
0.07,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.049564900860259165,
0.07,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.04527749350406855,
0.07,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.04489203061640136,
0.07,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.0,
0.07,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.06647845132702594,
0.14,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.0,
0.14,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.0,
0.14,37,0.0,1.0,1.0,0.0,0.0,13,26,,30,,0.0,
0.14,53,1.0,1.0,1.0,1.0,1.0,13,29,19,,0.5426220122965814,,
0.14,71,0.0,1.0,1.0,0.0,0.0,13,31,,33,,0.1543226405582677,
0.14,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.01693766774561463,
0.14,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.019172129695734487,
0.14,173,1.0,1.0,1.0,1.0,1.0,14,30,22,,0.35645486634594004,,
0.14,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.0,
0.14,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.05981965780978724,
0.28,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.0,
0.28,23,0.0,1.0,1.0,0.0,0.0,14,28,,29,,0.0,
0.28,37,1.0,1.0,1.0,1.0,1.0,13,26,16,,0.6350193089260643,,
0.28,53,1.0,1.0,1.0,1.0,1.0,13,29,16,,0.8072105897044425,,
0.28,71,1.0,1.0,1.0,1.0,1.0,13,31,19,,0.8678467572002369,,
0.28,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.0,
0.28,131,0.0,1.0,1.0,1.0,0.0,13,28,24,,0.6761226126476252,,
0.28,173,1.0,1.0,1.0,1.0,1.0,14,30,20,,0.6550152069971845,,
0.28,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.0,
0.28,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.04650207077530985,
