mapping,seed,signature,structurally_evaluable,baseline_self,captured_during_low,persistent_after_recovery,first_low_trial,first_recovery_trial,first_capture_trial,first_state_recovery_trial,collapse_load,state_recovery_load,hysteresis_load_width
theory,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.05963687560580491,
theory,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.0461113179014048,
theory,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.09724197136364786,
theory,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.07625362754073359,
theory,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.05351774276082928,
theory,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.07659889401239321,
theory,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.06690765208811679,
theory,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.07352112803685354,
theory,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.055201730630734316,
theory,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.07199573738416658,
flat,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.30937852511775255,
flat,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.3035352043070874,
flat,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.3390329149540393,
flat,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.3306271319340593,
flat,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.31082338211162275,
flat,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.31107342670415616,
flat,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.3121914614423808,
flat,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.3107434051314007,
flat,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.30439760062440757,
flat,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.3155251592065686,
reversed,11,0.0,1.0,0.0,0.0,0.0,16,30,,30,,0.50534027122706,
reversed,23,0.0,1.0,0.0,0.0,0.0,14,28,,28,,0.5216404916204423,
reversed,37,0.0,1.0,0.0,0.0,0.0,13,26,,26,,0.5138305469548283,
reversed,53,0.0,1.0,0.0,0.0,0.0,13,29,,29,,0.5397209804977054,
reversed,71,0.0,1.0,0.0,0.0,0.0,13,31,,31,,0.528573636785907,
reversed,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.46773387533200195,
reversed,131,0.0,1.0,0.0,0.0,0.0,13,28,,28,,0.496086322084122,
reversed,173,0.0,1.0,0.0,0.0,0.0,14,30,,30,,0.4740771542105368,
reversed,211,0.0,1.0,0.0,0.0,0.0,12,25,,25,,0.4988530095329369,
reversed,251,0.0,1.0,0.0,0.0,0.0,13,26,,26,,0.49481310260926653,
nonmonotone,11,0.0,1.0,1.0,0.0,0.0,16,30,,30,,0.2018187183124723,
nonmonotone,23,0.0,1.0,1.0,0.0,0.0,14,28,,28,,0.22489800612243177,
nonmonotone,37,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.20504629177483452,
nonmonotone,53,0.0,1.0,1.0,0.0,0.0,13,29,,29,,0.24006782027470042,
nonmonotone,71,0.0,1.0,1.0,0.0,0.0,13,31,,31,,0.23171261275860436,
nonmonotone,97,0.0,1.0,1.0,0.0,0.0,13,25,,25,,0.15544525857632183,
nonmonotone,131,0.0,1.0,1.0,0.0,0.0,13,28,,28,,0.1894135640173352,
nonmonotone,173,0.0,1.0,1.0,0.0,0.0,14,30,,30,,0.16296634910057878,
nonmonotone,211,0.0,1.0,1.0,0.0,0.0,12,25,,25,,0.1949166784541198,
nonmonotone,251,0.0,1.0,1.0,0.0,0.0,13,26,,26,,0.1870422023671604,
