seed,full_after_accuracy,local_after_accuracy,random_after_accuracy,fixed_after_accuracy,no_binding_logodds_after_accuracy,no_binding_soft_after_accuracy,no_binding_hard_after_accuracy,full_mean_samples,random_mean_samples,early_after_accuracy,late_after_accuracy,before_channel_1,late_channel_3,break_channel_1,late_phi_1,late_phi_3,joint_descent_rate,global_forecast_error,local_forecast_error
8701,0.9,0.95,0.7833333333333333,0.7,0.8833333333333333,0.9,0.85,1.45,1.45,0.675,0.9666666666666667,1.0,1.0,1.0,1.5866855933224666,-0.4852344359438847,1.0,0.3688495604104357,0.657734229768581
8702,0.9333333333333333,0.9666666666666667,0.85,0.65,0.9333333333333333,0.9333333333333333,0.8833333333333333,1.6,1.6,0.65,0.9666666666666667,1.0,1.0,1.0,2.029520648414038,-1.1133362787018244,1.0,0.4483322226064884,0.918598779426842
8703,0.95,0.95,0.7833333333333333,0.5166666666666667,0.95,0.95,0.95,1.8833333333333333,1.8833333333333333,0.7,0.9666666666666667,1.0,1.0,1.0,1.543034825089482,-0.36780622818337927,1.0,0.7362919709806851,0.7970959581976067
8704,0.9833333333333333,0.9666666666666667,0.8166666666666667,0.6,0.9833333333333333,0.9833333333333333,0.9666666666666667,1.4,1.4,0.7,0.9666666666666667,1.0,1.0,1.0,1.5432333949035548,-0.6127460942111507,1.0,0.5740699579822245,0.8494660021834356
8705,0.9833333333333333,0.9666666666666667,0.85,0.5666666666666667,0.9833333333333333,0.9666666666666667,0.9333333333333333,1.8666666666666667,1.8666666666666667,0.725,0.9666666666666667,1.0,1.0,1.0,1.5902791127359361,-0.6487103585862152,1.0,0.6714751161428834,0.77527460249553
8706,0.95,0.8666666666666667,0.8833333333333333,0.6333333333333333,0.9333333333333333,0.9,0.95,2.2,2.2,0.75,0.9666666666666667,1.0,1.0,1.0,1.088856981604446,-0.48010878251338074,1.0,0.881604454036398,1.3182779210901643
8707,0.9666666666666667,0.95,0.8666666666666667,0.6666666666666666,0.9666666666666667,0.9666666666666667,0.95,1.2666666666666666,1.2666666666666666,0.725,0.9333333333333333,1.0,1.0,1.0,1.5399517435539487,-0.4541042807958169,1.0,0.6961738812341226,0.7167762020434455
8708,0.9666666666666667,0.95,0.8333333333333334,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.9833333333333333,1.5833333333333333,1.5833333333333333,0.725,1.0,1.0,1.0,1.0,1.3897276664626725,-0.5782043328804,1.0,0.5359896385901836,1.0494970541433757
8709,0.95,0.8833333333333333,0.8166666666666667,0.6166666666666667,0.9333333333333333,0.9333333333333333,0.9166666666666666,1.65,1.65,0.7,1.0,1.0,1.0,1.0,1.5131606926980399,-0.535843738865397,1.0,0.5648524158051071,1.069199966356966
8710,0.9666666666666667,0.9666666666666667,0.8666666666666667,0.6333333333333333,0.9666666666666667,0.9666666666666667,0.95,1.8,1.8,0.725,0.9666666666666667,1.0,1.0,1.0,1.6257821621750483,-0.6384133871684962,1.0,0.8282861819366975,1.021330998166803
8711,0.9666666666666667,0.95,0.8333333333333334,0.6833333333333333,0.9666666666666667,0.9666666666666667,0.95,1.5,1.5,0.675,0.9333333333333333,1.0,1.0,1.0,1.4579404935889029,-0.5080655869117697,1.0,0.4287802788525586,0.6683051467710978
8712,0.95,0.95,0.7833333333333333,0.6666666666666666,0.95,0.95,0.9833333333333333,1.2666666666666666,1.2666666666666666,0.675,0.9666666666666667,1.0,1.0,1.0,1.6223698742170283,-0.3283918142576887,1.0,0.5243350851233896,0.8604762808103193
8713,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.65,0.9666666666666667,0.95,0.9333333333333333,1.6166666666666667,1.6166666666666667,0.675,0.9333333333333333,1.0,1.0,1.0,1.0824702385321852,-0.3139570686440268,1.0,0.49107710242318464,0.7939890566310206
8714,0.9166666666666666,0.9,0.8333333333333334,0.6666666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,1.7833333333333334,1.7833333333333334,0.7,1.0,1.0,1.0,1.0,1.3630198881346318,-0.3974937847673253,1.0,0.5014665273744588,0.801446170586457
8715,0.9166666666666666,0.9,0.85,0.5833333333333334,0.9,0.9166666666666666,0.8833333333333333,1.95,1.95,0.8,0.9666666666666667,1.0,1.0,1.0,1.6836593979194234,-0.4375833296649484,1.0,0.9111998187985024,0.9986011641118675
8716,0.95,0.95,0.8166666666666667,0.4166666666666667,0.95,0.95,0.9833333333333333,2.1,2.1,0.75,0.9333333333333333,1.0,1.0,1.0,1.722210517597588,-0.5336567295143166,1.0,0.8709005239159058,0.7506178153155484
8717,0.9666666666666667,0.9333333333333333,0.8333333333333334,0.7166666666666667,0.9833333333333333,0.9666666666666667,0.95,1.4333333333333333,1.4333333333333333,0.675,0.9666666666666667,1.0,1.0,1.0,2.0943191917961053,-0.8892325946700493,1.0,0.33585373037378924,0.9353725345952087
8718,1.0,0.9833333333333333,0.85,0.6,1.0,0.9833333333333333,0.9666666666666667,1.6333333333333333,1.6333333333333333,0.7,0.9666666666666667,1.0,1.0,1.0,1.6687916625711348,-0.9969194432087602,1.0,0.4492878806212027,0.6219598811502844
8719,0.9333333333333333,0.9,0.8166666666666667,0.5833333333333334,0.9333333333333333,0.9333333333333333,0.9,1.5666666666666667,1.5666666666666667,0.7,1.0,1.0,1.0,1.0,1.469331932704038,-0.5975615580531735,1.0,0.381858728597267,1.1150086390963225
8720,0.9666666666666667,0.9333333333333333,0.85,0.6333333333333333,0.9333333333333333,0.9333333333333333,0.9333333333333333,1.45,1.45,0.7,1.0,1.0,1.0,1.0,1.1892965208830584,-0.46951764252897604,1.0,0.374443918206999,0.8997936142394428
