seed,full_accuracy,factorized_accuracy,random_accuracy,blind_accuracy,full_coherent_accuracy,factorized_coherent_accuracy,full_violation_accuracy,factorized_violation_accuracy,full_before_channel_1,full_after_channel_3,blind_after_channel_3,full_mean_packets,random_mean_packets,line_search_invariant_rate
13001,0.7666666666666667,0.7833333333333333,0.675,0.7333333333333333,0.7739130434782608,0.7913043478260869,0.6,0.6,1.0,1.0,0.05,2.0,2.0,1.0
13002,0.7916666666666666,0.7,0.7166666666666667,0.7083333333333334,0.8303571428571429,0.7232142857142857,0.25,0.375,1.0,1.0,0.0625,2.0,2.0,1.0
13003,0.8083333333333333,0.7416666666666667,0.75,0.7583333333333333,0.8205128205128205,0.7521367521367521,0.3333333333333333,0.3333333333333333,1.0,1.0,0.025,2.0,2.0,1.0
13004,0.825,0.7583333333333333,0.775,0.6666666666666666,0.8305084745762712,0.7627118644067796,0.5,0.5,1.0,1.0,0.0375,2.0,2.0,1.0
13005,0.7916666666666666,0.7583333333333333,0.6583333333333333,0.6916666666666667,0.8017241379310345,0.7586206896551724,0.5,0.75,1.0,1.0,0.0125,2.0,2.0,1.0
13006,0.7833333333333333,0.6833333333333333,0.7,0.7083333333333334,0.782608695652174,0.6695652173913044,0.8,1.0,1.0,1.0,0.0875,2.0,2.0,1.0
13007,0.75,0.625,0.65,0.6333333333333333,0.7606837606837606,0.6324786324786325,0.3333333333333333,0.3333333333333333,1.0,1.0,0.0125,2.0,2.0,1.0
13008,0.8083333333333333,0.7166666666666667,0.7416666666666667,0.7916666666666666,0.8303571428571429,0.7053571428571429,0.5,0.875,1.0,1.0,0.025,2.0,2.0,1.0
13009,0.6916666666666667,0.7166666666666667,0.6416666666666667,0.7083333333333334,0.6869565217391305,0.7304347826086957,0.8,0.4,1.0,1.0,0.025,2.0,2.0,1.0
13010,0.8,0.75,0.7333333333333333,0.725,0.8173913043478261,0.7652173913043478,0.4,0.4,1.0,1.0,0.0375,2.0,2.0,1.0
