seed,episode,agent,phase,violation,probability_positive,correct,first_action,second_action,sample_packets,forecast_error,line_search_invariant
13001,1,full,training,false,0.7978558282598844,true,1,2,2,1.3796134724383253,true
13001,1,factorized_replay,training,false,0.6357274675336841,true,1,2,2,1.3796134724383253,true
13001,1,random,training,false,0.7335519621780303,true,3,2,2,1.3796134724383253,true
13001,1,precision_blind,training,false,0.7978558282598844,true,1,2,2,1.3796134724383253,true
13001,2,full,training,false,0.8091160755575876,true,1,2,2,0.48479768015602254,true
13001,2,factorized_replay,training,false,0.6397780013554003,true,1,2,2,0.4861625757747673,true
13001,2,random,training,false,0.6070151293150913,true,1,3,2,0.5997540111378377,true
13001,2,precision_blind,training,false,0.8091160755575876,true,1,2,2,0.48479768015602254,true
13001,3,full,training,false,0.6576207186178731,true,1,2,2,0.2949168157776274,true
13001,3,factorized_replay,training,false,0.3210038089636308,false,1,2,2,0.2971554651350421,true
13001,3,random,training,false,0.6565740373331649,true,1,3,2,0.5696804237441403,true
13001,3,precision_blind,training,false,0.6576207186178731,true,1,2,2,0.2949168157776274,true
13001,4,full,training,false,0.8102238301797945,true,3,2,2,0.5108731023259334,true
13001,4,factorized_replay,training,false,0.6401778940993208,true,3,2,2,0.5089954703539064,true
13001,4,random,training,false,0.809148799004691,true,3,1,2,0.5516230684742912,true
13001,4,precision_blind,training,false,0.8100200130470782,true,1,2,2,0.5108731023259334,true
13001,5,full,training,false,0.8017529404460112,true,3,2,2,0.8581461053458811,true
13001,5,factorized_replay,training,false,0.6371735002812762,true,3,2,2,0.8538549360332417,true
13001,5,random,training,false,0.7939651247249407,true,3,1,2,0.5320992577531751,true
13001,5,precision_blind,training,false,0.8102042664885905,true,1,2,2,0.7685635300190793,true
13001,6,full,training,false,0.7170282079060706,false,1,2,2,0.8342326413710234,true
13001,6,factorized_replay,training,false,0.6097168074987355,false,1,2,2,0.8315688850397682,true
13001,6,random,training,false,0.3073445868228597,true,3,2,2,0.5555959528126786,true
13001,6,precision_blind,training,false,0.714150312315618,false,1,2,2,0.7798412066524376,true
13001,7,full,training,false,0.6574440134952556,true,1,2,2,0.4613415072693888,true
13001,7,factorized_replay,training,false,0.32109013042878143,false,1,2,2,0.4605356350723712,true
13001,7,random,training,false,0.6190643621619155,true,2,3,2,0.531647695446243,true
13001,7,precision_blind,training,false,0.6573958306372517,true,1,2,2,0.4484340964516341,true
13001,8,full,training,false,0.17200378576427,true,1,3,2,0.2923318063207169,true
13001,8,factorized_replay,training,false,0.4955428289465721,true,1,3,2,0.29400960859708997,true
13001,8,random,training,false,0.793474151675385,false,1,2,2,0.5258401621533746,true
13001,8,precision_blind,training,false,0.18342403480610192,true,1,3,2,0.30186863530763064,true
13001,9,full,training,false,0.8104435733452021,false,3,2,2,0.4595224335726012,true
13001,9,factorized_replay,training,false,0.6402584879506206,false,3,2,2,0.4595289820828426,true
13001,9,random,training,false,0.31613823259857105,true,1,2,2,0.5249646390161251,true
13001,9,precision_blind,training,false,0.1877569142630326,true,1,2,2,0.45075420616068007,true
13001,10,full,training,false,0.008885353369747403,true,3,2,2,0.7586605357187243,true
13001,10,factorized_replay,training,false,0.47818017839213584,true,3,2,2,0.7575439367620974,true
13001,10,random,training,false,0.6398070864949085,false,3,1,2,0.5497920330270825,true
13001,10,precision_blind,training,false,0.012109104576308318,true,1,2,2,0.7151499432390687,true
13001,11,full,training,false,0.8093752655212816,true,1,2,2,0.7474762716675909,true
13001,11,factorized_replay,training,false,0.6398743247801815,true,1,2,2,0.7463377369078504,true
13001,11,random,training,false,0.7134997230136659,true,1,3,2,0.5433783731848636,true
13001,11,precision_blind,training,false,0.8091243555950282,true,1,2,2,0.7173955938055967,true
13001,12,full,training,false,0.03916985995676772,true,1,2,2,0.4436043279422746,true
13001,12,factorized_replay,training,false,0.4743574006841834,true,1,2,2,0.44364552942390567,true
13001,12,random,training,false,0.08033105799988986,true,1,2,2,0.5159553513727451,true
13001,12,precision_blind,training,false,0.043745100287826764,true,1,2,2,0.4423923717337319,true
