t,meta_state,true_attn,obs_attn,q_focused,q_distracted,q_deviant,gamma_l1,gamma_l2,policy,p_refocus,score_maintain,score_refocus,aware,forced_distractor
0,low,0,0,0.9617672730642458,0.03823272693575414,0.00014395042850169303,4.833687637829469,0.85,maintain,1.5175587519365541e-15,1.0141059975576159,5.279315176987705,False,False
1,low,0,0,0.9766345994417868,0.02336540055821312,6.614716804681488e-05,4.898360507571772,0.85,maintain,4.983088405092725e-16,0.8709633094258499,5.275377262853818,False,False
2,low,0,0,0.9817365540301662,0.018263445969833765,6.391411197329035e-05,4.920554010031223,0.85,maintain,3.4003812960685464e-16,0.8218416667066827,5.274025906290181,False,False
3,low,0,0,0.9834652577296317,0.016534742270368216,6.318824865504118e-05,4.928073871123898,0.85,maintain,2.9873864005095543e-16,0.805197699375836,5.27356802391385,False,False
4,low,0,0,0.9840484696640067,0.015951530335993194,6.294524413050839e-05,4.930610843038429,0.85,maintain,2.859690373983651e-16,0.7995825321347994,5.273413548357109,False,False
5,low,0,0,0.9842449403270801,0.01575505967291995,6.286359295922709e-05,4.931465490422799,0.85,maintain,2.8179134745482573e-16,0.7976909116687405,5.273361509101269,False,False
6,low,0,0,0.9843110941819682,0.015688905818031822,6.283612403925933e-05,4.931753259691561,0.85,maintain,2.80398452149767e-16,0.7970539820434335,5.273343986905713,False,False
7,low,0,0,0.9843333652261705,0.015666634773829482,6.282687919394898e-05,4.931850138733842,0.85,maintain,2.7993107741129446e-16,0.7968395563253406,5.273338087966152,False,False
8,low,0,0,0.984340862472075,0.015659137527925013,6.28237673489991e-05,4.931882751753526,0.85,maintain,2.7977391735626934e-16,0.7967673728065896,5.273336102167908,False,False
9,low,0,0,0.9843433862711016,0.015656613728898337,6.282271984297393e-05,4.931893730279292,0.85,maintain,2.797210323958775e-16,0.7967430736577172,5.273335433688344,False,False
10,low,1,1,0.879690618231911,0.12030938176808895,0.9899640706649017,4.476654189308812,0.85,maintain,7.098551362413198e-13,1.8043404154494145,5.301054850343815,False,True
11,low,1,1,0.6734613862955,0.3265386137045001,0.034998794160627296,3.579557030385425,0.85,maintain,3.630634618330435e-06,3.7899164283175617,5.355678861860092,False,False
12,low,1,1,0.4051063733838564,0.5948936266161436,0.00377143739547802,2.4122127242197755,0.85,refocus,0.9994871698017422,6.373639751956653,5.42675815153255,True,False
13,low,0,0,0.6769264489133672,0.3230735510866327,0.0004928318715850716,3.594630052773147,0.85,maintain,2.8006667530846577e-06,3.7565547891720263,5.3547610694668135,False,False
14,low,0,0,0.8559348855153674,0.14406511448463263,0.00014708991620306818,4.373316751991848,0.85,maintain,4.206919076538126e-12,2.0330607215242593,5.307347039890863,False,False
15,low,0,0,0.9373046114901409,0.06269538850985913,8.573964761419743e-05,4.727275059982113,0.85,maintain,9.482807768550544e-15,1.249632617990509,5.2857946110378435,False,False
16,low,0,0,0.9680250113938881,0.03197498860611198,6.997591042084934e-05,4.860908799563413,0.85,maintain,9.496769572847207e-16,0.9538564635537541,5.277657687565014,False,False
17,low,0,0,0.9787938348880227,0.02120616511197736,6.516897077691718e-05,4.907753181762899,0.85,maintain,4.2389354653123544e-16,0.8501741804167173,5.2748053453774535,False,False
18,low,0,0,0.9824695354757533,0.01753046452424669,6.360531092975658e-05,4.923742479319527,0.85,maintain,3.218719280128086e-16,0.8147845179088639,5.273831761228644,False,False
19,low,0,0,0.9837126989774324,0.01628730102256768,6.308503349622153e-05,4.929150240551831,0.85,maintain,2.932526348396307e-16,0.8028153338808302,5.273502484060733,False,False
20,low,1,1,0.8782340901547151,0.12176590984528497,0.9898681915890162,4.470318292173011,0.85,maintain,7.916839507510675e-13,1.8183638746117952,5.301440641464286,False,True
21,low,1,1,0.6710198181101926,0.32898018188980743,0.03551953821264414,3.568936208779338,0.85,maintain,4.35921753825383e-06,3.813423858263395,5.35632556091153,False,False
22,low,1,1,0.40265172343504013,0.5973482765649599,0.0038470196238787825,2.4015349969424244,0.85,refocus,0.9995732641557679,6.397273133182941,5.427408315555436,True,False
23,low,0,0,0.674867489127014,0.3251325108729859,0.000499894130153949,3.5856735777025106,0.85,maintain,3.2676908859583906e-06,3.77637846365724,5.3553064268927475,False,False
24,low,0,0,0.8548659853588096,0.14513401464119038,0.00014813976174483386,4.368667036310822,0.85,maintain,4.557602031847161e-12,2.0433520972476895,5.3076301598633,False,False
25,low,0,0,0.9368781824350066,0.0631218175649934,8.598193402626695e-05,4.7254200935922785,0.85,maintain,9.790594214176008e-15,1.253738278934471,5.285907559456454,False,False
26,low,0,0,0.9678724991286258,0.032127500871374115,7.004648658138819e-05,4.860245371209523,0.85,maintain,9.605882184907192e-16,0.9553248523594016,5.27769808354407,False,False
27,low,0,0,0.9787414154499708,0.021258584550029096,6.519154719233394e-05,4.907525157207373,0.85,maintain,4.255612287971365e-16,0.8506788750122714,5.274819229733037,False,False
28,low,0,0,0.982451764748869,0.01754823525113091,6.361277931956355e-05,4.92366517665758,0.85,maintain,3.22300662693584e-16,0.8149556145506991,5.273836468167524,False,False
29,low,0,0,0.9837067026144968,0.016293297385503176,6.308753275618024e-05,4.929124156373061,0.85,maintain,2.933843811957234e-16,0.8028730668913127,5.273504072319561,False,False
30,low,0,0,0.9841298244414101,0.01587017555858988,6.291142102005143e-05,4.930964736320134,0.85,maintain,2.842316738023151e-16,0.798799247956182,5.273391999887689,False,False
31,low,0,0,0.9842723353757052,0.015727664624294785,6.285221631115414e-05,4.931584658884318,0.85,maintain,2.812136965546991e-16,0.797427152012019,5.273354252964796,False,False
32,low,0,0,0.9843203170953017,0.015679682904698317,6.28322953864182e-05,4.931793379364562,0.85,maintain,2.8020480773527364e-16,0.7969651837905776,5.273341544029312,False,False
33,low,0,0,0.9843364700208204,0.01566352997917955,6.282559048334586e-05,4.931863644590568,0.85,maintain,2.7986598284492024e-16,0.7968096633478812,5.273337265598066,False,False
