t,observation_deviant,q_standard,q_deviant,precision
0,0,0.9998881326551701,0.00011186734483000082,5.0
1,0,0.9999433163488497,5.6683651150226125e-05,5.0
2,0,0.9999433441283766,5.6655871623407306e-05,5.0
3,0,0.9999433441423602,5.665585763985158e-05,5.0
4,0,0.9999433441423672,5.665585763281258e-05,5.0
5,0,0.9999433441423672,5.665585763280902e-05,5.0
6,0,0.9999433441423672,5.665585763280902e-05,5.0
7,0,0.9999433441423672,5.665585763280902e-05,5.0
8,0,0.9999433441423672,5.665585763280902e-05,5.0
9,0,0.9999433441423672,5.665585763280902e-05,5.0
10,1,0.004563841102775872,0.9954361588972241,5.0
11,0,0.9956117981195082,0.004388201880491862,5.0
12,0,0.9999411553215725,5.884467842753523e-05,5.0
13,0,0.9999433430405645,5.6656959435463e-05,5.0
14,0,0.9999433441418126,5.665585818743039e-05,5.0
15,0,0.9999433441423669,5.665585763308821e-05,5.0
16,0,0.9999433441423672,5.665585763280917e-05,5.0
17,0,0.9999433441423672,5.665585763280902e-05,5.0
18,0,0.9999433441423672,5.665585763280902e-05,5.0
19,0,0.9999433441423672,5.665585763280902e-05,5.0
20,1,0.004563841102775872,0.9954361588972241,5.0
21,0,0.9956117981195082,0.004388201880491862,5.0
22,0,0.9999411553215725,5.884467842753523e-05,5.0
23,0,0.9999433430405645,5.6656959435463e-05,5.0
24,0,0.9999433441418126,5.665585818743039e-05,5.0
25,0,0.9999433441423669,5.665585763308821e-05,5.0
26,0,0.9999433441423672,5.665585763280917e-05,5.0
27,0,0.9999433441423672,5.665585763280902e-05,5.0
28,0,0.9999433441423672,5.665585763280902e-05,5.0
29,0,0.9999433441423672,5.665585763280902e-05,5.0
30,0,0.9999433441423672,5.665585763280902e-05,5.0
31,0,0.9999433441423672,5.665585763280902e-05,5.0
32,0,0.9999433441423672,5.665585763280902e-05,5.0
33,0,0.9999433441423672,5.665585763280902e-05,5.0
