t,observation_deviant,q_standard,q_deviant,precision
0,0,0.9242800439345733,0.07571995606542661,0.65
1,0,0.9333655193235166,0.06663448067648339,0.65
2,0,0.9367023337400839,0.06329766625991602,0.65
3,0,0.9379194130042121,0.0620805869957879,0.65
4,0,0.9383622153637061,0.0616377846362938,0.65
5,0,0.9385231694513784,0.06147683054862164,0.65
6,0,0.9385816550619281,0.061418344938071835,0.65
7,0,0.9386029042982688,0.061397095701731144,0.65
8,0,0.9386106243190822,0.06138937568091783,0.65
9,0,0.9386134290206443,0.06138657097935576,0.65
10,1,0.6804799999597072,0.31952000004029285,0.65
11,0,0.8292143171197129,0.17078568288028703,0.65
12,0,0.8963098476657624,0.10369015233423759,0.65
13,0,0.9228773316444423,0.07712266835555762,0.65
14,0,0.932847331495652,0.06715266850434795,0.65
15,0,0.9365129241149202,0.06348707588507992,0.65
16,0,0.9378504476075027,0.06214955239249727,0.65
17,0,0.9383371400545906,0.061662859945409376,0.65
18,0,0.9385140569416357,0.061485943058364384,0.65
19,0,0.9385783441430225,0.06142165585697747,0.65
20,1,0.6804319017856897,0.31956809821431026,0.65
21,0,0.8291905364398355,0.17080946356016438,0.65
22,0,0.8963000592374688,0.10369994076253118,0.65
23,0,0.9228736030390176,0.0771263969609824,0.65
24,0,0.9328459529989738,0.06715404700102626,0.65
25,0,0.9365124200972598,0.06348757990274022,0.65
26,0,0.9378502640717741,0.06214973592822588,0.65
27,0,0.9383370733198011,0.06166292668019885,0.65
28,0,0.9385140326894968,0.061485967310503195,0.65
29,0,0.9385783353312602,0.061421664668739884,0.65
30,0,0.9386016981966596,0.06139830180334037,0.65
31,0,0.9386101861373919,0.06138981386260815,0.65
32,0,0.9386132698288556,0.061386730171144335,0.65
33,0,0.9386143901350029,0.061385609864997165,0.65
