t,meta_state,true_attn,obs_attn,q_focused,q_distracted,q_deviant,gamma_l1,gamma_l2,policy,p_refocus,score_maintain,score_refocus,aware,forced_distractor
0,high,0,0,0.9828382884602892,0.017161711539710706,0.00012527369508799402,4.925346554802258,1.5,maintain,3.1310301490840127e-16,0.8112341624432822,5.273734089491787,False,False
1,high,0,0,0.9928354861782898,0.007164513821710279,5.9433621174105e-05,4.968834364875561,1.5,maintain,1.4807093008131722e-16,0.7149810958999201,5.271086128103621,False,False
2,high,0,0,0.9943314364648128,0.005668563535187101,5.881567383507407e-05,4.975341748621935,1.5,maintain,1.3237478084996634e-16,0.7005780795211385,5.270689895208258,False,False
3,high,0,0,0.9945531887885998,0.0054468112114001675,5.872938946558201e-05,4.976306371230409,1.5,maintain,1.3019414689381487e-16,0.6984430471070875,5.270631159589769,False,False
4,high,0,0,0.9945860142469436,0.005413985753056304,5.87166304660464e-05,4.976449161974204,1.5,maintain,1.2987441961650722e-16,0.6981270034401106,5.270622465098702,False,False
5,high,0,0,0.994590872311757,0.005409127688243069,5.871474241527248e-05,4.976470294556143,1.5,maintain,1.2982716773030427e-16,0.6980802299692911,5.270621178341313,False,False
6,high,0,0,0.994591591268022,0.005408408731977944,5.8714463003517315e-05,4.976473422015896,1.5,maintain,1.298201762747309e-16,0.6980733078549968,5.270620987911105,False,False
7,high,0,0,0.9945916976675415,0.005408302332458446,5.871442165302743e-05,4.976473884853806,1.5,maintain,1.2981914162971086e-16,0.6980722834399238,5.270620959729026,False,False
8,high,0,0,0.9945917134137708,0.005408286586229248,5.871441553350703e-05,4.976473953349903,1.5,maintain,1.2981898851169754e-16,0.698072131835155,5.270620955558316,False,False
9,high,0,0,0.9945917157440793,0.005408284255920704,5.871441462786997e-05,4.976473963486745,1.5,maintain,1.2981896585154288e-16,0.6980721093989333,5.270620954941087,False,False
10,high,1,1,0.8049307086273306,0.19506929137266937,0.983670791695197,4.151448582528888,1.5,maintain,1.919437279490861e-10,2.524129175952661,5.320856534735752,False,True
11,high,1,1,0.3584543486005961,0.6415456513994039,0.2158180069696814,2.209276416412593,1.5,refocus,0.9999844203001321,6.82280566549666,5.439114890269782,True,False
12,high,0,0,0.799100401411872,0.2008995985881281,0.0007183909897491293,4.1260867461416435,1.5,maintain,2.9705634734419704e-10,2.5802634011833323,5.322400810324088,False,False
13,high,0,0,0.9601779054248625,0.03982209457513754,7.410736000858422e-05,4.826773888598152,1.5,maintain,1.7094209050232536e-15,1.0294084366481209,5.2797361533712275,False,False
14,high,0,0,0.9893518051223429,0.010648194877657044,6.0787427595753875e-05,4.953680352282192,1.5,maintain,1.9221928040273297e-16,0.7485219934546563,5.272008851969352,False,False
15,high,0,0,0.9938129280257731,0.00618707197422686,5.901787400151475e-05,4.973086236912113,1.5,maintain,1.3761721982174784e-16,0.7055702812054493,5.270827232726704,False,False
16,high,0,0,0.9944763889089441,0.005523611091055997,5.875925198137709e-05,4.975972291753907,1.5,maintain,1.309452732873292e-16,0.6991824767088173,5.270651501601768,False,False
17,high,0,0,0.9945746470902342,0.005425352909765865,5.872104846855916e-05,4.976399714842519,1.5,maintain,1.299850492855069e-16,0.6982364464782538,5.2706254759216264,False,False
18,high,0,0,0.9945891900376594,0.005410809962340524,5.8715396211594894e-05,4.976462976663819,1.5,maintain,1.2984352839503797e-16,0.6980964269121961,5.270621623925863,False,False
19,high,0,0,0.9945913423050259,0.005408657694974155,5.871455975916287e-05,4.976472339026863,1.5,maintain,1.2982259726078112e-16,0.6980757048718926,5.270621053854025,False,False
20,high,0,0,0.9945916608231127,0.005408339176887388,5.871443597202845e-05,4.97647372458054,1.5,maintain,1.298194999095771e-16,0.6980726381782585,5.270620969488023,False,False
21,high,0,0,0.9945917079611071,0.005408292038892875,5.871441765259758e-05,4.976473929630816,1.5,maintain,1.2981904153395978e-16,0.698072184333426,5.270620957002565,False,False
22,high,0,0,0.9945917149371313,0.005408285062868726,5.871441494147742e-05,4.976473959976521,1.5,maintain,1.298189736983855e-16,0.6980721171682327,5.270620955154824,False,False
23,high,0,0,0.9945917159695238,0.005408284030476254,5.871441454025454e-05,4.976473964467429,1.5,maintain,1.298189636592992e-16,0.6980721072283531,5.270620954881373,False,False
24,high,0,0,0.994591716122309,0.005408283877690915,5.871441448087706e-05,4.976473965132044,1.5,maintain,1.2981896217359918e-16,0.6980721057573351,5.270620954840905,False,False
25,high,0,0,0.99459171614492,0.005408283855079978,5.871441447208967e-05,4.976473965230402,1.5,maintain,1.2981896195372856e-16,0.6980721055396371,5.270620954834916,False,False
26,high,0,0,0.9945917161482662,0.005408283851733752,5.871441447078918e-05,4.976473965244958,1.5,maintain,1.298189619211893e-16,0.6980721055074195,5.27062095483403,False,False
27,high,0,0,0.9945917161487614,0.005408283851238538,5.8714414470596774e-05,4.976473965247112,1.5,maintain,1.298189619163743e-16,0.6980721055026516,5.270620954833898,False,False
28,high,0,0,0.9945917161488348,0.005408283851165252,5.8714414470568205e-05,4.976473965247432,1.5,maintain,1.2981896191566218e-16,0.6980721055019461,5.270620954833879,False,False
29,high,0,0,0.9945917161488457,0.0054082838511544055,5.871441447056398e-05,4.976473965247479,1.5,maintain,1.298189619155561e-16,0.6980721055018415,5.270620954833876,False,False
30,high,0,0,0.9945917161488472,0.005408283851152801,5.871441447056343e-05,4.976473965247485,1.5,maintain,1.2981896191554042e-16,0.6980721055018262,5.270620954833876,False,False
31,high,0,0,0.9945917161488473,0.005408283851152562,5.871441447056336e-05,4.976473965247486,1.5,maintain,1.2981896191553766e-16,0.698072105501824,5.270620954833876,False,False
32,high,0,0,0.9945917161488476,0.005408283851152528,5.871441447056328e-05,4.976473965247487,1.5,maintain,1.2981896191553672e-16,0.6980721055018235,5.270620954833876,False,False
33,high,0,0,0.9945917161488476,0.0054082838511525224,5.871441447056328e-05,4.976473965247487,1.5,maintain,1.2981896191553672e-16,0.6980721055018235,5.270620954833876,False,False
