meta_state,gamma_min,gamma_max,gamma_l2_lr,policy_horizon,stable,dwell_times,precision_sign_changes,precision_amplitude,mean_dwell,max_dwell,refocus_count,policy_switches,gamma_l2_min,gamma_l2_max
high,0.3,6.0,0.0,1,True,6;1;1,0,0.0,2.6666666666666665,6.0,0,0,0.3,0.3
low,0.3,6.0,0.0,1,True,1;1;1,0,0.0,1.0,1.0,0,0,6.0,6.0
high,0.3,6.0,0.0,3,True,6;3;5,0,0.0,4.666666666666667,6.0,3,6,0.3,0.3
low,0.3,6.0,0.0,3,True,1;1;1,0,0.0,1.0,1.0,3,6,6.0,6.0
high,0.3,6.0,0.0,5,True,6;3;5,0,0.0,4.666666666666667,6.0,15,6,0.3,0.3
low,0.3,6.0,0.0,5,True,1;1;1,0,0.0,1.0,1.0,3,6,6.0,6.0
high,0.3,6.0,0.0,8,True,6;3;5,0,0.0,4.666666666666667,6.0,24,4,0.3,0.3
low,0.3,6.0,0.0,8,True,1;1;1,0,0.0,1.0,1.0,3,6,6.0,6.0
high,0.3,6.0,0.0,12,True,6;3;5,0,0.0,4.666666666666667,6.0,32,1,0.3,0.3
low,0.3,6.0,0.0,12,True,1;1;1,0,0.0,1.0,1.0,3,6,6.0,6.0
high,0.3,6.0,0.3,1,True,1;1;1,0,4.699997905320905,1.0,1.0,0,0,0.3,4.999997905320905
low,0.3,6.0,0.3,1,True,3;1;1,0,5.149997704766523,1.6666666666666667,3.0,0,0,0.8500022952334768,6.0
high,0.3,6.0,0.3,3,True,1;1;1,0,4.699997905320905,1.0,1.0,3,6,0.3,4.999997905320905
low,0.3,6.0,0.3,3,True,3;3;3,0,5.149997704766523,3.0,3.0,3,6,0.8500022952334768,6.0
high,0.3,6.0,0.3,5,True,1;1;1,0,4.699997905320905,1.0,1.0,3,6,0.3,4.999997905320905
low,0.3,6.0,0.3,5,True,3;3;3,0,5.149997704766523,3.0,3.0,9,6,0.8500022952334768,6.0
high,0.3,6.0,0.3,8,True,1;1;1,0,4.699997905320905,1.0,1.0,3,6,0.3,4.999997905320905
low,0.3,6.0,0.3,8,True,3;3;3,0,5.149997704766523,3.0,3.0,9,6,0.8500022952334768,6.0
high,0.3,6.0,0.3,12,True,1;1;1,0,4.699997905320905,1.0,1.0,3,6,0.3,4.999997905320905
low,0.3,6.0,0.3,12,True,3;3;3,0,5.149997704766523,3.0,3.0,15,6,0.8500022952334768,6.0
high,0.3,6.0,0.8,1,True,1;1;1,0,4.7,1.0,1.0,0,0,0.3,5.0
low,0.3,6.0,0.8,1,True,3;1;1,0,5.15,1.6666666666666667,3.0,0,0,0.85,6.0
high,0.3,6.0,0.8,3,True,1;1;1,0,4.7,1.0,1.0,3,6,0.3,5.0
low,0.3,6.0,0.8,3,True,3;3;3,0,5.15,3.0,3.0,3,6,0.85,6.0
high,0.3,6.0,0.8,5,True,1;1;1,0,4.7,1.0,1.0,3,6,0.3,5.0
low,0.3,6.0,0.8,5,True,3;3;3,0,5.15,3.0,3.0,9,6,0.85,6.0
high,0.3,6.0,0.8,8,True,1;1;1,0,4.7,1.0,1.0,3,6,0.3,5.0
low,0.3,6.0,0.8,8,True,3;3;3,0,5.15,3.0,3.0,9,6,0.85,6.0
high,0.3,6.0,0.8,12,True,1;1;1,0,4.7,1.0,1.0,3,6,0.3,5.0
low,0.3,6.0,0.8,12,True,3;3;3,0,5.15,3.0,3.0,15,6,0.85,6.0
high,0.3,6.0,1.2,1,False,1;1;1,12,5.64,1.0,1.0,0,0,0.3,5.9399999999999995
low,0.3,6.0,1.2,1,False,3;1;1,12,5.7,1.6666666666666667,3.0,0,0,0.3,6.0
high,0.3,6.0,1.2,3,False,1;1;1,12,5.64,1.0,1.0,3,6,0.3,5.9399999999999995
low,0.3,6.0,1.2,3,False,3;3;3,12,5.7,3.0,3.0,3,6,0.3,6.0
high,0.3,6.0,1.2,5,False,1;1;1,12,5.64,1.0,1.0,3,6,0.3,5.9399999999999995
low,0.3,6.0,1.2,5,False,3;3;3,12,5.7,3.0,3.0,9,6,0.3,6.0
high,0.3,6.0,1.2,8,False,1;1;1,12,5.64,1.0,1.0,3,6,0.3,5.9399999999999995
low,0.3,6.0,1.2,8,False,3;3;3,12,5.7,3.0,3.0,9,6,0.3,6.0
high,0.3,6.0,1.2,12,False,1;1;1,12,5.64,1.0,1.0,3,6,0.3,5.9399999999999995
low,0.3,6.0,1.2,12,False,3;3;3,12,5.7,3.0,3.0,15,6,0.3,6.0
high,0.3,6.0,1.8,1,False,1;1;1,40,5.7,1.0,1.0,0,0,0.3,6.0
low,0.3,6.0,1.8,1,False,3;1;1,40,5.7,1.6666666666666667,3.0,0,0,0.3,6.0
high,0.3,6.0,1.8,3,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,1.8,3,False,3;3;3,40,5.7,3.0,3.0,3,6,0.3,6.0
high,0.3,6.0,1.8,5,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,1.8,5,False,3;3;3,40,5.7,3.0,3.0,9,6,0.3,6.0
high,0.3,6.0,1.8,8,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,1.8,8,False,3;3;3,40,5.7,3.0,3.0,9,6,0.3,6.0
high,0.3,6.0,1.8,12,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,1.8,12,False,3;3;3,40,5.7,3.0,3.0,15,6,0.3,6.0
high,0.3,6.0,2.2,1,False,1;1;1,40,5.7,1.0,1.0,0,0,0.3,6.0
low,0.3,6.0,2.2,1,False,3;1;1,40,5.7,1.6666666666666667,3.0,0,0,0.3,6.0
high,0.3,6.0,2.2,3,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.2,3,False,3;3;3,40,5.7,3.0,3.0,6,6,0.3,6.0
high,0.3,6.0,2.2,5,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.2,5,False,3;3;3,40,5.7,3.0,3.0,9,6,0.3,6.0
high,0.3,6.0,2.2,8,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.2,8,False,3;3;3,40,5.7,3.0,3.0,18,6,0.3,6.0
high,0.3,6.0,2.2,12,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.2,12,False,3;3;3,40,5.7,3.0,3.0,18,6,0.3,6.0
high,0.3,6.0,2.8,1,False,1;1;1,40,5.7,1.0,1.0,0,0,0.3,6.0
low,0.3,6.0,2.8,1,False,3;1;1,40,5.7,1.6666666666666667,3.0,0,0,0.3,6.0
high,0.3,6.0,2.8,3,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.8,3,False,3;3;3,40,5.7,3.0,3.0,6,6,0.3,6.0
high,0.3,6.0,2.8,5,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.8,5,False,3;3;3,40,5.7,3.0,3.0,12,6,0.3,6.0
high,0.3,6.0,2.8,8,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.8,8,False,3;3;3,40,5.7,3.0,3.0,18,6,0.3,6.0
high,0.3,6.0,2.8,12,False,1;1;1,40,5.7,1.0,1.0,3,6,0.3,6.0
low,0.3,6.0,2.8,12,False,3;3;3,40,5.7,3.0,3.0,18,6,0.3,6.0
high,0.5,8.0,0.0,1,True,4;1;1,0,0.0,2.0,4.0,0,0,0.5,0.5
low,0.5,8.0,0.0,1,True,1;1;1,0,0.0,1.0,1.0,0,0,8.0,8.0
high,0.5,8.0,0.0,3,True,4;4;4,0,0.0,4.0,4.0,3,6,0.5,0.5
low,0.5,8.0,0.0,3,True,1;1;1,0,0.0,1.0,1.0,3,6,8.0,8.0
high,0.5,8.0,0.0,5,True,4;4;4,0,0.0,4.0,4.0,9,6,0.5,0.5
low,0.5,8.0,0.0,5,True,1;1;1,0,0.0,1.0,1.0,3,6,8.0,8.0
high,0.5,8.0,0.0,8,True,4;4;4,0,0.0,4.0,4.0,15,6,0.5,0.5
low,0.5,8.0,0.0,8,True,1;1;1,0,0.0,1.0,1.0,3,6,8.0,8.0
high,0.5,8.0,0.0,12,True,4;4;4,0,0.0,4.0,4.0,24,6,0.5,0.5
low,0.5,8.0,0.0,12,True,1;1;1,0,0.0,1.0,1.0,3,6,8.0,8.0
high,0.5,8.0,0.3,1,True,1;1;1,0,4.499997994456185,1.0,1.0,0,0,0.5,4.999997994456185
low,0.5,8.0,0.3,1,True,3;1;1,0,7.149996813413717,1.6666666666666667,3.0,0,0,0.8500031865862834,8.0
high,0.5,8.0,0.3,3,True,1;1;1,0,4.499997994456185,1.0,1.0,3,6,0.5,4.999997994456185
low,0.5,8.0,0.3,3,True,3;3;3,0,7.149996813413717,3.0,3.0,3,6,0.8500031865862834,8.0
high,0.5,8.0,0.3,5,True,1;1;1,0,4.499997994456185,1.0,1.0,3,6,0.5,4.999997994456185
