arm,omega,kappa,n_seeds,mean_potential_aversive_count,mean_delivered_aversive_count,mean_suppressed_aversive_count,mean_exposure_rate,mean_successful_relief_action_count,mean_policy_approach_count,mean_policy_flee_count,mean_policy_appease_count,mean_policy_attenuate_count,potential_after_approach_count,exposed_after_approach_count,exposure_rate_after_approach,potential_after_flee_count,exposed_after_flee_count,exposure_rate_after_flee,potential_after_appease_count,exposed_after_appease_count,exposure_rate_after_appease,potential_after_attenuate_count,exposed_after_attenuate_count,exposure_rate_after_attenuate,exposure_accounting_error
closed_loop,0.2,0.0,20,29.9,29.2,0.7,0.9761062367549437,2.3,40.8,53.85,54.9,50.45,120,118,0.9833333333333333,180,173,0.9611111111111111,139,134,0.9640287769784173,157,157,1.0,-6.661338147750939e-16
closed_loop,0.2,0.1,20,29.9,26.7,3.2,0.8938693027917166,7.2,0.3,134.45,40.15,25.1,1,1,1.0,418,357,0.854066985645933,105,102,0.9714285714285714,72,72,1.0,-8.881784197001252e-16
closed_loop,0.2,0.2,20,29.9,24.55,5.35,0.8247104433720814,12.6,0.3,187.75,11.95,0.0,1,1,1.0,565,458,0.8106194690265487,30,30,1.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.2,0.3,20,29.9,23.6,6.3,0.7936502017299432,14.9,0.3,179.85,19.85,0.0,1,1,1.0,541,416,0.7689463955637708,54,53,0.9814814814814815,0,0,0.0,-2.6645352591003757e-15
closed_loop,0.2,0.4,20,29.9,22.8,7.1,0.767570829713071,17.2,0.3,190.15,9.55,0.0,1,1,1.0,569,428,0.7521968365553603,26,25,0.9615384615384616,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.2,0.5,20,29.9,22.35,7.55,0.7527120334167748,18.65,0.3,199.7,0.0,0.0,1,1,1.0,595,444,0.746218487394958,0,0,0.0,0,0,0.0,-2.6645352591003757e-15
closed_loop,0.2,0.6,20,29.9,22.0,7.9,0.7418505916178331,19.6,0.3,199.7,0.0,0.0,1,1,1.0,595,437,0.7344537815126051,0,0,0.0,0,0,0.0,-1.7763568394002505e-15
closed_loop,0.2,0.7,20,29.9,21.7,8.2,0.7318587917510331,20.5,0.3,199.7,0.0,0.0,1,1,1.0,595,431,0.7243697478991596,0,0,0.0,0,0,0.0,0.0
closed_loop,0.2,0.8,20,29.9,21.45,8.45,0.7235060162538611,20.9,0.3,199.7,0.0,0.0,1,1,1.0,595,426,0.7159663865546219,0,0,0.0,0,0,0.0,0.0
closed_loop,0.2,0.9,20,29.9,21.45,8.45,0.7235060162538611,20.9,0.3,199.7,0.0,0.0,1,1,1.0,595,426,0.7159663865546219,0,0,0.0,0,0,0.0,0.0
closed_loop,0.2,1.0,20,29.9,21.45,8.45,0.7235060162538611,20.9,0.3,199.7,0.0,0.0,1,1,1.0,595,426,0.7159663865546219,0,0,0.0,0,0,0.0,0.0
