seed,history_length,matches,posterior_mean_association,posterior_absolute_deviation_from_zero,credible_interval_lower,credible_interval_upper,credible_interval_covers_zero,maximum_untreated_transfer,floor_violation
50000,20,9,0.45454545454545453,0.04545454545454547,0.25453031269986576,0.6646647422963556,1,0.03167054004798886,1
50001,20,12,0.5909090909090909,0.09090909090909094,0.3803782059512564,0.7825954705673052,1,0.0630196123831872,1
50002,20,10,0.5,0.0,0.30441066977645165,0.7003789764986221,1,0.0,0
50003,20,11,0.5454545454545454,0.045454545454545414,0.34118973662512175,0.7377902710542306,1,0.03167054004798864,1
50004,20,7,0.36363636363636365,0.13636363636363635,0.17958173179117767,0.5728708147631412,1,0.09373729243406931,1
50005,20,15,0.7272727272727273,0.2272727272727273,0.5330355068426771,0.8875113229138842,0,0.15215898301816977,1
50006,20,12,0.5909090909090909,0.09090909090909094,0.3759191899551187,0.7758119816656439,1,0.0630196123831872,1
50007,20,14,0.6818181818181818,0.18181818181818177,0.4846014017850791,0.8533595491724164,1,0.12353588229284962,1
50008,20,9,0.45454545454545453,0.04545454545454547,0.25397136609644755,0.6631727488594966,1,0.03167054004798886,1
50009,20,12,0.5909090909090909,0.09090909090909094,0.3868897147312182,0.7870454150731149,1,0.0630196123831872,1
50010,20,11,0.5454545454545454,0.045454545454545414,0.34048929479927326,0.7422205168521016,1,0.03167054004798864,1
50011,20,13,0.6363636363636364,0.13636363636363635,0.43346965768543316,0.8122931860313191,1,0.09373729243406925,1
50012,20,9,0.45454545454545453,0.04545454545454547,0.2573223177929098,0.6585001397818496,1,0.03167054004798886,1
50013,20,12,0.5909090909090909,0.09090909090909094,0.38238712702963645,0.7794131173995805,1,0.0630196123831872,1
50014,20,8,0.4090909090909091,0.09090909090909088,0.2177831211703139,0.6166811851073479,1,0.06301961238318693,1
50015,20,9,0.45454545454545453,0.04545454545454547,0.2632540505096925,0.6493069418971356,1,0.03167054004798886,1
50016,20,10,0.5,0.0,0.3020251482933517,0.6973049399711503,1,0.0,0
50017,20,9,0.45454545454545453,0.04545454545454547,0.2559685465677894,0.6599834076222055,1,0.03167054004798886,1
50018,20,9,0.45454545454545453,0.04545454545454547,0.2581327006184123,0.6618698906419201,1,0.03167054004798886,1
