seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,event_count,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63000,periodic,16,early,0,0.0,3,-0.9595345515632607,0.0,0.21665079766594453,0.05569129846871945
63001,jittered,16,early,0,0.75,3,-1.3230350009893581,0.0,0.1325384879381872,0.08340153305926667
63002,bernoulli,16,early,0,0.25,3,-2.670284837383924,0.0,0.1316867272938936,0.04964773440407125
63003,clustered,16,early,0,1.0,3,-0.7534249205122799,0.0,0.19913390840659673,0.06646019243234347
63004,periodic,32,early,0,0.5,5,-6.067038765384148,0.0,0.23936906890659437,0.06643019512108495
63005,jittered,32,early,0,0.0,5,-2.8442617330522393,0.0,0.4187525875477491,0.08327684094949228
63006,bernoulli,32,early,0,0.75,5,-2.631214069430101,0.0,0.1170827884456157,0.09260322390282855
63007,clustered,32,early,0,0.25,5,-4.626262176286538,0.0,0.1224749808536784,0.04550845225031991
63008,periodic,64,early,0,1.0,10,-6.26331286489902,0.0,0.28024527701470925,0.06600233005780398
63009,jittered,64,early,0,0.5,10,-8.863937569513288,0.0,0.030640605947285106,0.0738782786829229
63010,bernoulli,64,early,0,0.0,10,-6.64107301173225,0.0,0.5670024244301332,0.08814469917062848
63011,clustered,64,early,0,0.75,10,-9.89046959597001,0.0,0.05695186177279024,0.04166567136630625
63012,periodic,80,early,0,0.25,13,-7.3200109941540985,0.0,0.5863110656143881,0.1133766640654395
63013,jittered,80,early,0,1.0,13,-7.3256547873506,0.0,0.8067870552511363,0.1299329260534351
63014,bernoulli,80,early,0,0.5,13,-11.753488503755834,0.0,0.008285548228540128,0.03494465815546835
63015,clustered,80,early,0,0.0,13,-10.502861848321693,0.0,0.7512164995620197,0.08630153132031326
63016,periodic,16,middle,0,0.75,3,-1.958366006660565,0.0,0.3154403012043593,0.06481152433778792
63017,jittered,16,middle,0,0.25,3,-0.884265671647537,0.0,0.11820599413979027,0.06442274132275283
63018,bernoulli,16,middle,0,1.0,3,-1.9840487858893643,0.0,0.21992738096923187,0.061069772045989845
63019,clustered,16,middle,0,0.5,3,0.6896410634213268,0.0,0.2076766373803381,0.08095667776269255
63020,periodic,32,middle,0,0.0,5,-4.895665150877035,0.0,0.1567737547112077,0.055303944628311036
63021,jittered,32,middle,0,0.75,5,-2.481760902670622,0.0,0.075460016695607,0.050631482377336556
63022,bernoulli,32,middle,0,0.25,5,-4.032059528562537,0.0,0.07561212307752391,0.07010467231511841
63023,clustered,32,middle,0,1.0,5,-4.588986317553266,0.0,0.22478613340955325,0.13869910897188847
63024,periodic,64,middle,0,0.5,10,-1.6282832857486347,0.0,0.2267658287722867,0.1449120331543744
63025,jittered,64,middle,0,0.0,10,-2.1487280137795493,0.0,0.0476218763079956,0.0634686381579781
63026,bernoulli,64,middle,0,0.75,10,-1.7617065456348044,0.0,0.14815494281162012,0.08985506142975408
63027,clustered,64,middle,0,0.25,10,-6.447449793082929,0.0,0.852838320388902,0.17363751953956535
63028,periodic,80,middle,0,1.0,13,-8.589038894534983,0.0,0.33856282929857784,0.09601409836719665
63029,jittered,80,middle,0,0.5,13,-4.05576652152402,0.0,0.3564018132047041,0.21666854572288674
63030,bernoulli,80,middle,0,0.0,13,-12.016692561570467,0.0,0.025027930784492128,0.10944104397591417
63031,clustered,80,middle,0,0.75,13,-6.919783216907069,0.0,0.5017321624193608,0.16827200739682702
63032,periodic,16,late,0,0.25,3,-1.2859846340623844,0.0,0.16085083711810555,0.06231967909910208
63033,jittered,16,late,0,1.0,3,-1.3605022554174506,0.0,0.20110765360523375,0.06520811365003187
63034,bernoulli,16,late,0,0.5,3,-1.5546025118291809,0.0,0.4042130747067898,0.08729329256479024
63035,clustered,16,late,0,0.0,3,0.6076480190006947,0.0,0.12802946844388982,0.045610345544414815
63036,periodic,32,late,0,0.75,5,0.40888130501607395,0.0,0.8936858088560815,0.12781126165437884
63037,jittered,32,late,0,0.25,5,-4.454860429299513,0.0,0.10315107594125358,0.04667004213041992
63038,bernoulli,32,late,0,1.0,5,-1.1471189562849726,0.0,0.20590289937005202,0.06561725194870671
63039,clustered,32,late,0,0.5,5,-5.872710597933845,0.0,0.0891438785061492,0.03494465815546835
63040,periodic,64,late,0,0.0,10,-9.368301725431214,0.0,0.015398941717211435,0.0898208492061286
63041,jittered,64,late,0,0.75,10,-7.523810319465149,0.0,0.5201725298841093,0.09401052752066869
63042,bernoulli,64,late,0,0.25,10,-5.108383225950291,0.0,0.1615963369220315,0.08703169535310831
63043,clustered,64,late,0,1.0,10,-2.205813223794911,0.0,0.7152611912213859,0.08877340230673586
63044,periodic,80,late,0,0.5,13,-6.5973166299374295,0.0,0.175703706234692,0.08196035857289657
63045,jittered,80,late,0,0.0,13,-6.2263208926144635,0.0,0.7081445232273909,0.09508996948447768
63046,bernoulli,80,late,0,0.75,13,-5.884816591466562,0.0,0.3643376986324447,0.21918575633965393
63047,clustered,80,late,0,0.25,13,-9.870099761002303,0.0,0.3002040519253987,0.07398092498799824
63048,periodic,16,early,1,1.0,4,-0.5316737163526107,0.36459807971391744,0.23001726841091122,0.20295591817546937
63049,jittered,16,early,1,0.5,4,0.17603001021293735,0.36459807971391744,0.8121371606115393,0.1631901743165043
63050,bernoulli,16,early,1,0.0,4,-1.2718736290748627,0.36459807971391744,0.24051130378487032,0.26883479612253897
63051,clustered,16,early,1,0.75,4,-0.536698143144605,0.36459807971391744,0.20335944718680982,0.06575058383907831
63052,periodic,32,early,1,0.25,6,-0.895141334877126,0.36459807971391744,0.1391980302995789,0.1119597799744167
63053,jittered,32,early,1,1.0,6,-3.363915122932561,0.36459807971391744,0.2299367957847541,0.0669837864456833
63054,bernoulli,32,early,1,0.5,6,-2.519065334956585,0.36459807971391744,0.14562914732842186,0.19808042114512445
63055,clustered,32,early,1,0.0,6,-2.781059375475478,0.36459807971391744,0.46384894154095835,0.3096709099084123
63056,periodic,64,early,1,0.75,11,-9.975811003117354,-1.3690770657517568,0.4111942644346842,0.16098523416182464
63057,jittered,64,early,1,0.25,11,-7.601251893878277,0.36459807971391744,0.6882775898682746,0.26369766745479484
63058,bernoulli,64,early,1,1.0,11,-5.347611738005522,0.36459807971391744,0.28632086110237137,0.0881455516723649
63059,clustered,64,early,1,0.5,11,-4.955814961909932,0.36459807971391744,0.03172908677901039,0.13961770489667852
63060,periodic,80,early,1,0.0,14,-11.238514202372993,0.36459807971391744,0.09038893307815049,0.18100984776686735
63061,jittered,80,early,1,0.75,14,-6.260861597452475,0.36459807971391744,0.5010861924371305,0.19352152097726816
63062,bernoulli,80,early,1,0.25,14,-7.376841540858263,0.36459807971391744,0.05028684492836864,0.11377571589260366
63063,clustered,80,early,1,1.0,14,0.4315615466883303,-1.3690770657517568,0.3004737651460739,0.08568926418018386
63064,periodic,16,middle,1,0.5,4,-2.831442419528238,0.36459807971391744,0.19533149494256472,0.048549900200194396
63065,jittered,16,middle,1,0.0,4,-2.2754041197524213,0.36459807971391744,0.579140565324775,0.29934789097740505
63066,bernoulli,16,middle,1,0.75,4,-1.7713398400230234,0.36459807971391744,0.2936953410012234,0.11652052004815983
63067,clustered,16,middle,1,0.25,4,-1.9817780105567777,0.36459807971391744,0.0795643495007535,0.05521606738586643
63068,periodic,32,middle,1,1.0,6,-4.02298604869961,0.36459807971391744,0.14140217392219112,0.048627896852877744
63069,jittered,32,middle,1,0.5,6,-3.878292998067324,0.36459807971391744,0.6961146271687418,0.23478848169071553
63070,bernoulli,32,middle,1,0.0,6,-4.082533333258972,0.36459807971391744,0.3358804737867197,0.21483042190134477
63071,clustered,32,middle,1,0.75,6,-0.3020638990947357,0.36459807971391744,0.4438948698226971,0.24667688475954247
63072,periodic,64,middle,1,0.25,11,-5.913652527380989,0.36459807971391744,0.28201713720180666,0.088705790282671
63073,jittered,64,middle,1,1.0,11,-3.171123107248029,0.36459807971391744,0.046241881113119866,0.10807369204154868
63074,bernoulli,64,middle,1,0.5,11,-3.3463142606070866,0.36459807971391744,0.35317457413518044,0.17316959641025842
63075,clustered,64,middle,1,0.0,11,-3.675366780097301,0.36459807971391744,0.3567223919825929,0.249876380515863
63076,periodic,80,middle,1,0.75,14,-7.157214278777596,0.36459807971391744,0.2647248328201476,0.11393180095839617
63077,jittered,80,middle,1,0.25,14,-10.685016944506726,0.36459807971391744,0.17058862541679334,0.26931935742185803
63078,bernoulli,80,middle,1,1.0,14,-5.484709488206385,0.36459807971391744,0.30175315888744253,0.13274596329248506
63079,clustered,80,middle,1,0.5,14,-5.791813249668645,0.36459807971391744,0.09056982955873005,0.13646816396927403
63080,periodic,16,late,1,0.0,4,-1.6236545271942529,0.36459807971391744,0.3127893143147307,0.11354541885738823
63081,jittered,16,late,1,0.75,4,-1.112536860510307,0.36459807971391744,0.3284562651322943,0.07083855433992176
63082,bernoulli,16,late,1,0.25,4,-1.9660421864957152,0.36459807971391744,0.20277017454379132,0.05569176748828397
63083,clustered,16,late,1,1.0,4,-0.7852498827185966,0.36459807971391744,0.23900198380846088,0.1813255407313169
63084,periodic,32,late,1,0.5,6,-0.28133681510355246,0.36459807971391744,0.07497808966869086,0.05668339879034673
63085,jittered,32,late,1,0.0,6,-1.9207358041236562,0.36459807971391744,0.07199378760364444,0.09466257175183668
63086,bernoulli,32,late,1,0.75,6,-2.697291765288185,0.36459807971391744,0.25480823667808306,0.2665088544494279
63087,clustered,32,late,1,0.25,6,-3.8044084990152274,-1.3690770657517568,0.054441564437124924,0.06097771605269378
63088,periodic,64,late,1,1.0,11,-3.8187135380858312,0.36459807971391744,0.033537867101484084,0.12268589989926787
63089,jittered,64,late,1,0.5,11,-7.815874636199239,0.36459807971391744,0.03432524560320654,0.03395701770359269
63090,bernoulli,64,late,1,0.0,11,-4.925674740811818,0.36459807971391744,0.42522162420106313,0.11550188809214143
63091,clustered,64,late,1,0.75,11,-4.361751942531525,0.36459807971391744,0.051860068137264764,0.060160070328560494
63092,periodic,80,late,1,0.25,14,-11.044739818313596,-1.3690770657517568,0.04084045909538718,0.0683973041706949
63093,jittered,80,late,1,1.0,14,-2.13086813443236,0.36459807971391744,0.292438380258464,0.09526761636108044
63094,bernoulli,80,late,1,0.5,14,-5.582153031165211,0.36459807971391744,0.030926325143612404,0.055026692776765695
63095,clustered,80,late,1,0.0,14,-8.832018110706853,0.36459807971391744,0.4982881889422479,0.16899364247851778
63096,periodic,16,early,3,0.75,6,-1.31096310721998,1.0937942391417523,0.27246721925102235,0.22342050133087354
63097,jittered,16,early,3,0.25,6,-1.0034965525131592,-0.6398809063239219,0.6417732662734001,0.19376644721932113
63098,bernoulli,16,early,3,1.0,6,-1.5565383741380794,-0.6398809063239219,0.2804956789665194,0.15782169018714898
63099,clustered,16,early,3,0.5,6,0.24409279333766837,1.0937942391417523,0.773977419204051,0.20598425925789907
63100,periodic,32,early,3,0.0,8,-0.9013413154251895,1.0937942391417523,0.23539124035330308,0.11469092257737212
63101,jittered,32,early,3,0.75,8,-2.9071363769781504,1.0937942391417523,0.9176539230152488,0.32583282793781065
63102,bernoulli,32,early,3,0.25,8,-1.7834835036298566,1.0937942391417523,0.583442205061109,0.19665709350863053
63103,clustered,32,early,3,1.0,8,-0.6173566480460503,-0.6398809063239219,0.19332284899657162,0.2778236323013497
63104,periodic,64,early,3,0.5,13,-6.483659216010472,1.0937942391417523,0.32078124542988695,0.31964594298355575
63105,jittered,64,early,3,0.0,13,-11.758155005338434,-0.6398809063239219,0.23959217584444192,0.08290579080680965
63106,bernoulli,64,early,3,0.75,13,-8.211956259358088,1.0937942391417523,0.13502010818012863,0.21708321453788487
63107,clustered,64,early,3,0.25,13,-6.985671331429201,1.0937942391417523,0.08601370602399355,0.2746368874192844
63108,periodic,80,early,3,1.0,16,-4.621156374660636,-0.6398809063239219,0.6224536958575715,0.17968691653454716
63109,jittered,80,early,3,0.5,16,-5.917671890897343,1.0937942391417523,0.14783071308760692,0.2962610837779447
