seed,regularity,run_length,acute_timing,acute_count,low_control_fraction,uncontrollability_log_evidence,cumulative_overwhelm_precision,final_persistent_probability,maximum_step
63000,periodic,16,early,0,0.0,-0.7768181198526255,0.0,0.39134806333247474,0.030033899613419568
63001,jittered,16,early,0,0.75,-0.004261521420091973,0.0,0.42544533277413804,0.027350621386077856
63002,bernoulli,16,early,0,0.25,-0.2383465853717082,0.0,0.43591515754154414,0.025770045652123375
63003,clustered,16,early,0,1.0,-0.4375902418162327,0.0,0.38585278894903435,0.023223149233551288
63004,periodic,32,early,0,0.5,-0.5602079244783656,0.0,0.48455439419273255,0.0373026819715796
63005,jittered,32,early,0,0.0,-3.308968674853168,0.0,0.17653653465833422,0.043810790368487174
63006,bernoulli,32,early,0,0.75,0.45369383735548857,0.0,0.6469689492249697,0.050739794079028844
63007,clustered,32,early,0,0.25,-1.5564999402723867,0.0,0.21819687154120535,0.0476901584591605
63008,periodic,64,early,0,1.0,2.702877120654304,0.0,0.9099671295063867,0.05190890758957756
63009,jittered,64,early,0,0.5,-1.8709767855352897,0.0,0.33741479593246126,0.054126966580035574
63010,bernoulli,64,early,0,0.0,-0.5072465458703034,0.0,0.6451483865546221,0.04980415507235364
63011,clustered,64,early,0,0.75,-2.386171116826162,0.0,0.26127537797803974,0.058060313921590945
63012,periodic,80,early,0,0.25,-3.1307780312618476,0.0,0.21962986004090268,0.05431922906743325
63013,jittered,80,early,0,1.0,2.629011558803572,0.0,0.9018379001936034,0.04777768357868806
63014,bernoulli,80,early,0,0.5,0.20024749285061344,0.0,0.4794634008035834,0.052326510032491586
63015,clustered,80,early,0,0.0,-2.1039905737142437,0.0,0.343175281720063,0.05072784713536213
63016,periodic,16,middle,0,0.75,-1.5350361733481444,0.0,0.2746582900475508,0.03925562927420134
63017,jittered,16,middle,0,0.25,-1.963929751258373,0.0,0.30470839294525304,0.05707577554470339
63018,bernoulli,16,middle,0,1.0,0.2124483178111299,0.0,0.41205124158892187,0.024997716194431308
63019,clustered,16,middle,0,0.5,-0.323482753888165,0.0,0.39865205070616727,0.022659759702541193
63020,periodic,32,middle,0,0.0,-3.470741516274478,0.0,0.19670547547871212,0.05139437381777323
63021,jittered,32,middle,0,0.75,-1.8051560192077916,0.0,0.26037635433999307,0.05285255140378248
63022,bernoulli,32,middle,0,0.25,-0.7425565817892199,0.0,0.46507791412531174,0.030041988614362802
63023,clustered,32,middle,0,1.0,1.3259074420708221,0.0,0.6525421137829484,0.050286606820508895
63024,periodic,64,middle,0,0.5,-1.080942714716714,0.0,0.4577276319794559,0.0425819942089799
63025,jittered,64,middle,0,0.0,-3.03970377054619,0.0,0.20510079096188275,0.0518161462568133
63026,bernoulli,64,middle,0,0.75,-1.5090443536873965,0.0,0.3690596008351726,0.03974991717364584
63027,clustered,64,middle,0,0.25,-1.8136031610253314,0.0,0.335603391040683,0.061785887362947545
63028,periodic,80,middle,0,1.0,0.0660720288809467,0.0,0.47597385034386513,0.04386872565237965
63029,jittered,80,middle,0,0.5,-2.4061920745054635,0.0,0.24806370285193746,0.052085139562726895
63030,bernoulli,80,middle,0,0.0,-3.098859821451839,0.0,0.18776485919294236,0.0530723076989188
63031,clustered,80,middle,0,0.75,-2.1086680558547672,0.0,0.28614112646332346,0.0500171171140113
63032,periodic,16,late,0,0.25,-1.325283730780395,0.0,0.3378495076887517,0.05057023377673259
63033,jittered,16,late,0,1.0,0.08769431041630839,0.0,0.4921157728505483,0.04562639795861162
63034,bernoulli,16,late,0,0.5,-1.5144600965839028,0.0,0.32131970638780266,0.05037767882885591
63035,clustered,16,late,0,0.0,-1.832843171656211,0.0,0.3046979214343771,0.0458085773724477
63036,periodic,32,late,0,0.75,-1.5746998754858572,0.0,0.3009734753263364,0.04788272244078756
63037,jittered,32,late,0,0.25,-1.0071067234975246,0.0,0.31607722915737385,0.04867411228820945
