seed,regularity,run_length,acute_timing,acute_count,low_final,high_final,low_minus_high,low_maximum_step,high_maximum_step
63600,periodic,16,early,1,0.33305473168235505,0.4356095193680644,-0.10255478768570936,0.048647676230205716,0.046803298662738024
63601,jittered,16,early,1,0.5420907900920077,0.4028029071844749,0.13928788290753275,0.057230961814511094,0.03219100747701825
63602,bernoulli,16,early,1,0.4503509143639264,0.33470167074007234,0.11564924362385404,0.055235393329158666,0.05707577554470339
63603,clustered,16,early,1,0.38923127579129546,0.1926508712138646,0.19658040457743087,0.040333059337935406,0.04879077613784483
63604,periodic,32,early,1,0.7250202376754341,0.1816581441945289,0.5433620934809053,0.05161133252694716,0.05010381635537908
63605,jittered,32,early,1,0.8743018822189403,0.3731411369004309,0.5011607453185094,0.06362854087896563,0.033271257725083214
63606,bernoulli,32,early,1,0.5918034891276336,0.2290189022088664,0.3627845869187672,0.038153443995061764,0.05495449149332629
63607,clustered,32,early,1,0.44233007442922395,0.10903570046370427,0.3332943739655197,0.044989790598117585,0.05155974931340451
63608,periodic,64,early,1,0.34603055265938965,0.2567918753003336,0.08923867735905605,0.056125902716423426,0.04304364151708645
63609,jittered,64,early,1,0.793828280385211,0.132454844741341,0.6613734356438701,0.057230961814511094,0.05409586013294676
63610,bernoulli,64,early,1,0.38583398454354184,0.20973518608738967,0.17609879845615217,0.05465369721515445,0.04792648822006751
63611,clustered,64,early,1,0.7474042612506892,0.2873857809933328,0.46001848025735637,0.05085053153395258,0.05900693468664159
63612,periodic,80,early,1,0.5854624001030638,0.22214253501349007,0.36331986508957376,0.04167692590379046,0.0513347828331602
63613,jittered,80,early,1,0.8638548718326085,0.2396221414094143,0.6242327304231942,0.057230961814511094,0.056467193641811214
63614,bernoulli,80,early,1,0.856508731234527,0.17709393984801422,0.6794147913865127,0.05347028896840733,0.057230961814511094
63615,clustered,80,early,1,0.7981116743075993,0.2229233627600577,0.5751883115475416,0.058883811950102394,0.06209733874087758
63616,periodic,16,middle,1,0.5808807596166912,0.28191609789268146,0.2989646617240097,0.054731538148224956,0.05045005997997504
63617,jittered,16,middle,1,0.37994159009846923,0.22110889578494616,0.15883269431352307,0.03343700364561847,0.04891875412519761
63618,bernoulli,16,middle,1,0.3826937039475944,0.27794990071222,0.10474380323537441,0.02735527128756965,0.03140953489888282
63619,clustered,16,middle,1,0.5061310465992955,0.27342095448912224,0.2327100921101733,0.048293246348998176,0.05094493715563231
63620,periodic,32,middle,1,0.7672364915438655,0.23752177940872587,0.5297147121351397,0.05861463751972679,0.05928625321648995
63621,jittered,32,middle,1,0.31859820526588867,0.21425285681347858,0.10434534845241009,0.03784053981582697,0.04087806741370062
63622,bernoulli,32,middle,1,0.7064631037733465,0.17148738312587503,0.5349757206474715,0.09020118590919446,0.05433067369838526
63623,clustered,32,middle,1,0.5888205446795509,0.2041226991971563,0.3846978454823946,0.04162174356635545,0.05754694696044571
63624,periodic,64,middle,1,0.26941031827465156,0.16433615751281314,0.10507416076183843,0.05142726095219252,0.05328483543328874
63625,jittered,64,middle,1,0.7129990040832137,0.2495430326969022,0.4634559713863115,0.05087678200721035,0.049061083014727
63626,bernoulli,64,middle,1,0.9147840307583324,0.1528278396794981,0.7619561910788343,0.05611172582997248,0.05681974407844814
63627,clustered,64,middle,1,0.23343508079781414,0.22537352269518857,0.008061558102625571,0.047371469860055526,0.04740293102035925
63628,periodic,80,middle,1,0.9178814012112211,0.15609954891276032,0.7617818522984607,0.07641278124731643,0.054711255253887925
63629,jittered,80,middle,1,0.9263930032299432,0.16414706905654,0.7622459341734033,0.053050458049601845,0.05077311736780599
63630,bernoulli,80,middle,1,0.18738414069262815,0.15422709622606268,0.03315704446656548,0.04419249166058098,0.04345874357901952
63631,clustered,80,middle,1,0.3042706860847276,0.28904718195788676,0.01522350412684087,0.05086886354348491,0.05086886354348491
63632,periodic,16,late,1,0.3983591489117652,0.2087202114496976,0.1896389374620676,0.031523457265915045,0.04339126583680894
63633,jittered,16,late,1,0.5307655026836485,0.30625242257359553,0.224513080110053,0.058041769008345345,0.04778944980471511
63634,bernoulli,16,late,1,0.27004040614620684,0.28112148080933397,-0.011081074663127133,0.03694742787920796,0.04086686177027771
63635,clustered,16,late,1,0.4454953014207622,0.33338129016825124,0.11211401125251097,0.024855442064163236,0.02921465868092432
