index,seed,joint_stage_scale,persistent_prior,analytic_step_bound,adaptive_persistence,policy_effect,transition_effect,observation_effect,structure_effect,root_effect,mediator_effect
0,63840,1.0162601803368825,0.10883483752262263,0.288631227553528,0.8626007769401306,0.1875,0.125,0.125,0.0017811571456199937,-0.009076033212199599,0.125
1,63841,0.923154801467694,0.15595577288766616,0.2867691199761442,0.8597971708981058,0.5625,0.5625,0.5625,0.2306180594826966,0.8869133056847651,0.5625
2,63842,0.9111100042824983,0.2761092321165216,0.28652822403244027,0.9432447084958868,0.25,0.1875,0.1875,-0.01570014107555151,0.027753388893975717,0.25
3,63843,0.9375381464153126,0.16670104680871345,0.28705678687509656,0.9055932810129372,0.25,0.1875,0.1875,0.037913054975454885,0.059829775021462084,0.1875
4,63844,1.0299010832631417,0.11287748270358086,0.28890404561205313,0.9064710040204131,0.25,0.1875,0.1875,0.046306043806522756,0.22884133108663435,0.25
5,63845,1.0235596307793144,0.27589407194045823,0.2887772165623766,0.9790863484582429,0.8125,0.75,0.75,0.4077452102857132,0.6065018358560531,0.8125
6,63846,1.0290016727067268,0.21364402047301384,0.2888860574009249,0.9582412809110182,0.625,0.5,0.5,0.49051746689264664,0.2278157577618971,0.5
7,63847,0.9890139507162575,0.1295371763901339,0.2880863029611155,0.9519258236512438,0.6875,0.625,0.5,0.583509548390817,0.19563732987464277,0.625
8,63848,1.0757665662227145,0.19387950757951378,0.2898213552712446,0.9511287952208282,0.1875,0.1875,0.1875,0.012910407666682,0.021751067821306425,0.1875
9,63849,1.0773670899013794,0.16084050176503167,0.2898533657448179,0.9455064078681623,0.4375,0.375,0.375,0.16198760510487686,0.6954232547625141,0.375
10,63850,0.9703338144085392,0.24593831071475983,0.2877127002349611,0.9704262502973194,0.6875,0.625,0.125,0.21694936134710008,0.0672652145312157,0.625
11,63851,0.9048011770731443,0.16026437975571148,0.2864020474882532,0.9002485746528189,0.375,0.3125,0.3125,0.04583045609202352,0.40725774261795067,0.3375
12,63852,1.0643417076418844,0.13646893163478016,0.289592858099628,0.9586963991918344,0.25,0.25,0.25,0.04499715783526742,0.1404198995435687,0.25
13,63853,1.089153999097804,0.27118651417431866,0.29008910392874643,0.9788701609333885,0.25,0.25,0.125,-0.036985228009837834,0.024091160911087872,0.25
14,63854,1.0469911025253198,0.18737190308239754,0.2892458459972967,0.9733068607401234,0.25,0.25,0.0,0.0027235201224613537,-0.04888943221137954,0.22916666666666666
15,63855,0.9688304561727372,0.14365260804174831,0.28768263307024505,0.9256514399937777,0.5,0.4375,0.4375,0.1321018670424441,0.2551719540453443,0.4375
16,63856,0.9718448916057458,0.28717726249464687,0.28774292177890526,0.9538620636450666,0.4375,0.375,0.25,0.16478046793074375,0.18455208865136818,0.375
17,63857,1.0999181183730238,0.1308078082187855,0.2903043863142508,0.8817776424288085,0.375,0.375,0.375,0.06349466602359666,0.695742168941828,0.375
18,63858,1.0363868526550615,0.22154651029276265,0.28903376099989153,0.9736961757477861,0.25,0.25,0.125,0.04475239519115304,0.05242440419077454,0.22916666666666666
19,63859,1.083375434537139,0.15373825126853422,0.2899735326375331,0.8661557449929899,0.25,0.25,0.25,0.054190228134559926,0.0684557294972693,0.22916666666666666
20,63860,0.9577342347353325,0.23020542242210013,0.287460708641497,0.714776723889374,0.25,0.25,0.125,0.011628498946368804,-0.024212741299757923,0.25
21,63861,1.0767183005834502,0.3278695990961477,0.28984038995845934,0.9841627668254227,0.1875,0.1875,0.1875,-0.054994903899360015,0.014591737638181557,0.1875
22,63862,0.950580903821675,0.3221293929902654,0.2873176420232238,0.9667667517169423,0.375,0.25,0.25,0.0775383992002589,0.2464448452262089,0.3125
23,63863,1.028096097122138,0.15953739880288798,0.2888679458892331,0.9097759397869605,0.5,0.5,0.375,0.28154725686048804,0.7535796581560124,0.5
24,63864,0.9025763073751724,0.10614955877497415,0.28635755009429376,0.9360827394968722,0.0625,0.0625,0.0625,-0.022647613764422148,-0.09717294272385762,0.0625
25,63865,0.9982460916712623,0.10591578652166705,0.28827094578021556,0.9567462712148874,0.1875,0.1875,-0.0625,-0.04143461835346457,-0.44392787440941994,0.17307692307692307
26,63866,1.044598678002181,0.309871426194906,0.28919799750683395,0.980267558562902,0.5625,0.5625,0.5625,0.24393520516804418,0.9196101211295985,0.5625
27,63867,1.0546859432760327,0.12313154885224692,0.28939974281231096,0.9554659022464496,0.3125,0.3125,0.3125,0.06228160754971923,0.5128210918865024,0.3125
28,63868,0.9595378345653721,0.12349106469588239,0.28749678063809775,0.8649345563032477,0.625,0.5625,0.3125,0.23925236702016744,0.398809374943323,0.5625
29,63869,0.9152027763234638,0.31179101680305354,0.2866100794732596,0.95823359488526,0.6875,0.6875,0.4375,0.41226300772312485,0.11307245910015429,0.6875
30,63870,0.9852952613953583,0.16115817102239888,0.2880119291746975,0.9347745544806001,0.375,0.375,0.375,0.09905531044003957,0.21724223310047108,0.3375
31,63871,1.0075366849114173,0.2392045387084196,0.28845675764501866,0.9423391325680768,0.125,0.125,0.125,-0.01366648416977434,-0.18372385256131973,0.125
